relative_noise,full_space_oracle_tikhonov_error,full_space_lambda,prior_subspace_oracle_ridge_error,prior_subspace_lambda,readout
0.0,0.4518113729771207,1e-12,5.576922946067787e-10,1e-12,resolved
0.001,0.4521649482306849,1e-06,0.001895098018614348,1e-12,resolved
0.003,0.4543849999219873,4.641588833612773e-06,0.0060666176426691166,1e-12,resolved
0.01,0.46231279080880033,4.641588833612772e-05,0.01934209812143585,2.1544346900318822e-06,resolved
0.03,0.4828659316936739,0.00046415888336127724,0.05938568100996253,2.1544346900318823e-05,resolved
0.1,0.5595419576696903,0.004641588833612773,0.18081811578938747,0.00021544346900318777,resolved
0.0,0.9017590530497192,1e-11,0.27745846387565626,1e-12,unresolved
0.001,0.9017592197813366,1e-12,0.5381603890862702,2.1544346900318822e-07,unresolved
0.003,0.9017605379543104,0.0001,0.565707998131018,1e-06,unresolved
0.01,0.9017756753056227,0.00021544346900318777,0.6151553005282979,2.1544346900318823e-05,unresolved
0.03,0.9019057149013299,0.0021544346900318778,0.6557162242833747,0.00021544346900318777,unresolved
0.1,0.9033760603049785,0.021544346900318777,0.6914379244296168,0.0021544346900318778,unresolved
