snr0,gamma,tau,threshold,n_max,temporal_depth
10.0,0.4,1.0,5.0,1,1.0
10.595088837115584,0.4,1.0,5.0,1,1.0
11.225590746637126,0.4,1.0,5.0,2,2.0
11.893613120972308,0.4,1.0,5.0,2,2.0
12.601388761098514,0.4,1.0,5.0,2,2.0
13.351283339486864,0.4,1.0,5.0,2,2.0
14.145803307136456,0.4,1.0,5.0,2,2.0
14.987604271147418,0.4,1.0,5.0,2,2.0
15.879499870833994,0.4,1.0,5.0,2,2.0
16.824471182045162,0.4,1.0,5.0,3,3.0
17.82567668112595,0.4,1.0,5.0,3,3.0
18.886462801822915,0.4,1.0,5.0,3,3.0
20.01037512041927,0.4,1.0,5.0,3,3.0
21.20117020648497,0.4,1.0,5.0,3,3.0
22.462828178851645,0.4,1.0,5.0,3,3.0
23.799566008779642,0.4,1.0,5.0,3,3.0
25.21585161478167,0.4,1.0,5.0,4,4.0
26.716418796213624,0.4,1.0,5.0,4,4.0
28.30628305554681,0.4,1.0,5.0,4,4.0
29.990758362205803,0.4,1.0,5.0,4,4.0
31.775474914003755,0.4,1.0,5.0,4,4.0
33.666397955540766,0.4,1.0,5.0,4,4.0
35.66984771646407,0.4,1.0,5.0,4,4.0
37.792520536232146,0.4,1.0,5.0,5,5.0
40.04151124598947,0.4,1.0,5.0,5,5.0
42.42433688236211,0.4,1.0,5.0,5,5.0
44.948961812434604,0.4,1.0,5.0,5,5.0
47.62382435388603,0.4,1.0,5.0,5,5.0
50.457864979261146,0.4,1.0,5.0,5,5.0
53.46055619864551,0.4,1.0,5.0,5,5.0
56.64193422062594,0.4,1.0,5.0,6,6.0
60.01263249735894,0.4,1.0,5.0,6,6.0
63.583917265868735,0.4,1.0,5.0,6,6.0
67.36772520436871,0.4,1.0,5.0,6,6.0
71.3767033294677,0.4,1.0,5.0,6,6.0
75.6242512676154,0.4,1.0,5.0,6,6.0
80.12456604207365,0.4,1.0,5.0,6,6.0
84.89268952511044,0.4,1.0,5.0,7,7.0
89.94455871402172,0.4,1.0,5.0,7,7.0
95.29705899902189,0.4,1.0,5.0,7,7.0
100.9680806010482,0.4,1.0,5.0,7,7.0
106.97657836811517,0.4,1.0,5.0,7,7.0
113.34263513008393,0.4,1.0,5.0,7,7.0
120.08752882360163,0.4,1.0,5.0,7,7.0
127.23380361157369,0.4,1.0,5.0,8,8.0
134.80534523487418,0.4,1.0,5.0,8,8.0
142.82746084815287,0.4,1.0,5.0,8,8.0
151.32696360658267,0.4,1.0,5.0,8,8.0
160.33226228627012,0.4,1.0,5.0,8,8.0
169.87345623787493,0.4,1.0,5.0,8,8.0
179.98243599081505,0.4,1.0,5.0,8,8.0
190.69298984431538,0.4,1.0,5.0,9,9.0
202.04091680157043,0.4,1.0,5.0,9,9.0
214.06414622449162,0.4,1.0,5.0,9,9.0
226.80286460897884,0.4,1.0,5.0,9,9.0
240.29964990444302,0.4,1.0,5.0,9,9.0
254.59961382653483,0.4,1.0,5.0,9,9.0
269.75055263874566,0.4,1.0,5.0,9,9.0
285.80310690685354,0.4,1.0,5.0,10,10.0
302.8109307601757,0.4,1.0,5.0,10,10.0
320.8308712253716,0.4,1.0,5.0,10,10.0
339.9231582322001,0.4,1.0,5.0,10,10.0
360.1516059263063,0.4,1.0,5.0,10,10.0
381.5838259619057,0.4,1.0,5.0,10,10.0
404.29145348728406,0.4,1.0,5.0,10,10.0
428.350386578436,0.4,1.0,5.0,11,11.0
453.8410399211335,0.4,1.0,5.0,11,11.0
480.8486135893327,0.4,1.0,5.0,11,11.0
509.46337781828464,0.4,1.0,5.0,11,11.0
539.780974724171,0.4,1.0,5.0,11,11.0
571.9027379787431,0.4,1.0,5.0,11,11.0
605.9360315074416,0.4,1.0,5.0,11,11.0
641.9946083430622,0.4,1.0,5.0,12,12.0
680.1989908343966,0.4,1.0,5.0,12,12.0
720.6768734806797,0.4,1.0,5.0,12,12.0
763.5635497382514,0.4,1.0,5.0,12,12.0
809.0023642260102,0.4,1.0,5.0,12,12.0
857.1451918411111,0.4,1.0,5.0,12,12.0
908.1529453863058,0.4,1.0,5.0,13,13.0
962.1961134056091,0.4,1.0,5.0,13,13.0
1019.4553300259765,0.4,1.0,5.0,13,13.0
1080.1219787096213,0.4,1.0,5.0,13,13.0
1144.39883193495,0.4,1.0,5.0,13,13.0
1212.5007289442108,0.4,1.0,5.0,13,13.0
1284.6552938231323,0.4,1.0,5.0,13,13.0
1361.1036963126903,0.4,1.0,5.0,14,14.0
1442.1014578959353,0.4,1.0,5.0,14,14.0
1527.9193058541327,0.4,1.0,5.0,14,14.0
1618.844078146852,0.4,1.0,5.0,14,14.0
1715.179682140439,0.4,1.0,5.0,14,14.0
1817.2481103893613,0.4,1.0,5.0,14,14.0
1925.390516865572,0.4,1.0,5.0,14,14.0
2039.9683572330616,0.4,1.0,5.0,15,15.0
2161.364596978904,0.4,1.0,5.0,15,15.0
2289.984991438802,0.4,1.0,5.0,15,15.0
2426.2594419955467,0.4,1.0,5.0,15,15.0
2570.6434329833314,0.4,1.0,5.0,15,15.0
2723.6195541006164,0.4,1.0,5.0,15,15.0
2885.699113420118,0.4,1.0,5.0,15,15.0
3057.4238463871848,0.4,1.0,5.0,16,16.0
3239.367726518784,0.4,1.0,5.0,16,16.0
3432.138883855167,0.4,1.0,5.0,16,16.0
3636.3816375764204,0.4,1.0,5.0,16,16.0
3852.778649577804,0.4,1.0,5.0,16,16.0
4082.0532062019065,0.4,1.0,5.0,16,16.0
4324.971635754167,0.4,1.0,5.0,16,16.0
4582.345869882053,0.4,1.0,5.0,17,17.0
4855.036157379002,0.4,1.0,5.0,17,17.0
5143.953939483883,0.4,1.0,5.0,17,17.0
5450.064896286245,0.4,1.0,5.0,17,17.0
5774.392174419788,0.4,1.0,5.0,17,17.0
6118.019806832271,0.4,1.0,5.0,17,17.0
6482.09633606206,0.4,1.0,5.0,17,17.0
6867.838653131899,0.4,1.0,5.0,18,18.0
7276.536064890875,0.4,1.0,5.0,18,18.0
7709.554603399424,0.4,1.0,5.0,18,18.0
8168.341591761035,0.4,1.0,5.0,18,18.0
8654.430481661424,0.4,1.0,5.0,18,18.0
9169.445978784384,0.4,1.0,5.0,18,18.0
9715.109473235287,0.4,1.0,5.0,18,18.0
10293.244793123098,0.4,1.0,5.0,19,19.0
10905.78430053166,0.4,1.0,5.0,19,19.0
11554.775350255331,0.4,1.0,5.0,19,19.0
12242.387132886877,0.4,1.0,5.0,19,19.0
12970.917925129741,0.4,1.0,5.0,19,19.0
13742.80277156845,0.4,1.0,5.0,19,19.0
14560.621623572591,0.4,1.0,5.0,19,19.0
15427.107962537768,0.4,1.0,5.0,20,20.0
16345.157936286076,0.4,1.0,5.0,20,20.0
17317.840039163606,0.4,1.0,5.0,20,20.0
18348.405368189557,0.4,1.0,5.0,20,20.0
19440.298489537712,0.4,1.0,5.0,20,20.0
20597.168951669584,0.4,1.0,5.0,20,20.0
21822.883483601803,0.4,1.0,5.0,20,20.0
23121.53891907834,0.4,1.0,5.0,21,21.0
24497.47588984603,0.4,1.0,5.0,21,21.0
