rho,order,posterior_sd,data_fraction
0.0,0,9.99999995e-05,0.9999999900000001
0.0,1,0.0002013752666639628,0.999999959448002
0.0,2,0.00040551996334130605,0.9999998355535593
0.0,3,0.0008166167189709459,0.9999993331371343
0.0,4,0.0016444624535808406,0.9999972957432388
0.0,5,0.003311527038267236,0.9999890337886749
0.0,6,0.006668484829755236,0.9999555313100753
0.0,7,0.01342776725842673,0.9998196950664535
0.0,8,0.02703275796144694,0.9992692299969979
0.0,9,0.05437662143816804,0.9970431830409702
0.0,10,0.10900979654196184,0.98811686425788
0.0,11,0.21563924124691602,0.9534997176344544
0.0,12,0.4063385394910913,0.8348889913242469
0.0,13,0.667122648343971,0.5549473720665264
0.0,14,0.8745429561285366,0.2351746178859605
0.0,15,0.9641154931283565,0.07048131590986595
0.0,16,0.9907799188087063,0.018355152485413306
0.0,17,0.9977024624714173,0.0045897963784703455
0.0,18,0.9994319600339798,0.0011357572626372603
0.0,19,0.9998598331002262,0.00028031415278773064
0.0,20,0.9999654297921968,6.913922050699739e-05
0.0,21,0.9999914747586517,1.7050410016983264e-05
0.0,22,0.999997897681112,4.204633356152954e-06
0.0,23,0.9999994815733133,1.03685310459678e-06
0.8,0,9.999999861111124e-05,0.9999999900000003
0.8,1,0.00020137525214633336,0.9999999594480078
0.8,2,0.00040551984478802634,0.9999998355536555
0.8,3,0.000816615750849653,0.9999993331387155
0.8,4,0.0016444545479012101,0.9999972957692399
0.8,5,0.003311462484552399,0.9999890342162134
0.8,6,0.006667957852130647,0.9999555383380823
0.8,7,0.013423469780675492,0.9998198104590473
0.8,8,0.0269978576839238,0.9992711156804785
0.8,9,0.054097773039721964,0.9970734309521427
0.8,10,0.10690925089824377,0.9885704120723764
0.8,11,0.2023623539623793,0.9590494776988047
0.8,12,0.3482137559511092,0.8787471801664214
0.8,13,0.5194714658625339,0.7301493961546304
0.8,14,0.673379099416029,0.5465605884696578
0.8,15,0.7880353935579767,0.3790002184999248
0.8,16,0.865049232376881,0.25168982556416886
0.8,17,0.914509819571669,0.16367178990699338
0.8,18,0.9458093114288811,0.1054447464144258
0.8,19,0.9655749693117142,0.06766497863868226
0.8,20,0.9780841126069314,0.04335146866591155
0.8,21,0.9860241157278652,0.02775644320308157
0.8,22,0.9910767197422453,0.017766935584951016
0.8,23,0.9942980225043021,0.01137144244403443
0.98,0,9.999998737375218e-05,0.9999999900000025
0.98,1,0.00020137506861446123,0.9999999594480817
0.98,2,0.0004055183460538979,0.999999835554871
0.98,3,0.0008166035125388458,0.9999993331587033
0.98,4,0.0016443546278592986,0.9999972960978578
0.98,5,0.0033106471844033263,0.9999890396152205
0.98,6,0.006661321800624114,0.9999556267918686
0.98,7,0.013369981541070981,0.9998212435935914
0.98,8,0.026582112798974992,0.9992933912791425
0.98,9,0.051218411747938876,0.9973766742980186
0.98,10,0.09166918258323464,0.9915967609645215
0.98,11,0.14733780917574182,0.9782915699872927
0.98,12,0.21126966198824143,0.9553651299233742
0.98,13,0.2739272584702963,0.9249638570669475
0.98,14,0.3298482131426604,0.8912001562865941
0.98,15,0.3783107114873093,0.8568810055739658
0.98,16,0.42041263730963063,0.8232532143903609
0.98,17,0.4574461147816857,0.7907430520711408
0.98,18,0.49045318706202135,0.7594556713007059
0.98,19,0.5202033068083453,0.7293885195856626
0.98,20,0.5472597784673491,0.7005067348718681
0.98,21,0.5720426514318282,0.6727672049428439
0.98,22,0.5948732964051668,0.6461257612240505
0.98,23,0.616003887475956,0.6205392106145097
