occurrence_class,ledger_id,path,line,blob,old_text,disposition,replacement_key,frozen_by_022,edit_in_place
ATTRIBUTION_UNRESOLVED_IMAGE,C05a/C10,artifacts/configs/HMT2_MAIN_RECORD_AMENDMENT_021.json,19,0a2dbefc4ce6d32e3724808ff479a31e11034fa4,"""finding"": ""the unresolved-image control reaches at most 0.015 in the claim-bearing class and the total-flux control reaches 0.036, neither material"",",PHYSICAL_INTERPRETATION_WITHDRAWN,attribution,False,NO_OVERLAY_ONLY
ATTRIBUTION_UNRESOLVED_IMAGE,C05a/C10,artifacts/configs/HMT2_MAIN_RECORD_AMENDMENT_021.json,20,0a2dbefc4ce6d32e3724808ff479a31e11034fa4,"""reading"": ""the benefit is attributable to resolving the photon-ring orders and not to the additional photons an unresolved second image also carries, nor to the extra flux constraint alone"",",PHYSICAL_INTERPRETATION_WITHDRAWN,attribution,False,NO_OVERLAY_ONLY
ATTRIBUTION_UNRESOLVED_IMAGE,C05a/C10,artifacts/configs/HMT2_STAGE1_ENDPOINT_COMPLETION_AMENDMENT_020.json,28,8e6837228df5fa3404ca3730e76131b244c8b990,"""finding"": ""the unresolved-image arm reaches improvement in neither class on either target"",",PHYSICAL_INTERPRETATION_WITHDRAWN,attribution,False,NO_OVERLAY_ONLY
ATTRIBUTION_UNRESOLVED_IMAGE,C05a/C10,artifacts/configs/HMT2_STAGE1_ENDPOINT_COMPLETION_AMENDMENT_020.json,29,8e6837228df5fa3404ca3730e76131b244c8b990,"""reading"": ""the benefit is attributable to resolving the photon-ring orders rather than to the additional photons an unresolved second image also carries""",PHYSICAL_INTERPRETATION_WITHDRAWN,attribution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/configs/HMT2_STAGE1_ENDPOINT_COMPLETION_AMENDMENT_020.json,40,8e6837228df5fa3404ca3730e76131b244c8b990,"""evidence"": ""UNRESOLVED_IMAGE in the primary class under ridge records a median of 0.0001 with a lower bound of 0.0000, and misses only because the bound is not strictly positive"",",ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
ABSOLUTE_RANK_VERSUS_FRACTION,C07,artifacts/manuscript/PAPER_I.md,43,bf28b55430703a96ab4c80376015f710b1b377bc,"recoverable history destroys identifiability, and the compactness that makes an",FRACTION_NOT_ABSOLUTE_RANK,rank_fraction,True,NO_OVERLAY_ONLY
MECHANISM_SPLIT_NUMBERS,C05b,artifacts/manuscript/PAPER_I.md,51,bf28b55430703a96ab4c80376015f710b1b377bc,for transplanting the spatial map. Enriching the declared class from,PAIRING_DEPENDENT_COUNTERFACTUAL,mechanism,True,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/manuscript/PAPER_I.md,446,bf28b55430703a96ab4c80376015f710b1b377bc,`DELAY_ONLY` keeps each order's physical delays and takes the direct order's,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,True,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/manuscript/PAPER_I.md,447,bf28b55430703a96ab4c80376015f710b1b377bc,spatial map; `SPATIAL_ONLY` keeps each order's spatial map and flattens every,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,True,NO_OVERLAY_ONLY
MECHANISM_SPLIT_NUMBERS,C05b,artifacts/manuscript/PAPER_I.md,468,bf28b55430703a96ab4c80376015f710b1b377bc,essentially all of it — while transplanting the spatial map costs 0.57.,PAIRING_DEPENDENT_COUNTERFACTUAL,mechanism,True,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/manuscript/PAPER_I.md,486,bf28b55430703a96ab4c80376015f710b1b377bc,`UNRESOLVED_IMAGE` sums the orders into a single image plane and pays the summed,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,True,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/manuscript/PAPER_I.md,637,bf28b55430703a96ab4c80376015f710b1b377bc,| `UNRESOLVED_IMAGE` | 178 | 173–183 | 9.52e+06 | 9.66 | 60 |,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,True,NO_OVERLAY_ONLY
FLUX_RUNNER_SEMANTICS,C06,artifacts/manuscript/PAPER_I.md,638,bf28b55430703a96ab4c80376015f710b1b377bc,| `TOTAL_FLUX` | 13 | 12–14 | 9.86e+08 | 6.90 | 56 |,RUNNER_SPECIFIC_ALIAS,flux,True,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/manuscript/PAPER_I.md,639,bf28b55430703a96ab4c80376015f710b1b377bc,| `DELAY_ONLY` | 212 | 193–216 | 9.50e+04 | 40.72 | 84 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,True,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/manuscript/PAPER_I.md,640,bf28b55430703a96ab4c80376015f710b1b377bc,| `SPATIAL_ONLY` | 178 | 140–209 | 9.76e+06 | 8.33 | 60 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,True,NO_OVERLAY_ONLY
FLUX_RUNNER_SEMANTICS,C06,artifacts/manuscript/PAPER_I.md,648,bf28b55430703a96ab4c80376015f710b1b377bc,nonphysical negative control of section 10.1. `TOTAL_FLUX` is a genuine but,RUNNER_SPECIFIC_ALIAS,flux,True,NO_OVERLAY_ONLY
ATTRIBUTION_UNRESOLVED_IMAGE,C05a/C10,artifacts/manuscript/PAPER_I.md,1003,bf28b55430703a96ab4c80376015f710b1b377bc,Both controls behave. The unresolved-image arm — a second image with the same,PHYSICAL_INTERPRETATION_WITHDRAWN,attribution,True,NO_OVERLAY_ONLY
ATTRIBUTION_UNRESOLVED_IMAGE,C05a/C10,artifacts/manuscript/PAPER_I.md,1006,bf28b55430703a96ab4c80376015f710b1b377bc,neither is material. The benefit is therefore attributable to resolving the,PHYSICAL_INTERPRETATION_WITHDRAWN,attribution,True,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/manuscript/PAPER_I.md,1149,bf28b55430703a96ab4c80376015f710b1b377bc,"| `UNRESOLVED_IMAGE` | full | **1/3, −1** | full | **3/3, −14 to −35** |",ALIAS_INDEX_SUM_CONTROL,alias_index_sum,True,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/manuscript/PAPER_I.md,1150,bf28b55430703a96ab4c80376015f710b1b377bc,"| `DELAY_ONLY` | full | **1/3, −1** | full | **1/3, −36** |",ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,True,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/manuscript/PAPER_I.md,1151,bf28b55430703a96ab4c80376015f710b1b377bc,"| `SPATIAL_ONLY` | full | **2/3, −23 to −91** | full | **2/3, −60 to −228** |",ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,True,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/manuscript/PAPER_I.md,1185,bf28b55430703a96ab4c80376015f710b1b377bc,"a strict impoverishment. `DELAY_ONLY` is a mechanism probe, not a measurement",ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,True,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/AMENDMENT_002_LOCALIZED_CLASS_MECHANISM_DIAGNOSTIC.md,19,54edb29239514419c750172c57dd5d8c24a08169,Verified: RESOLVED_PHYSICAL and DELAY_ONLY age-information curves compared elementwise on all 12 geometries under the first E3C pass — bitwise identical at every geometry and every age; D_delay = 0.00,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SPLIT_NUMBERS,C05b,artifacts/reports/AMENDMENT_002_LOCALIZED_CLASS_MECHANISM_DIAGNOSTIC.md,56,54edb29239514419c750172c57dd5d8c24a08169,"age-information curve exactly, which reads as ""delay diversity supplies all of",PAIRING_DEPENDENT_COUNTERFACTUAL,mechanism,False,NO_OVERLAY_ONLY
FLUX_RUNNER_SEMANTICS,C06,artifacts/reports/E3B_PHYSICAL_OPERATOR_CANARY.md,98,eb5ac4057a4c0b2da6bb55a0117e0881d9b8b526,| `TOTAL_FLUX` | 24 | 24 | 13 | 1.042e+09 |,RUNNER_SPECIFIC_ALIAS,flux,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3B_PHYSICAL_OPERATOR_CANARY.md,118,eb5ac4057a4c0b2da6bb55a0117e0881d9b8b526,| SNR_0 | DIRECT | RESOLVED | RESOLVED_EQUALIZED | DELAY_ONLY | SPATIAL_ONLY | UNRESOLVED | TOTAL_FLUX | PAIRING_DESTROYED |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
FLUX_RUNNER_SEMANTICS,C06,artifacts/reports/E3B_PHYSICAL_OPERATOR_CANARY.md,118,eb5ac4057a4c0b2da6bb55a0117e0881d9b8b526,| SNR_0 | DIRECT | RESOLVED | RESOLVED_EQUALIZED | DELAY_ONLY | SPATIAL_ONLY | UNRESOLVED | TOTAL_FLUX | PAIRING_DESTROYED |,RUNNER_SPECIFIC_ALIAS,flux,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_GEOMETRY_WIDE_OPERATOR_AUDIT.md,92,91e926cb94b1cbd3f1fe9d9d6005484d0de274db,"On this grid the reach and the longest run differ in **2 of 952** rows with any detectable age. The largest disagreement is at `a098_i020`, arm `SPATIAL_ONLY`, SNR 30000: the reach reads 64 M while th",ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3C_GEOMETRY_WIDE_OPERATOR_AUDIT.md,125,91e926cb94b1cbd3f1fe9d9d6005484d0de274db,| `UNRESOLVED_IMAGE` | 178 | 173–183 | 9.52e+06 | 9.66 | 60 |,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
FLUX_RUNNER_SEMANTICS,C06,artifacts/reports/E3C_GEOMETRY_WIDE_OPERATOR_AUDIT.md,126,91e926cb94b1cbd3f1fe9d9d6005484d0de274db,| `TOTAL_FLUX` | 13 | 12–14 | 9.86e+08 | 6.90 | 56 |,RUNNER_SPECIFIC_ALIAS,flux,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_GEOMETRY_WIDE_OPERATOR_AUDIT.md,127,91e926cb94b1cbd3f1fe9d9d6005484d0de274db,| `DELAY_ONLY` | 212 | 193–216 | 9.50e+04 | 40.72 | 84 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_GEOMETRY_WIDE_OPERATOR_AUDIT.md,128,91e926cb94b1cbd3f1fe9d9d6005484d0de274db,| `SPATIAL_ONLY` | 178 | 140–209 | 9.76e+06 | 8.33 | 60 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SPLIT_NUMBERS,C05b,artifacts/reports/E3C_GEOMETRY_WIDE_OPERATOR_AUDIT.md,296,91e926cb94b1cbd3f1fe9d9d6005484d0de274db,sits at a median 0.98 — flattening the delays leaves the,PAIRING_DEPENDENT_COUNTERFACTUAL,mechanism,False,NO_OVERLAY_ONLY
INDEX_SUM_ARM_LABEL,C05a,artifacts/reports/E3C_GEOMETRY_WIDE_OPERATOR_AUDIT.md,346,91e926cb94b1cbd3f1fe9d9d6005484d0de274db,`UNRESOLVED_IMAGE` sums the orders into one image plane and pays the summed,ALIAS_INDEX_SUM_CONTROL,alias_index_sum,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,93,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a000_i020` | DELAY_ONLY | primary geometry dependent | 2.000–49.94 | 215 | 8.82e+04 | 67.86 | 60 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
MECHANISM_SUBSTITUTION_LABEL,C05b,artifacts/reports/E3C_MEASUREMENT_NOISE_MODEL.md,94,874c7eea426dc3faf3ebb82c42fd6be1f7713989,| `a000_i020` | DELAY_ONLY | common radial support | 2.000–49.94 | 215 | 8.82e+04 | 67.86 | 60 |,ALIAS_INDEX_PAIRED_SUBSTITUTION,alias_substitution,False,NO_OVERLAY_ONLY
