geometry,rays_per_order,direct_rows_m,m_reference,s_ref_legacy,s_ref_common,sigma_factor_common_over_legacy,information_factor,is_exceptional
a000_i020,1483,11864,12288,0.9884304852730343,0.9712277870133695,0.9825959452728606,1.035738368172623,True
a000_i050,1536,12288,12288,1.125122564629503,1.125122564629503,1.0,1.0,False
a000_i075,1536,12288,12288,0.9727079288194624,0.9727079288194624,1.0,1.0,False
a050_i020,1536,12288,12288,0.9791206288630971,0.9791206288630971,1.0,1.0,False
a050_i050,1536,12288,12288,1.1341986814407568,1.1341986814407568,1.0,1.0,False
a050_i075,1536,12288,12288,0.9753522203531676,0.9753522203531676,1.0,1.0,False
a090_i020,1536,12288,12288,0.985621361811445,0.985621361811445,1.0,1.0,False
a090_i050,1536,12288,12288,1.1356352390826034,1.1356352390826034,1.0,1.0,False
a090_i075,1536,12288,12288,0.9776250731850921,0.9776250731850921,1.0,1.0,False
a098_i020,1536,12288,12288,0.9851679012252235,0.9851679012252235,1.0,1.0,False
a098_i050,1536,12288,12288,1.1366521704105108,1.1366521704105108,1.0,1.0,False
a098_i075,1536,12288,12288,0.9809867535911645,0.9809867535911645,1.0,1.0,False
