geometry,arm,snr0,information_factor,oldest_legacy,oldest_common,longest_run_legacy,longest_run_common,anchor_span_legacy,anchor_span_common,n_detectable_legacy,n_detectable_common,n_mask_bits_flipped,smallest_threshold_margin_relative,j_old_legacy,j_old_common,endpoint_moved,selfcheck_mask_reproduced
a000_i020,DIRECT_PHYSICAL,1.0,1.035738368172623,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0,0,0.9348506900873575,0.0073068808919759245,0.007567555000334444,False,True
a000_i020,DIRECT_PHYSICAL,3.0,1.035738368172623,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0,0,0.41365621078621795,0.0648799654280089,0.06716264381080367,False,True
a000_i020,DIRECT_PHYSICAL,10.0,1.035738368172623,16.0,16.0,20.0,20.0,0.0,0.0,5,5,0,0.6460073206361725,0.6299978058676422,0.649449060466093,False,True
a000_i020,DIRECT_PHYSICAL,30.0,1.035738368172623,20.0,20.0,24.0,24.0,4.0,4.0,6,6,0,0.9461428744503115,3.0734412575101016,3.1344202537393793,False,True
a000_i020,DIRECT_PHYSICAL,100.0,1.035738368172623,20.0,20.0,24.0,24.0,4.0,4.0,6,6,0,0.4015874938923498,9.066851283889568,9.188408648992562,False,True
a000_i020,DIRECT_PHYSICAL,300.0,1.035738368172623,24.0,24.0,28.0,28.0,8.0,8.0,7,7,0,0.996151441437046,18.965716582559732,19.15506348626521,False,True
a000_i020,DIRECT_PHYSICAL,1000.0,1.035738368172623,24.0,24.0,28.0,28.0,8.0,8.0,7,7,0,0.9572382381894006,32.944854715099595,33.159111589000204,False,True
a000_i020,DIRECT_PHYSICAL,3000.0,1.035738368172623,24.0,24.0,28.0,28.0,8.0,8.0,7,7,0,0.6151441437046048,47.203755427241965,47.45371745526436,False,True
a000_i020,DIRECT_PHYSICAL,10000.0,1.035738368172623,28.0,28.0,32.0,32.0,12.0,12.0,8,8,0,0.9998966763901876,66.9954185104912,67.32031057227198,False,True
a000_i020,DIRECT_PHYSICAL,30000.0,1.035738368172623,28.0,28.0,32.0,32.0,12.0,12.0,8,8,0,0.999070087511689,88.23240772318229,88.58018666109047,False,True
a000_i020,DIRECT_PHYSICAL,100000.0,1.035738368172623,28.0,28.0,32.0,32.0,12.0,12.0,8,8,0,0.9896676390187672,112.25593072859716,112.60821586043348,False,True
a000_i020,DIRECT_PHYSICAL,1000000.0,1.035738368172623,32.0,32.0,36.0,36.0,16.0,16.0,9,9,0,0.03323609812327755,161.09577658350878,161.51891252068336,False,True
a000_i020,RESOLVED_PHYSICAL,1.0,1.035738368172623,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0,0,0.9348506900343362,0.01789994531048752,0.018539101455088695,False,True
a000_i020,RESOLVED_PHYSICAL,3.0,1.035738368172623,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0,0,0.413656210309026,0.16003206992068086,0.16570772457553132,False,True
