regime,arm,family,index,draw,snr0,pass_to_age_M
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,0,0,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,0,1,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,0,2,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,0,3,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,1,0,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,1,1,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,1,2,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,1,3,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,2,0,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,2,1,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,2,2,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,2,3,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,3,0,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,3,1,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,3,2,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,3,3,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,4,0,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,4,1,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,4,2,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,4,3,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,5,0,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,5,1,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,5,2,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,5,3,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,6,0,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,6,1,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,6,2,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,6,3,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,7,0,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,7,1,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,7,2,100.0,0.0
oracle_known,DIRECT_PHYSICAL,circular_hotspot_trajectory,7,3,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,0,0,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,0,1,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,0,2,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,0,3,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,1,0,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,1,1,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,1,2,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,1,3,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,2,0,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,2,1,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,2,2,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,2,3,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,3,0,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,3,1,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,3,2,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,3,3,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,4,0,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,4,1,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,4,2,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,4,3,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,5,0,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,5,1,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,5,2,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,5,3,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,6,0,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,6,1,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,6,2,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,6,3,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,7,0,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,7,1,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,7,2,100.0,0.0
oracle_known,RESOLVED_PHYSICAL,circular_hotspot_trajectory,7,3,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,0,0,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,0,1,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,0,2,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,0,3,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,1,0,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,1,1,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,1,2,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,1,3,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,2,0,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,2,1,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,2,2,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,2,3,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,3,0,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,3,1,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,3,2,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,3,3,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,4,0,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,4,1,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,4,2,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,4,3,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,5,0,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,5,1,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,5,2,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,5,3,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,6,0,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,6,1,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,6,2,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,6,3,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,7,0,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,7,1,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,7,2,100.0,0.0
oracle_known,UNRESOLVED_IMAGE,circular_hotspot_trajectory,7,3,100.0,0.0
oracle_known,TOTAL_FLUX,circular_hotspot_trajectory,0,0,100.0,0.0
oracle_known,TOTAL_FLUX,circular_hotspot_trajectory,0,1,100.0,0.0
oracle_known,TOTAL_FLUX,circular_hotspot_trajectory,0,2,100.0,0.0
oracle_known,TOTAL_FLUX,circular_hotspot_trajectory,0,3,100.0,0.0
oracle_known,TOTAL_FLUX,circular_hotspot_trajectory,1,0,100.0,0.0
oracle_known,TOTAL_FLUX,circular_hotspot_trajectory,1,1,100.0,0.0
oracle_known,TOTAL_FLUX,circular_hotspot_trajectory,1,2,100.0,0.0
oracle_known,TOTAL_FLUX,circular_hotspot_trajectory,1,3,100.0,0.0
oracle_known,TOTAL_FLUX,circular_hotspot_trajectory,2,0,100.0,0.0
oracle_known,TOTAL_FLUX,circular_hotspot_trajectory,2,1,100.0,0.0
