regime,arm,estimator,snr0,mean_direct,mean_arm,cell_mean,median,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high,n_truths,n_cells,n_families_improved,n_families,meets_materiality,improved_circular_hotspot_trajectory,improved_flare_birth_motion_decay,improved_m1_rotating_crescent,improved_m2_structural_mode,improved_plunging_feature,improved_two_hotspot_trajectories
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,1602942889539.9373,1633551274171.7188,-0.0068070836739236515,-0.01895858728199587,-0.02935510614310646,0.022007912838954712,-0.024157229332283887,-0.015502991560309308,48,6,2,6,False,False,True,False,False,False,True
oracle_known,TOTAL_FLUX,TSVD,100.0,1602942889539.9373,3296173174085.736,-1.0420125005435252,-0.03833271768023897,-2.0185837200444823,-0.3181972622887805,-0.07065073383349833,-0.020230017275654488,48,6,2,6,False,True,True,False,False,False,False
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,1602942889539.9373,1839210444784.0398,-0.0510472970682195,-0.059266799437449474,-0.08195114451510069,-0.017483718887378933,-0.11418656023906974,-0.034197131128797686,48,6,2,6,False,True,True,False,False,False,False
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,2902327628219.5747,3791742771244.7837,-0.14109945737511587,-0.058831714540555864,-0.2127099480513669,-0.07465735468433889,-0.13975998639906684,-0.041211937240290535,48,6,2,6,False,False,True,False,False,False,True
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,2902327628219.5747,2088174897302.4316,-0.26591824353900395,-0.035524167902640694,-0.7904306674157124,0.09976509703415383,-0.05123739162093837,0.014824978512283444,48,6,3,6,False,False,True,True,True,False,False
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,2902327628219.5747,3092845098761.133,-0.06757804007213433,-0.044951777636051314,-0.1321463217108853,-0.014232428659173062,-0.06009109622372543,-0.02188200866342512,48,6,2,6,False,False,True,False,False,False,True
oracle_known,RESOLVED_PHYSICAL,TSVD,1000.0,1601955637703.468,1632546374868.868,-0.012275132767839946,-0.019005590714628366,-0.04039898437284383,0.01883293715381979,-0.024277329860471222,-0.01550358792911455,48,6,2,6,False,False,True,False,False,False,True
oracle_known,TOTAL_FLUX,TSVD,1000.0,1601955637703.468,3295845621714.471,-1.05160201558051,-0.038110455010717526,-2.0290013848848365,-0.3250493379152437,-0.07063768024040767,-0.020482827075659505,48,6,1,6,False,False,True,False,False,False,False
oracle_known,UNRESOLVED_IMAGE,TSVD,1000.0,1601955637703.468,1838107183511.4211,-0.05789037189826759,-0.059266795737961564,-0.09248072836455742,-0.022685345684197774,-0.11491036840824177,-0.03419828903451097,48,6,2,6,False,True,True,False,False,False,False
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,2903072641040.5205,3792506836945.0767,-0.12706961922738544,-0.05895135084071775,-0.20123755852287534,-0.05663912426288893,-0.13229932882626916,-0.035858903120180904,48,6,3,6,False,True,True,False,False,False,True
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,2903072641040.5205,2085049199266.714,-0.2510531773944918,-0.039816016051601066,-0.7489117280750521,0.10122170101398026,-0.05189086913028883,0.01521033906140803,48,6,3,6,False,False,True,True,True,False,False
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,2903072641040.5205,3094077824907.2075,-0.06262044418743641,-0.03882949372813674,-0.12553820854226477,-0.009481477772366985,-0.05956385508706878,-0.020619001455379603,48,6,2,6,False,False,True,False,False,False,True
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,1349222190180.4724,1374814143983.7134,-0.002014986729701102,-0.019224857264008723,-0.03556146872566111,0.03571656900732607,-0.027277210912714296,-0.015012128823196802,48,6,2,6,False,True,True,False,False,False,False
estimated_from_data,TOTAL_FLUX,TSVD,100.0,1349222190180.4724,3363165788182.7246,-4.47891766843059,-0.04050119793137363,-12.091838970741472,-0.4219475286123537,-0.10018565702123994,-0.018899509140745292,48,6,0,6,False,False,False,False,False,False,False
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,1349222190180.4724,1543869248319.4324,-0.05065311411455722,-0.06068693544428434,-0.09161851110475086,-0.007447862136697604,-0.10930884680389014,-0.03470540635785482,48,6,1,6,False,False,True,False,False,False,False
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,2314912418936.4917,2939981895435.2266,-0.14272546316557802,-0.05601195059941699,-0.23445531735782493,-0.06079474183132367,-0.1872806057412178,-0.02578208570549953,48,6,3,6,False,True,True,False,False,False,True
estimated_from_data,TOTAL_FLUX,RIDGE_IDENTITY,100.0,2314912418936.4917,2144940059649.8984,-1.014999937034026,-0.0395196420889131,-1.901459363619377,-0.30428935279090075,-0.06579280080238878,-0.0022996507420575377,48,6,2,6,False,False,False,False,True,False,True
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,2314912418936.4917,2490135612113.392,-0.11913324195005204,-0.040327710631552674,-0.21386780565738198,-0.035302594451657614,-0.05371741314609059,-0.014416456722825547,48,6,3,6,False,True,True,False,False,False,True
estimated_from_data,RESOLVED_PHYSICAL,TSVD,1000.0,1350608854931.3633,1376223234377.6487,-0.002197055583870511,-0.01924453230274227,-0.03564916167696182,0.0355617312391102,-0.027259097632194425,-0.015202495698945113,48,6,2,6,False,True,True,False,False,False,False
estimated_from_data,TOTAL_FLUX,TSVD,1000.0,1350608854931.3633,3368447132026.2876,-4.311445249501312,-0.04053107979386598,-11.59213725994937,-0.4237079268864327,-0.10019646642516973,-0.018932923094432043,48,6,0,6,False,False,False,False,False,False,False
estimated_from_data,UNRESOLVED_IMAGE,TSVD,1000.0,1350608854931.3633,1545772492250.3564,-0.05195098706805045,-0.06067480352494248,-0.09216750628307059,-0.010189467076145726,-0.10931016421331746,-0.03470396558133862,48,6,1,6,False,False,True,False,False,False,False
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,2319486867186.9614,2930945140248.9336,-0.1374047732464821,-0.05546995905806382,-0.23006680784416442,-0.05423369521150877,-0.18940821113454753,-0.01918902323380816,48,6,3,6,False,True,True,False,False,False,True
estimated_from_data,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,2319486867186.9614,2147713357576.7976,-1.0409646171106528,-0.03952842598213444,-1.9738081446097682,-0.30058141274316813,-0.06688986512954422,-0.002420441778497108,48,6,2,6,False,False,False,False,True,False,True
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,2319486867186.9614,2495967489124.6157,-0.12320525309140377,-0.040139849496470724,-0.21843009155701812,-0.039475413503282035,-0.05676171008890469,-0.013818195231453648,48,6,3,6,False,True,True,False,False,False,True
joint_inversion,RESOLVED_PHYSICAL,TSVD,100.0,1733407299260.009,1767769286596.386,-0.015094676267015389,-0.01912574430124979,-0.029847950873198432,0.00046506788574386703,-0.02572724048495854,-0.015352156800215618,48,6,2,6,False,True,False,False,False,False,True
joint_inversion,TOTAL_FLUX,TSVD,100.0,1733407299260.009,3539940686520.362,-3.3393287803911877,-0.03901630143400548,-7.806637269486742,-0.3076581590352206,-0.0710234618440981,0.0026351377419848747,48,6,1,6,False,True,False,False,False,False,False
joint_inversion,UNRESOLVED_IMAGE,TSVD,100.0,1733407299260.009,1970027521975.5623,-0.05753897905558202,-0.05354830729422626,-0.09084736489245326,-0.0242073868293419,-0.1078028860220055,-0.027272573905353654,48,6,3,6,False,True,True,False,False,False,True
joint_inversion,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,2406168543381.074,3004640486276.147,-0.11418690038358649,-0.048969492610760036,-0.180579494281002,-0.05297085097962382,-0.09985263860980333,-0.031641993770568796,48,6,3,6,False,True,True,False,False,False,True
joint_inversion,TOTAL_FLUX,RIDGE_IDENTITY,100.0,2406168543381.074,2229606168540.621,-1.1175066221707188,-0.04099995553618228,-2.564710279640405,-0.0874978918550418,-0.05737833257873662,0.009625614151029098,48,6,1,6,False,False,False,False,True,False,False
joint_inversion,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,2406168543381.074,2571514521725.8174,-0.13752923058198768,-0.047200073850550375,-0.2810546276996868,-0.032381086148483534,-0.05745375051176432,-0.021938818194503343,48,6,2,6,False,True,False,False,False,False,True
joint_inversion,RESOLVED_PHYSICAL,TSVD,1000.0,1733204965678.1934,1767444748167.9258,-0.015048131906820203,-0.019082374074243968,-0.02982167022028698,0.0005209269536399626,-0.025768637625308063,-0.015242682603414348,48,6,2,6,False,True,False,False,False,False,True
joint_inversion,TOTAL_FLUX,TSVD,1000.0,1733204965678.1934,3530858876709.5845,-3.40207693697177,-0.03871376110973895,-7.943929748103557,-0.30489233885980505,-0.07081017744648302,0.012962807430477731,48,6,1,6,False,True,False,False,False,False,False
joint_inversion,UNRESOLVED_IMAGE,TSVD,1000.0,1733204965678.1934,1969686197347.0315,-0.05751837964416653,-0.049593329954166585,-0.09110032507971795,-0.02411117373608626,-0.10741851480684111,-0.02727361119441928,48,6,3,6,False,True,True,False,False,False,True
joint_inversion,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,2409017289883.1665,2991908255493.715,-0.1023356287370895,-0.051043928988556794,-0.1687946084755053,-0.040405023067563925,-0.09741132741341321,-0.011867430258372471,48,6,3,6,False,True,True,False,False,False,True
joint_inversion,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,2409017289883.1665,2225900778534.807,-1.1416297707652168,-0.04381129423716805,-2.633799775333746,-0.08622784488857897,-0.0565648559724644,0.013064124982858392,48,6,1,6,False,False,False,False,True,False,False
joint_inversion,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,2409017289883.1665,2574501332283.694,-0.1405747504487718,-0.04529034903358759,-0.29127696760405036,-0.032349355192234606,-0.05834040493457446,-0.019569268075079953,48,6,2,6,False,True,False,False,False,False,True
