regime,arm,estimator,snr0,selected_hyperparameter,selection_error,n_grid,at_max_regularization_end
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,1.0,1713367358823.1006,15,True
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,2737351674101.146,21,True
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,1.0,1747550533347.493,15,True
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,3518874379097.1216,21,True
oracle_known,UNRESOLVED_IMAGE,TSVD,100.0,1.0,1970989359909.7185,15,True
oracle_known,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.0,2947280951405.6743,21,True
oracle_known,TOTAL_FLUX,TSVD,100.0,0.31622776601683794,2210470520235.3384,15,False
oracle_known,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.0,1392830205143.3423,21,True
estimated_from_data,DIRECT_PHYSICAL,TSVD,100.0,1.0,1531084383346.3928,15,True
estimated_from_data,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,2569200404689.8877,21,True
estimated_from_data,RESOLVED_PHYSICAL,TSVD,100.0,1.0,1561242866832.8884,15,True
estimated_from_data,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,3173560478599.526,21,True
estimated_from_data,UNRESOLVED_IMAGE,TSVD,100.0,1.0,1744430628289.5105,15,True
estimated_from_data,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.0,2744007171364.0195,21,True
estimated_from_data,TOTAL_FLUX,TSVD,100.0,1.0,3130072559180.014,15,True
estimated_from_data,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.0,2184070490052.425,21,True
joint_inversion,DIRECT_PHYSICAL,TSVD,100.0,1.0,1938756119459.8757,15,True
joint_inversion,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,3791241744951.3477,21,True
joint_inversion,RESOLVED_PHYSICAL,TSVD,100.0,1.0,1975966558769.5137,15,True
joint_inversion,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,4811465795732.445,21,True
joint_inversion,UNRESOLVED_IMAGE,TSVD,100.0,1.0,2228336909266.9883,15,True
joint_inversion,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.0,3987680375279.4,21,True
joint_inversion,TOTAL_FLUX,TSVD,100.0,0.31622776601683794,3036659139264.317,15,False
joint_inversion,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.0,2023237490321.2676,21,True
