regime,arm,estimator,snr0,hyperparameter,selection_error
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,1.0,1713367358823.1006
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.31622776601683794,8160951740209.7295
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.1,25640271052957.348
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.03162277660168379,22420529974527.066
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.01,51406662817295.24
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.0031622776601683794,72443834380336.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.001,677389997338377.2
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.00031622776601683794,457793197966975.3
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.0001,644525265333365.4
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,3.1622776601683795e-05,2849358580226343.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,1e-05,2971223304883560.5
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,3.162277660168379e-06,9113244582889406.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,1e-06,3.493866666290394e+16
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,3.162277660168379e-07,5.759802742969636e+16
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,1e-07,2.0275520323641354e+17
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,2737351674101.146
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.31622776601683794,5514119947610.807
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.1,9502236962013.426
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.03162277660168379,14382014254348.133
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.01,17988213845040.24
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.0031622776601683794,19682096935032.137
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.001,21502456408037.348
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.00031622776601683794,25176516027794.824
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.0001,29783795335083.656
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,35693274553376.38
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-05,51716548004022.625
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-06,118348164571840.95
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-06,233572498487037.28
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,327603487599992.8
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-07,427100132512958.5
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-08,590496632288968.8
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-08,873896461062964.0
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,1447875309687146.2
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-09,2137550570342360.8
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,2671443184470360.0
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-10,3284162620949712.5
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,1.0,1747550533347.493
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.31622776601683794,8577759463934.708
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.1,70471836759053.55
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.03162277660168379,153927573430112.72
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.01,127220178617456.62
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.0031622776601683794,255120225799079.97
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.001,455104574575940.8
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.00031622776601683794,902585193789377.5
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.0001,2194826517487912.0
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,3.1622776601683795e-05,4413745577818079.5
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,1e-05,8832741295471751.0
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,3.162277660168379e-06,2.3566487149988604e+16
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,1e-06,4.950872353406774e+16
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,3.162277660168379e-07,1.996999783417674e+17
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,1e-07,2.6053113013719715e+17
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,3518874379097.1216
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.31622776601683794,7717305742495.945
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.1,15165066912787.469
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.03162277660168379,27504202863239.582
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.01,43476947797248.82
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.0031622776601683794,57614784927519.34
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.001,70219334866582.9
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.00031622776601683794,85752812889128.05
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.0001,108141076451459.36
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,144967504107138.88
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-05,202957922831514.25
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-06,288672318983044.25
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-06,407368054630273.2
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,568336136032197.6
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-07,793388696782080.9
