class,arm,estimator,snr0,family,index,hyperparameter,PHYSICAL_END_TO_END_all_state_error,CLASS_CONDITIONAL_all_state_error,CC_PROJLAB_all_state_error,PHYSICAL_END_TO_END_non_dead_error,PHYSICAL_END_TO_END_saturation_fraction,CLASS_CONDITIONAL_non_dead_error,CLASS_CONDITIONAL_saturation_fraction,stable_multi_cost_normalized
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,0.1,0.7520847125225817,0.7520847125225817,0.7520847125225817,0.7520847125225817,0.7049180327868853,0.7520847125225817,0.7049180327868853,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,0.1,0.7744411381763511,0.7744411381763511,0.7744411381763511,0.7744411381763511,0.5204918032786886,0.7744411381763511,0.5204918032786886,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,2,0.1,0.7828961804751704,0.7828961804751704,0.7828961804751704,0.7828961804751704,0.5245901639344263,0.7828961804751704,0.5245901639344263,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,3,0.1,0.8312190065150762,0.8306829423892534,0.8306829423892534,0.8312190065150762,0.6721311475409836,0.8306829423892534,0.6721311475409836,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,4,0.1,0.8529532980365221,0.8529532980365221,0.8529532980365221,0.8529532980365221,0.7008196721311475,0.8529532980365221,0.7008196721311475,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,5,0.1,0.6742687148207183,0.671955588717146,0.671955588717146,0.6742687148207183,0.5450819672131147,0.671955588717146,0.5450819672131147,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,6,0.1,0.9021248918005589,0.9021248918005589,0.9021248918005589,0.9021248918005589,0.5614754098360656,0.9021248918005589,0.5614754098360656,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,7,0.1,0.7899630030504777,0.7899630030504777,0.7899630030504777,0.7899630030504777,0.5,0.7899630030504777,0.5,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,8,0.1,0.8803739799085509,0.8803739799085509,0.8803739799085509,0.8803739799085509,0.5040983606557378,0.8803739799085509,0.5040983606557378,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,9,0.1,0.7258027157133461,0.7258027157133461,0.7258027157133461,0.7258027157133461,0.6557377049180327,0.7258027157133461,0.6557377049180327,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,0,0.1,0.615542047829089,0.5804489515840774,0.5804489515840774,0.9289029826986975,0.4344262295081967,0.9289029826986975,0.4344262295081967,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,1,0.1,0.7946642928492356,0.7857577729723877,0.7857577729723877,0.6958758929369432,0.35655737704918034,0.6898854046356693,0.3483606557377049,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,2,0.1,0.727296636351481,0.7171786726155445,0.7171786726155445,0.6011217379898399,0.3401639344262295,0.6011217379898399,0.3114754098360656,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,3,0.1,0.8250093346096603,0.7694083360048597,0.7694083360048597,0.8582988359007964,0.5081967213114754,0.8582988359007964,0.5081967213114754,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,4,0.1,0.7537288856906694,0.7200109779102297,0.7200109779102297,0.7166033812011409,0.46311475409836067,0.7166033812011409,0.46311475409836067,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,5,0.1,0.768864977354569,0.7660464921360071,0.7660464921360071,0.9442366287432565,0.49590163934426235,0.9442366287432565,0.49590163934426235,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,6,0.1,0.7559131539833763,0.7512662404969696,0.7514408315931456,0.774082980598183,0.3401639344262295,0.7737757233688701,0.3319672131147541,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,7,0.1,0.5256968106174511,0.6399911340101951,0.6471531541490405,0.5657874515772543,0.4262295081967213,0.5657874515772543,0.4098360655737705,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,8,0.1,0.7080672585620833,0.6976858766374787,0.6976858766374787,0.6811290156749521,0.5245901639344263,0.6811290156749521,0.5245901639344263,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,9,0.1,0.7913412219775193,0.7920107216732195,0.7920107216732195,0.7647150302150438,0.4877049180327869,0.7692347996843348,0.4713114754098361,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,0,0.1,0.5744889147184641,0.5744889147184641,0.5744889147184641,0.5744889147184641,0.5409836065573771,0.5744889147184641,0.5409836065573771,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,1,0.1,0.7200544348195049,0.7200544348195049,0.7200544348195049,0.7200544348195049,0.639344262295082,0.7200544348195049,0.639344262295082,
