class,arm,estimator,snr0,epsilon,quantile,L_stable_morphology_M,mean_reach_M,fraction_nonzero,n_realizations
L448_contrast,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,2.0972222222222223,0.1597222222222222,144
L448_contrast,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,1.8611111111111112,0.1388888888888889,144
L448_contrast,DIRECT_PHYSICAL,TSVD,100.0,0.25,0.95,0.0,2.0694444444444446,0.16666666666666666,144
L448_contrast,DIRECT_PHYSICAL,TSVD,1000.0,0.25,0.95,0.0,2.0416666666666665,0.16666666666666666,144
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,0.9861111111111112,0.09027777777777778,144
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,0.1111111111111111,0.05555555555555555,144
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,0.25,0.95,0.0,0.4027777777777778,0.041666666666666664,144
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,0.25,0.95,0.0,0.3333333333333333,0.027777777777777776,144
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,1.0555555555555556,0.0763888888888889,144
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,1.6666666666666667,0.10416666666666667,144
L448_contrast,TOTAL_FLUX,TSVD,100.0,0.25,0.95,0.0,1.1111111111111112,0.08333333333333333,144
L448_contrast,TOTAL_FLUX,TSVD,1000.0,0.25,0.95,0.0,2.3472222222222223,0.13194444444444445,144
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,2.0833333333333335,0.1597222222222222,144
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,1.9027777777777777,0.1388888888888889,144
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,0.25,0.95,0.0,2.0555555555555554,0.16666666666666666,144
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,0.25,0.95,0.0,2.0416666666666665,0.16666666666666666,144
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,7.180555555555555,0.2847222222222222,144
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,6.833333333333333,0.2777777777777778,144
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,0.25,0.95,0.0,3.875,0.16666666666666666,144
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,0.25,0.95,0.0,3.888888888888889,0.16666666666666666,144
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,5.319444444444445,0.16666666666666666,144
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,3.9305555555555554,0.13194444444444445,144
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,0.25,0.95,0.0,7.194444444444445,0.1597222222222222,144
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,0.25,0.95,0.0,6.930555555555555,0.13194444444444445,144
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,1.25,0.11805555555555555,144
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,1.875,0.14583333333333334,144
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,0.25,0.95,0.0,1.5,0.1111111111111111,144
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,0.25,0.95,0.0,2.1944444444444446,0.09722222222222222,144
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,7.180555555555555,0.2847222222222222,144
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,6.833333333333333,0.2777777777777778,144
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,0.25,0.95,0.0,0.7638888888888888,0.04861111111111111,144
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,0.25,0.95,0.0,1.375,0.0763888888888889,144
