source_class,estimator,arm,snr0,scope,bank,mean_direct,mean_arm,relative_reduction,median_relative_reduction,ci_low,ci_high,excludes_zero,n_truths,n_cells,n_families_improved,n_primary_banks_positive,all_primary_banks_positive,improved_circular_single_hotspot,improved_circular_two_hotspots,improved_circular_crescent,improved_plunging_hotspot,positive_constant_flux_structural,positive_structure_balanced_050,positive_structure_balanced_080
L1056,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,primary_banks_pooled,ALL_PRIMARY,10.070702282544685,8.754984709084374,0.12927151500593145,0.14171460419554188,0.09903556593147805,0.1595015365423478,True,96,12,4,3.0,True,True,True,True,True,True,True,True
L1056,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,single_bank,constant_flux_structural,23.64440254001959,20.586814612929672,0.1806402100380145,0.16478834408176618,0.1363726995106063,0.2243094146879162,True,32,4,4,,,,,,,,,
L1056,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,single_bank,structure_balanced_050,3.1714669828503927,2.9258120032809947,0.04796532904335388,0.06463031982306114,-0.005140552981389685,0.10234027353970403,False,32,4,3,,,,,,,,,
L1056,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,single_bank,structure_balanced_080,3.3962373247640745,2.752327511042452,0.159209005936426,0.17544462368046085,0.11432259587932596,0.20316595369763063,True,32,4,3,,,,,,,,,
L1056,RIDGE_IDENTITY,TOTAL_FLUX,100.0,primary_banks_pooled,ALL_PRIMARY,10.070702282544685,10.069874000680763,3.252311539609423e-05,-1.0631840735056687e-05,-0.00011202673931046944,0.00017718280228908284,False,96,12,2,1.0,False,False,True,True,False,True,False,False
L1056,RIDGE_IDENTITY,TOTAL_FLUX,100.0,single_bank,constant_flux_structural,23.64440254001959,23.640863229610964,0.00021728659567465554,5.419965234274699e-05,-2.8733804831360913e-05,0.00045137154646379224,False,32,4,2,,,,,,,,,
L1056,RIDGE_IDENTITY,TOTAL_FLUX,100.0,single_bank,structure_balanced_050,3.1714669828503927,3.1718068773927177,-6.072149153864178e-06,-0.00024351121669168285,-0.0002917667974805228,0.0002909301894582366,False,32,4,2,,,,,,,,,
L1056,RIDGE_IDENTITY,TOTAL_FLUX,100.0,single_bank,structure_balanced_080,3.3962373247640745,3.396951895038609,-0.00011364510033250866,-0.00013741140341859426,-0.00029948080639354566,6.978336700027248e-05,False,32,4,1,,,,,,,,,
L1056,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,primary_banks_pooled,ALL_PRIMARY,10.070702282544685,10.069134033772762,0.00013531576376875996,5.0345046887478885e-05,7.204678835361155e-05,0.00020022352476905403,True,96,12,3,3.0,True,True,True,True,False,True,True,True
L1056,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,single_bank,constant_flux_structural,23.64440254001959,23.640245988492296,0.00022508659689046709,0.00021155057466151257,0.00013971377241893277,0.0003097110330762373,True,32,4,3,,,,,,,,,
L1056,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,single_bank,structure_balanced_050,3.1714669828503927,3.171048397148941,0.00013360556040059883,9.660186232624076e-05,-1.1218065003294192e-05,0.000287222606724786,False,32,4,3,,,,,,,,,
L1056,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,single_bank,structure_balanced_080,3.3962373247640745,3.396107715677052,4.725513401521396e-05,-1.063736192901288e-05,-1.9290023030860368e-05,0.00011857628874266292,False,32,4,2,,,,,,,,,
L1056,TSVD,RESOLVED_PHYSICAL,100.0,primary_banks_pooled,ALL_PRIMARY,10.075928944926117,10.058009176542667,0.0014432606674456181,0.00026465605217662467,0.0008590269996540722,0.0020735244079793857,True,96,12,3,3.0,True,True,True,True,False,True,True,True
L1056,TSVD,RESOLVED_PHYSICAL,100.0,single_bank,constant_flux_structural,23.656839263232484,23.610132587702505,0.002425205475748188,0.0008797331044623573,0.001479766433344658,0.003454201423298043,True,32,4,4,,,,,,,,,
L1056,TSVD,RESOLVED_PHYSICAL,100.0,single_bank,structure_balanced_050,3.173676402079886,3.1690428582582335,0.001227935219496999,-4.802994382145461e-05,1.3239706598056927e-07,0.0025982215058513404,True,32,4,3,,,,,,,,,
L1056,TSVD,RESOLVED_PHYSICAL,100.0,single_bank,structure_balanced_080,3.397271169465979,3.3948520836672653,0.0006766413070916668,-8.542722421085258e-05,0.00015270697152751012,0.0012824833945044897,True,32,4,3,,,,,,,,,
L1056,TSVD,TOTAL_FLUX,100.0,primary_banks_pooled,ALL_PRIMARY,10.075928944926117,10.066353298368595,0.0006750963829332802,-1.248481397281888e-09,0.00021250183547681352,0.0011562836521432892,True,96,12,3,2.0,False,True,True,True,False,True,True,False
L1056,TSVD,TOTAL_FLUX,100.0,single_bank,constant_flux_structural,23.656839263232484,23.629512066500485,0.0014468541838405867,0.0012718516530131375,0.0008281757713070373,0.002061303624632572,True,32,4,3,,,,,,,,,
L1056,TSVD,TOTAL_FLUX,100.0,single_bank,structure_balanced_050,3.173676402079886,3.1722174561869374,0.00048593956110158654,-0.0005226574839222541,-0.000576867621683895,0.001636988656098241,False,32,4,3,,,,,,,,,
L1056,TSVD,TOTAL_FLUX,100.0,single_bank,structure_balanced_080,3.397271169465979,3.3973303724183648,9.249540385766778e-05,-0.0004383596756411067,-0.00037025501848825156,0.0005896094859137938,False,32,4,2,,,,,,,,,
L1056,TSVD,UNRESOLVED_IMAGE,100.0,primary_banks_pooled,ALL_PRIMARY,10.075928944926117,10.074569451982333,0.00011383818762524254,-3.938123473372077e-08,5.962707583771208e-05,0.00017173774854671987,True,96,12,3,3.0,True,True,True,True,False,True,True,True
L1056,TSVD,UNRESOLVED_IMAGE,100.0,single_bank,constant_flux_structural,23.656839263232484,23.653228031798882,0.00018875961882653059,0.0001018649144677427,0.00011370181400420156,0.0002675069026384605,True,32,4,3,,,,,,,,,
L1056,TSVD,UNRESOLVED_IMAGE,100.0,single_bank,structure_balanced_050,3.173676402079886,3.173313677082511,0.0001101035046394362,2.54910027133496e-05,-9.972688601805107e-06,0.00023982146842104716,False,32,4,3,,,,,,,,,
L1056,TSVD,UNRESOLVED_IMAGE,100.0,single_bank,structure_balanced_080,3.397271169465979,3.397166647065607,4.265143940976085e-05,-2.3617638478007587e-05,-1.913342047399664e-05,0.00011398615938695204,False,32,4,2,,,,,,,,,
L224,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,primary_banks_pooled,ALL_PRIMARY,10.051823379324906,9.344123935186845,0.07408073703611469,0.09244244973491317,0.05457181388892886,0.0933291675237677,True,96,12,3,3.0,True,True,True,True,False,True,True,True
L224,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,single_bank,constant_flux_structural,23.59316878120476,21.995730216752005,0.1003057480454896,0.09303545790705522,0.07292279251016746,0.12777149791600426,True,32,4,4,,,,,,,,,
L224,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,single_bank,structure_balanced_050,3.1686897329997907,3.021772481673316,0.026716006279398852,0.039492026590277785,-0.01080408019647047,0.06447450935202012,False,32,4,3,,,,,,,,,
L224,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,single_bank,structure_balanced_080,3.3936116237701675,3.014869107135218,0.09522045678345559,0.11634400628338136,0.06675973920909582,0.1221463960769989,True,32,4,3,,,,,,,,,
L224,RIDGE_IDENTITY,TOTAL_FLUX,100.0,primary_banks_pooled,ALL_PRIMARY,10.051823379324906,10.06304251409028,-0.0014620594769384375,-0.0010170342974370077,-0.0018694676269074807,-0.00107408107096547,False,96,12,0,0.0,False,False,False,False,False,False,False,False
L224,RIDGE_IDENTITY,TOTAL_FLUX,100.0,single_bank,constant_flux_structural,23.59316878120476,23.612749745578846,-0.0009489519428456552,-2.9182180110786358e-05,-0.001739462240175526,-0.0002714641866716587,False,32,4,1,,,,,,,,,
L224,RIDGE_IDENTITY,TOTAL_FLUX,100.0,single_bank,structure_balanced_050,3.1686897329997907,3.175746735933475,-0.0018376831065812114,-0.001304105425420611,-0.0025878791638522833,-0.0011539923916362342,False,32,4,0,,,,,,,,,
L224,RIDGE_IDENTITY,TOTAL_FLUX,100.0,single_bank,structure_balanced_080,3.3936116237701675,3.4006310607585224,-0.0015995433813884453,-0.0011970566923567606,-0.0021630243354362065,-0.0010605697022049159,False,32,4,0,,,,,,,,,
L224,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,primary_banks_pooled,ALL_PRIMARY,10.051823379324906,10.050506787192687,6.407887821345352e-05,-5.234498224103519e-06,-2.528308618058968e-05,0.00015387705179697154,False,96,12,3,1.0,False,True,True,True,False,True,False,False
L224,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,single_bank,constant_flux_structural,23.59316878120476,23.5889110346724,0.00021986325805885816,0.0002185611045932474,0.00011078343742452634,0.00032595800584992335,True,32,4,3,,,,,,,,,
L224,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,single_bank,structure_balanced_050,3.1686897329997907,3.1687638700193066,3.942308129887569e-06,-0.0001445796907004302,-0.0001988959148584393,0.00021785154949353604,False,32,4,3,,,,,,,,,
L224,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,single_bank,structure_balanced_080,3.3936116237701675,3.3938454568863574,-3.156893154838513e-05,-0.00012626406172293214,-0.00013225920423745512,7.245757937628152e-05,False,32,4,1,,,,,,,,,
L224,TSVD,RESOLVED_PHYSICAL,100.0,primary_banks_pooled,ALL_PRIMARY,10.05537227982545,10.033011148459964,-0.0011455138896177292,-0.0009563004658181993,-0.0038206634865488864,0.0017233501584330722,False,96,12,2,2.0,False,True,False,True,False,True,True,False
L224,TSVD,RESOLVED_PHYSICAL,100.0,single_bank,constant_flux_structural,23.62146404637304,23.539673494031177,0.0004101075135081885,-0.0007304763943949919,-0.005008110518810661,0.006439502396221544,False,32,4,3,,,,,,,,,
L224,TSVD,RESOLVED_PHYSICAL,100.0,single_bank,structure_balanced_050,3.1735670291132028,3.170033658599501,0.001728996798712935,0.0002592028495025816,-0.0024243447512563862,0.006228207334941348,False,32,4,2,,,,,,,,,
L224,TSVD,RESOLVED_PHYSICAL,100.0,single_bank,structure_balanced_080,3.3710857639901057,3.389326292749219,-0.005575645981074312,-0.0014321804510825159,-0.009542318625080622,-0.0018776950585458706,False,32,4,0,,,,,,,,,
L224,TSVD,TOTAL_FLUX,100.0,primary_banks_pooled,ALL_PRIMARY,10.05537227982545,10.062243814520519,-0.00516638049069697,-0.004567432079169887,-0.008178815405010703,-0.0020020776692012024,False,96,12,1,1.0,False,True,False,False,False,True,False,False
L224,TSVD,TOTAL_FLUX,100.0,single_bank,constant_flux_structural,23.62146404637304,23.590823902971795,-0.0025871290717014188,-0.0012487959694520803,-0.008486968771230686,0.0034978660100318582,False,32,4,3,,,,,,,,,
L224,TSVD,TOTAL_FLUX,100.0,single_bank,structure_balanced_050,3.1735670291132028,3.1884356341754216,-0.003167985466665489,-0.004883900130578852,-0.00817351311506846,0.002078230286267924,False,32,4,1,,,,,,,,,
L224,TSVD,TOTAL_FLUX,100.0,single_bank,structure_balanced_080,3.3710857639901057,3.407471906414337,-0.009744026933724002,-0.0053143743383799276,-0.014258398337698812,-0.005501820774802949,False,32,4,0,,,,,,,,,
L224,TSVD,UNRESOLVED_IMAGE,100.0,primary_banks_pooled,ALL_PRIMARY,10.05537227982545,10.050205913443111,0.00023517993623675419,-4.387439566273718e-06,-0.0001954299145962109,0.0006740021701378633,False,96,12,3,1.0,False,True,True,True,False,True,False,False
L224,TSVD,UNRESOLVED_IMAGE,100.0,single_bank,constant_flux_structural,23.62146404637304,23.603830666053366,0.0009425964928449642,0.0007950699799961233,0.00038415298953294806,0.0014820479079923998,True,32,4,4,,,,,,,,,
L224,TSVD,UNRESOLVED_IMAGE,100.0,single_bank,structure_balanced_050,3.1735670291132028,3.1745457264683425,-0.00014533947977730894,-0.0011184307802354996,-0.0010678833513814464,0.0008296409867275671,False,32,4,2,,,,,,,,,
L224,TSVD,UNRESOLVED_IMAGE,100.0,single_bank,structure_balanced_080,3.3710857639901057,3.3722413478076234,-9.171720435739275e-05,-0.0002509247680953363,-0.0006792089223751636,0.0005293242491494529,False,32,4,2,,,,,,,,,
L448,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,primary_banks_pooled,ALL_PRIMARY,10.072129508817206,10.068726617290789,0.00028833819878268315,0.00018670386122781644,0.00017609552749268218,0.00040556092015839714,True,96,12,3,3.0,True,True,True,True,False,True,True,True
L448,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,single_bank,constant_flux_structural,23.647115255471952,23.638374917733074,0.0004538979812897093,0.0003409212758612905,0.00030206295212129226,0.0006126941832067939,True,32,4,4,,,,,,,,,
L448,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,single_bank,structure_balanced_050,3.1725609408313398,3.171818087798,0.00021251550811620732,0.00012092980538409628,-4.6565789307116526e-05,0.000491587591079582,False,32,4,3,,,,,,,,,
L448,RIDGE_IDENTITY,RESOLVED_PHYSICAL,100.0,single_bank,structure_balanced_080,3.39671233014832,3.395986846341295,0.00019860110694213282,0.0001486637532463952,8.847610108126002e-05,0.000320805869702102,True,32,4,3,,,,,,,,,
L448,RIDGE_IDENTITY,TOTAL_FLUX,100.0,primary_banks_pooled,ALL_PRIMARY,10.072129508817206,10.072468518702168,-0.00019240105568652638,-0.000146810032974196,-0.0003811833517274761,-4.282298752962324e-06,False,96,12,1,1.0,False,False,True,False,False,True,False,False
L448,RIDGE_IDENTITY,TOTAL_FLUX,100.0,single_bank,constant_flux_structural,23.647115255471952,23.644764111428465,0.00011625714939671182,0.00011134005661969113,-0.00015808191082212813,0.0003736721844893242,False,32,4,2,,,,,,,,,
L448,RIDGE_IDENTITY,TOTAL_FLUX,100.0,single_bank,structure_balanced_050,3.1725609408313398,3.174214091623319,-0.0003668698528235875,-0.0005003443092542771,-0.0007645680291292081,1.918980068860823e-05,False,32,4,1,,,,,,,,,
L448,RIDGE_IDENTITY,TOTAL_FLUX,100.0,single_bank,structure_balanced_080,3.39671233014832,3.3984273530547155,-0.00032659046363270344,-0.0001778580181648572,-0.0005948815817270144,-6.438146473118173e-05,False,32,4,1,,,,,,,,,
L448,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,primary_banks_pooled,ALL_PRIMARY,10.072129508817206,10.070863161757616,7.158613925651359e-05,-2.7012024786678376e-06,-5.705086536894382e-06,0.00014956710179174856,False,96,12,3,2.0,False,True,True,True,False,True,True,False
L448,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,single_bank,constant_flux_structural,23.647115255471952,23.643187536210455,0.0002001077768523166,0.0002029820598331902,0.00010390394337785282,0.0002943446004338737,True,32,4,3,,,,,,,,,
L448,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,single_bank,structure_balanced_050,3.1725609408313398,3.1725253430645903,3.485550063020739e-05,-0.00011761458382568708,-0.00014104547251571006,0.0002210158829788673,False,32,4,3,,,,,,,,,
L448,RIDGE_IDENTITY,UNRESOLVED_IMAGE,100.0,single_bank,structure_balanced_080,3.39671233014832,3.3968766059977993,-2.0204859712983266e-05,-0.00010303604750792563,-0.00010398908624389338,6.740228607719385e-05,False,32,4,1,,,,,,,,,
L448,TSVD,RESOLVED_PHYSICAL,100.0,primary_banks_pooled,ALL_PRIMARY,10.077327362589969,10.077159576286054,1.4877998399238939e-05,2.2028668438783463e-06,7.98957847382534e-06,2.215879220025422e-05,True,96,12,3,3.0,True,True,True,True,False,True,True,True
