source_class,arm,target_separation_sigma,realized_separation_sigma,relative_error
L1056,DIRECT_PHYSICAL,0.25,0.2500000000000001,4.440892098500626e-16
L1056,DIRECT_PHYSICAL,0.25,0.2499999999999999,4.440892098500626e-16
L1056,DIRECT_PHYSICAL,0.25,0.25000000000000017,6.661338147750939e-16
L1056,DIRECT_PHYSICAL,0.25,0.25000000000000017,6.661338147750939e-16
L1056,DIRECT_PHYSICAL,0.25,0.25000000000000017,6.661338147750939e-16
L1056,DIRECT_PHYSICAL,0.25,0.25000000000000017,6.661338147750939e-16
L1056,DIRECT_PHYSICAL,0.25,0.2499999999999999,4.440892098500626e-16
L1056,DIRECT_PHYSICAL,0.25,0.25,0.0
L1056,DIRECT_PHYSICAL,1.0,1.0000000000000004,4.440892098500626e-16
L1056,DIRECT_PHYSICAL,1.0,0.9999999999999998,2.220446049250313e-16
L1056,DIRECT_PHYSICAL,1.0,1.0000000000000004,4.440892098500626e-16
L1056,DIRECT_PHYSICAL,1.0,1.0000000000000009,8.881784197001252e-16
L1056,DIRECT_PHYSICAL,1.0,1.0000000000000007,6.661338147750939e-16
L1056,DIRECT_PHYSICAL,1.0,1.0000000000000016,1.5543122344752192e-15
L1056,DIRECT_PHYSICAL,1.0,0.9999999999999997,3.3306690738754696e-16
L1056,DIRECT_PHYSICAL,1.0,1.0000000000000002,2.220446049250313e-16
L1056,DIRECT_PHYSICAL,4.0,4.0,0.0
L1056,DIRECT_PHYSICAL,4.0,4.0,0.0
L1056,DIRECT_PHYSICAL,4.0,4.000000000000003,6.661338147750939e-16
L1056,DIRECT_PHYSICAL,4.0,4.000000000000003,6.661338147750939e-16
L1056,DIRECT_PHYSICAL,4.0,4.000000000000002,4.440892098500626e-16
L1056,DIRECT_PHYSICAL,4.0,4.000000000000003,6.661338147750939e-16
L1056,DIRECT_PHYSICAL,4.0,4.000000000000002,4.440892098500626e-16
L1056,DIRECT_PHYSICAL,4.0,4.000000000000003,6.661338147750939e-16
L1056,RESOLVED_PHYSICAL,0.25,0.25,0.0
L1056,RESOLVED_PHYSICAL,0.25,0.24999999999999983,6.661338147750939e-16
L1056,RESOLVED_PHYSICAL,0.25,0.2499999999999999,4.440892098500626e-16
L1056,RESOLVED_PHYSICAL,0.25,0.25000000000000006,2.220446049250313e-16
L1056,RESOLVED_PHYSICAL,0.25,0.2499999999999999,4.440892098500626e-16
L1056,RESOLVED_PHYSICAL,0.25,0.25,0.0
L1056,RESOLVED_PHYSICAL,0.25,0.24999999999999986,5.551115123125783e-16
L1056,RESOLVED_PHYSICAL,0.25,0.24999999999999994,2.220446049250313e-16
L1056,RESOLVED_PHYSICAL,1.0,0.9999999999999999,1.1102230246251565e-16
L1056,RESOLVED_PHYSICAL,1.0,0.9999999999999999,1.1102230246251565e-16
L1056,RESOLVED_PHYSICAL,1.0,1.0000000000000002,2.220446049250313e-16
L1056,RESOLVED_PHYSICAL,1.0,1.0,0.0
L1056,RESOLVED_PHYSICAL,1.0,0.9999999999999998,2.220446049250313e-16
L1056,RESOLVED_PHYSICAL,1.0,0.9999999999999992,7.771561172376096e-16
L1056,RESOLVED_PHYSICAL,1.0,0.9999999999999989,1.1102230246251565e-15
L1056,RESOLVED_PHYSICAL,1.0,0.999999999999999,9.992007221626409e-16
L1056,RESOLVED_PHYSICAL,4.0,3.9999999999999942,1.4432899320127035e-15
L1056,RESOLVED_PHYSICAL,4.0,3.9999999999999996,1.1102230246251565e-16
L1056,RESOLVED_PHYSICAL,4.0,3.9999999999999973,6.661338147750939e-16
L1056,RESOLVED_PHYSICAL,4.0,3.9999999999999947,1.3322676295501878e-15
L1056,RESOLVED_PHYSICAL,4.0,3.999999999999997,7.771561172376096e-16
L1056,RESOLVED_PHYSICAL,4.0,3.9999999999999982,4.440892098500626e-16
L1056,RESOLVED_PHYSICAL,4.0,3.999999999999997,7.771561172376096e-16
L1056,RESOLVED_PHYSICAL,4.0,3.9999999999999987,3.3306690738754696e-16
L1056,UNRESOLVED_IMAGE,0.25,0.24999999999999983,6.661338147750939e-16
L1056,UNRESOLVED_IMAGE,0.25,0.24999999999999986,5.551115123125783e-16
L1056,UNRESOLVED_IMAGE,0.25,0.2499999999999998,7.771561172376096e-16
L1056,UNRESOLVED_IMAGE,0.25,0.25000000000000017,6.661338147750939e-16
L1056,UNRESOLVED_IMAGE,0.25,0.24999999999999986,5.551115123125783e-16
L1056,UNRESOLVED_IMAGE,0.25,0.2500000000000001,4.440892098500626e-16
L1056,UNRESOLVED_IMAGE,0.25,0.24999999999999972,1.1102230246251565e-15
L1056,UNRESOLVED_IMAGE,0.25,0.2500000000000002,8.881784197001252e-16
L1056,UNRESOLVED_IMAGE,1.0,0.9999999999999988,1.2212453270876722e-15
L1056,UNRESOLVED_IMAGE,1.0,1.0000000000000004,4.440892098500626e-16
L1056,UNRESOLVED_IMAGE,1.0,1.0000000000000009,8.881784197001252e-16
L1056,UNRESOLVED_IMAGE,1.0,0.9999999999999992,7.771561172376096e-16
L1056,UNRESOLVED_IMAGE,1.0,0.9999999999999984,1.5543122344752192e-15
L1056,UNRESOLVED_IMAGE,1.0,0.9999999999999996,4.440892098500626e-16
L1056,UNRESOLVED_IMAGE,1.0,1.0000000000000007,6.661338147750939e-16
L1056,UNRESOLVED_IMAGE,1.0,1.0000000000000009,8.881784197001252e-16
L1056,UNRESOLVED_IMAGE,4.0,3.999999999999995,1.2212453270876722e-15
L1056,UNRESOLVED_IMAGE,4.0,3.9999999999999982,4.440892098500626e-16
L1056,UNRESOLVED_IMAGE,4.0,3.999999999999999,2.220446049250313e-16
L1056,UNRESOLVED_IMAGE,4.0,3.999999999999998,5.551115123125783e-16
L1056,UNRESOLVED_IMAGE,4.0,3.9999999999999996,1.1102230246251565e-16
L1056,UNRESOLVED_IMAGE,4.0,3.999999999999998,5.551115123125783e-16
L1056,UNRESOLVED_IMAGE,4.0,3.999999999999996,9.992007221626409e-16
L1056,UNRESOLVED_IMAGE,4.0,3.999999999999999,2.220446049250313e-16
L1056,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L1056,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L1056,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L1056,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L1056,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L1056,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L1056,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L1056,TOTAL_FLUX,0.25,0.24999999999999986,5.551115123125783e-16
L1056,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L1056,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L1056,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L1056,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L1056,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L1056,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L1056,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L1056,TOTAL_FLUX,1.0,0.9999999999999994,5.551115123125783e-16
L1056,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L1056,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L1056,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L1056,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L1056,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L1056,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L1056,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L1056,TOTAL_FLUX,4.0,3.999999999999998,5.551115123125783e-16
L448,DIRECT_PHYSICAL,0.25,0.2500000000000001,4.440892098500626e-16
L448,DIRECT_PHYSICAL,0.25,0.25000000000000006,2.220446049250313e-16
L448,DIRECT_PHYSICAL,0.25,0.25,0.0
L448,DIRECT_PHYSICAL,0.25,0.24999999999999972,1.1102230246251565e-15
L448,DIRECT_PHYSICAL,0.25,0.2500000000000001,4.440892098500626e-16
L448,DIRECT_PHYSICAL,0.25,0.2500000000000001,4.440892098500626e-16
L448,DIRECT_PHYSICAL,0.25,0.25,0.0
L448,DIRECT_PHYSICAL,0.25,0.2499999999999998,7.771561172376096e-16
L448,DIRECT_PHYSICAL,1.0,1.0000000000000002,2.220446049250313e-16
L448,DIRECT_PHYSICAL,1.0,0.9999999999999994,5.551115123125783e-16
L448,DIRECT_PHYSICAL,1.0,0.9999999999999997,3.3306690738754696e-16
L448,DIRECT_PHYSICAL,1.0,0.9999999999999994,5.551115123125783e-16
L448,DIRECT_PHYSICAL,1.0,1.0,0.0
L448,DIRECT_PHYSICAL,1.0,0.9999999999999996,4.440892098500626e-16
L448,DIRECT_PHYSICAL,1.0,0.9999999999999994,5.551115123125783e-16
L448,DIRECT_PHYSICAL,1.0,0.9999999999999994,5.551115123125783e-16
L448,DIRECT_PHYSICAL,4.0,3.9999999999999996,1.1102230246251565e-16
L448,DIRECT_PHYSICAL,4.0,3.999999999999998,5.551115123125783e-16
L448,DIRECT_PHYSICAL,4.0,3.999999999999996,9.992007221626409e-16
L448,DIRECT_PHYSICAL,4.0,4.0,0.0
L448,DIRECT_PHYSICAL,4.0,4.000000000000002,4.440892098500626e-16
L448,DIRECT_PHYSICAL,4.0,3.9999999999999942,1.4432899320127035e-15
L448,DIRECT_PHYSICAL,4.0,4.0,0.0
L448,DIRECT_PHYSICAL,4.0,3.9999999999999996,1.1102230246251565e-16
L448,RESOLVED_PHYSICAL,0.25,0.25000000000000006,2.220446049250313e-16
L448,RESOLVED_PHYSICAL,0.25,0.24999999999999992,3.3306690738754696e-16
L448,RESOLVED_PHYSICAL,0.25,0.2500000000000001,4.440892098500626e-16
L448,RESOLVED_PHYSICAL,0.25,0.24999999999999997,1.1102230246251565e-16
L448,RESOLVED_PHYSICAL,0.25,0.2500000000000003,1.1102230246251565e-15
L448,RESOLVED_PHYSICAL,0.25,0.25,0.0
