source_class,arm,estimator,snr0,selected_hyperparameter,selection_error,n_grid,at_max_regularization_end,grid_max,grid_min
L1056,DIRECT_PHYSICAL,TSVD,100.0,0.00031622776601683794,8.897154145887676,15,False,1.0,1e-07
L1056,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-06,8.87801567157844,21,False,1.0,1e-10
L1056,RESOLVED_PHYSICAL,TSVD,100.0,0.001,6.889978094943184,15,False,1.0,1e-07
L1056,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-06,6.7132707356949295,21,False,1.0,1e-10
L1056,UNRESOLVED_IMAGE,TSVD,100.0,0.001,8.22181319517119,15,False,1.0,1e-07
L1056,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1e-06,8.063561275042586,21,False,1.0,1e-10
L1056,TOTAL_FLUX,TSVD,100.0,0.0031622776601683794,8.97172512168945,15,False,1.0,1e-07
L1056,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1e-10,8.97184884630038,21,False,1.0,1e-10
L448,DIRECT_PHYSICAL,TSVD,100.0,0.001,8.140051988576426,15,False,1.0,1e-07
L448,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,8.098386839636238,21,False,1.0,1e-10
L448,RESOLVED_PHYSICAL,TSVD,100.0,0.00031622776601683794,6.331697689350366,15,False,1.0,1e-07
L448,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,5.807419153576909,21,False,1.0,1e-10
L448,UNRESOLVED_IMAGE,TSVD,100.0,0.00031622776601683794,7.709441551217986,15,False,1.0,1e-07
L448,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.162277660168379e-07,7.308651140399228,21,False,1.0,1e-10
L448,TOTAL_FLUX,TSVD,100.0,1.0,8.217298507414922,15,True,1.0,1e-07
L448,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.0,8.216434830373975,21,True,1.0,1e-10
L224,DIRECT_PHYSICAL,TSVD,100.0,0.001,7.545689244884161,15,False,1.0,1e-07
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,7.4163664706846335,21,False,1.0,1e-10
L224,RESOLVED_PHYSICAL,TSVD,100.0,0.00031622776601683794,5.112993370057827,15,False,1.0,1e-07
L224,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1e-07,4.66948574595301,21,False,1.0,1e-10
L224,UNRESOLVED_IMAGE,TSVD,100.0,0.001,7.109141039689734,15,False,1.0,1e-07
L224,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,3.162277660168379e-07,6.431059013088487,21,False,1.0,1e-10
L224,TOTAL_FLUX,TSVD,100.0,1.0,7.868474525889354,15,True,1.0,1e-07
L224,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.0,7.856035894400473,21,True,1.0,1e-10
