source_class,arm,snr0,bank,family,index,retarded_age,structure_error_normalized,in_old_band
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,0.0,0.4724580211358712,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,2.0,0.39577817720864716,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,4.0,0.3213320551696535,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,6.0,0.2402822377667105,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,8.0,0.16309176744340526,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,10.0,0.1026455268190826,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,12.0,0.05420480158003308,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,14.0,0.04347149887882355,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,16.0,0.048313676318378025,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,18.0,0.05250667351801735,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,20.0,0.05279507676609908,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,22.0,0.0469868704553065,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,24.0,0.039663395932565,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,26.0,0.0313899157563449,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,28.0,0.028037673342578753,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,30.0,0.037207549263088766,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,32.0,0.054586308791051294,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,34.0,0.08179689384867472,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,36.0,0.1061285895601014,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,38.0,0.13178883465928157,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,40.0,0.1549107829431241,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,42.0,0.17915659153082533,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,44.0,0.20311369115316585,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,46.0,0.23041616208541757,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,48.0,0.2526700552774753,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,50.0,0.26639483170384454,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,52.0,0.28016186193846004,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,54.0,0.30242045104116727,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,56.0,0.33368021894723304,False
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,58.0,0.3834550466256337,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,60.0,0.43971749685606826,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,62.0,0.5061753831889093,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,64.0,0.5762894748845544,True
L224,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,66.0,0.652549374592795,True
