source_class,arm,estimator,snr0,bank,family,index,selected_hyperparameter,old_band_structure_error,running_max_rel_at_age0
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,0,0.001,15.438392161079959,0.4724580211358712
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,1,0.001,10.898123905334757,0.46229930344887654
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,2,0.001,8.566032834788256,0.3273790681631058
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,3,0.001,15.32293123009843,0.5363458309784815
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,4,0.001,20.949664060333927,0.5784241993747509
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,5,0.001,22.375818022351982,0.21927009171677225
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,6,0.001,11.238527104514137,0.5175028275463779
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_single_hotspot,7,0.001,20.501355805874425,0.4567668411421716
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,0,0.001,8.792802808352953,0.7132584961439689
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,1,0.001,10.519320655151482,0.38302690037936266
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,2,0.001,8.3018511733758,0.36586819176745555
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,3,0.001,7.272424452037136,0.24793290548536145
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,4,0.001,16.06192782644642,0.43073955764401545
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,5,0.001,12.403015581501606,0.5813864312572932
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,6,0.001,21.04611532604423,0.5969020703134542
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_two_hotspots,7,0.001,13.602406260004058,0.5571578133198369
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,0,0.001,7.286093368576371,0.34547241943174517
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,1,0.001,14.666914358672145,0.21393666180249202
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,2,0.001,9.899875932282711,0.5992767776849803
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,3,0.001,13.503748032794965,0.21686639010241482
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,4,0.001,9.217343333020866,0.4061889834294428
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,5,0.001,8.695672043270024,0.4961638200639925
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,6,0.001,9.363191185844572,0.16715513513397837
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,circular_crescent,7,0.001,7.050934130223066,0.5211456257776124
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,plunging_hotspot,0,0.001,27.705162413385494,0.8562984916770567
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,plunging_hotspot,1,0.001,27.04677875909975,0.6044197231595643
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,plunging_hotspot,2,0.001,35.12577396639661,0.8396268958342186
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,plunging_hotspot,3,0.001,39.310957102377955,0.9081994448461838
L224,DIRECT_PHYSICAL,TSVD,100.0,constant_flux_structural,plunging_hotspot,4,0.001,25.45490884175465,0.6301335897126261
