source_class,bank,family,split,index,content_hash,achieved_structure_fraction,level_fraction,target_structure_fraction,representation_floor,in_class_residual,reprojection_residual_relative,min_value,negative_mass_relative,achievable
L224,constant_flux_structural,circular_single_hotspot,selection,0,29a12f5362906cff09112020bb4c0c93a5c9fe07db2139d5a179a023492a5790,0.7094532819734434,0.7047524676772049,,1.0838243528727341e-15,0.0,0.15654723570111193,0.0,0.0,True
L224,constant_flux_structural,circular_single_hotspot,selection,1,d236bfac1a8545c55b24ecfe95f276111b2e31f4a41802f1374f6f38d34460c7,0.9226811407977049,0.38556388889034443,,1.2939286398292212e-15,0.0,0.1561229514099262,-4.594901424272142,0.21489546753171435,True
L224,constant_flux_structural,circular_single_hotspot,selection,2,b29d2b46906b1051ac11a934a75e8ccd14c6491067713915e3af901b9a03db57,0.9177944231592944,0.39705591145038766,,1.1396955833896446e-15,0.0,0.1565319530395712,-1.8307657693889827,0.10323383250086224,True
L224,constant_flux_structural,circular_single_hotspot,selection,3,197eba50310d523d32a4832233b5ba7fad23a5915244f96899b6c598fe67af33,0.7654308777961962,0.6435181204256369,,1.573734770573329e-15,0.0,0.15649106604256804,-0.9515985626497525,0.08484532110725267,True
L224,constant_flux_structural,circular_single_hotspot,selection,4,ffebe2a659a48c5bc58444396e9f2fd2c7370c3d6ee32dfa06fa37870a450526,0.7328614704679465,0.680377884049415,,1.8695582178469484e-15,0.0,0.15606845428120972,-0.40301640987532594,0.040408826865689286,True
L224,constant_flux_structural,circular_single_hotspot,selection,5,b5129b7b20061723dbb626eadd71ea327f14441bfff43f6fd243a96e21a22311,0.8689724115512362,0.4948605338505275,,2.1072300269600394e-15,0.0,0.1545878271921643,-1.719429782068389,0.12238297188771664,True
L224,constant_flux_structural,circular_single_hotspot,selection,6,2c1309d801865f89d8545d7188803c4f2b47da5a78b88382428765110bcbb583,0.8900247301484842,0.4559122500263817,,1.4573418431857104e-15,0.0,0.15658535232420026,-2.7507092602163437,0.24136932381209333,True
L224,constant_flux_structural,circular_single_hotspot,selection,7,fb6ee6e0c06582ef0f3df3c8fc997a4dda93a0eb7ec427f5e17da21bed258bda,0.6443995450638653,0.7646889735843478,,2.4904527521363296e-15,0.0,0.15635174465997567,-0.3658219755002892,0.045750649255809614,True
L224,constant_flux_structural,circular_single_hotspot,pilot,0,521b890ecd4baf0a0c33a11c3ae7847932c9f594bde7f10ba84d2526657250c8,0.8271391303448485,0.5619972055556572,,1.029037870356705e-15,0.0,0.15664236162321363,-1.0910230351797405,0.11650537825528752,True
L224,constant_flux_structural,circular_single_hotspot,pilot,1,51cbc08af0ffa6ac821fda7b4f4446c8e2b9e811d0f1c2d6f02d57f2ecdd1742,0.6682352305615056,0.743950049826204,,1.5020748897171818e-15,0.0,0.15649916064339217,-0.08155349834233556,0.009217407966121362,True
L224,constant_flux_structural,circular_single_hotspot,pilot,2,ea50b959363e061ba21c184003dc34ec580ae30a9abc5705d2c8a7edfb81d57b,0.6442042877685851,0.7648534733009781,,1.330429678503549e-15,0.0,0.15654623474185134,-0.011373790944921448,0.001439040094041251,True
L224,constant_flux_structural,circular_single_hotspot,pilot,3,c45f9d359d77c9ba983c34fc7fd459cfd352546d01f0b63e3c525d39861b87e7,0.8374201866535536,0.5465596316826989,,1.3824288790540596e-15,0.0,0.15651460149475419,-2.083357227546991,0.15649510538563197,True
L224,constant_flux_structural,circular_single_hotspot,pilot,4,8fca56e82c2d328bb614b561e9261db4b559be26e31ec89a3d3a27421ab6d63a,0.8783331518275675,0.47804902928533505,,1.4139451675440144e-15,0.0,0.156502708973853,-2.0872813092834117,0.2037861955185946,True
L224,constant_flux_structural,circular_single_hotspot,pilot,5,123dace81d3b9b6646ce09cedf0a93ad782b4e0bc5d0e54c70a770cbd7d65c68,0.8838805602444905,0.46771268447828707,,2.1481452254344846e-15,0.0,0.15572731868428039,-0.82902546299402,0.04658975192658729,True
L224,constant_flux_structural,circular_single_hotspot,pilot,6,c780b2e0cac3911a444be334bb064806e268cfe073cb46bc09467e48573cc798,0.7579241391848337,0.6523427007646586,,1.3738499788058127e-15,0.0,0.15652135892608848,-0.9002094940239943,0.08433670615375026,True
L224,constant_flux_structural,circular_single_hotspot,pilot,7,528941ca38618b832cb4f3b77ea1bbf015cc55ac90c2178b9121e1d9e305b8d9,0.8628043448072681,0.505537993212875,,1.25665488284308e-15,0.0,0.15650253724484126,-2.091743542209386,0.22388086336087654,True
L224,constant_flux_structural,circular_two_hotspots,selection,0,4ded28aa3be2240d607f7269c4bb1a7cd5f7334c06fed9a37bfceb12a98f2c4b,0.7076323940157214,0.7065807773634794,,1.2047574413272298e-15,0.0,0.15750176058289517,-0.767714265191604,0.08145189667986252,True
L224,constant_flux_structural,circular_two_hotspots,selection,1,8570fb78c76a8fe898510d4e3ac8cd9f485e8e23c3535e08db856e4e4328e03a,0.8066605683642681,0.5910149976491594,,1.308294419797885e-15,0.0,0.1552186191717679,-0.1897369713973893,0.010320215303550536,True
L224,constant_flux_structural,circular_two_hotspots,selection,2,71dfe0a9da7ebc5c36cdff6eb244f3daf76ad9d6a76726005053db6afb7dc01d,0.7747540387971783,0.6322627455160238,,1.2464504065839452e-15,0.0,0.15302385814520597,-1.069507704277955,0.1411921756175391,True
L224,constant_flux_structural,circular_two_hotspots,selection,3,9a341cf5d2f4a6118e947d9c8de29024df0cdfb6e94e19d3a30c0221865b2599,0.7068406633677174,0.7073727988902918,,1.5059956811657818e-15,0.0,0.1601380466715509,-0.5782566837286921,0.07738740470206859,True
L224,constant_flux_structural,circular_two_hotspots,selection,4,1e8a11518232e34ba0b0538300177cd7ed3d57e7f68496e101b45ed1402c1ae0,0.709388717381906,0.7048174569711325,,1.2218818228009119e-15,0.0,0.1647798543549342,-0.3690263711530545,0.024218416116810675,True
L224,constant_flux_structural,circular_two_hotspots,selection,5,a38ae193759ce694e2a494fbf76d7c6ec0b1343513485771f0101b67d174b9da,0.732129688916858,0.6811652652671778,,2.491821940101113e-15,0.0,0.15160601217996061,-0.5514221451667687,0.06502900505603873,True
L224,constant_flux_structural,circular_two_hotspots,selection,6,50d92aa9d8586c5620ed36cab61a3602d880eb211fcedd84847d6561de02e568,0.7000772893605717,0.7140670759260326,,1.243810400614823e-15,0.0,0.15954818859621409,-0.8238580491991605,0.09829880854028707,True
L224,constant_flux_structural,circular_two_hotspots,selection,7,796536ba905c663f7db2d2df45eb7dc0126d56315af0a04d16a5fe0fed81adc7,0.6766086125563098,0.7363428450216825,,1.250548947936602e-15,0.0,0.15678600959893052,-0.637113545214468,0.08379202480479331,True
L224,constant_flux_structural,circular_two_hotspots,pilot,0,b90223bcb60917a09fb24553021e2e55c6e95e3ee38e4bfc057210b9cb116480,0.6198171443848243,0.7847462695206916,,1.816154656088461e-15,0.0,0.15194980434550642,-0.23492694919173548,0.01855408619248785,True
L224,constant_flux_structural,circular_two_hotspots,pilot,1,cd91a0de4b0fb6ab7eab674507e394375eec21982c65efe6c8891fed47bebf88,0.6474966291290892,0.7620683140417706,,1.661845531853417e-15,0.0,0.15517155682492847,-0.4565279855813222,0.06443164632707638,True
L224,constant_flux_structural,circular_two_hotspots,pilot,2,aaa276e58f1e929746c43812a784e297a09c86b2efa59fd0417ddd2ef1c14780,0.5966734934708618,0.802484107125666,,1.4606114552702287e-15,0.0,0.15407582309097284,-0.4797976985380556,0.060848023886336464,True
L224,constant_flux_structural,circular_two_hotspots,pilot,3,1ae1c5f509c4083020fe3dd9489af827ab00cffeb1bdfdbb6b371fec8784b701,0.5308515653709472,0.8474648166993217,,1.4443627182114632e-15,0.0,0.1544888452222855,-0.30584955659425045,0.050793274409933614,True
L224,constant_flux_structural,circular_two_hotspots,pilot,4,9813aff73909556f88b013c9af922c82c6c98a12ff9fc2adf3c65d3b38b7b858,0.8090670498546468,0.5877163506654366,,1.0455999397467272e-15,0.0,0.16052502983279218,-1.43121151755635,0.13396134440544918,True
L224,constant_flux_structural,circular_two_hotspots,pilot,5,5612c11539699c764c5fd736523bd4ca688fc125c9ec399446a5551b27cdc27f,0.7460262127772657,0.6659165787463246,,1.6707407185588029e-15,0.0,0.16350076666017835,-1.4380216541166797,0.10932485737801019,True
L224,constant_flux_structural,circular_two_hotspots,pilot,6,5d278f1f556b4ca7ef64d60f6d2d8a550cf453fbab6579bf0111b662a07f4e82,0.887635186574709,0.4605472565920696,,1.3464721086532438e-15,0.0,0.15339582120142725,-2.2663450189579337,0.19157074350461364,True
L224,constant_flux_structural,circular_two_hotspots,pilot,7,c2f6a7ec8f6acbb024d9814a830cf1ad8a012cd432185a512b0e7023910030aa,0.7679089728953493,0.640558981942186,,1.347901276494028e-15,0.0,0.15728129866007504,-0.014371642682779184,0.0010548076647392992,True
L224,constant_flux_structural,circular_crescent,selection,0,1d07ef96a7a8c7790f9241641d0b895a6d860590a9422ef273dcc2e3e769a09b,0.5365470852283487,0.8438703842018412,,1.926835523779264e-15,0.0,0.1565199194993573,-0.31820730320578644,0.049050661827529624,True
L224,constant_flux_structural,circular_crescent,selection,1,5e907274c1d173042069f42a7b41709efe76eee5aadde6c909dfc1d6ec355912,0.6106364314317807,0.7919110736744753,,4.01339695972344e-15,0.0,0.15609752198924123,-0.3366616381795318,0.0469452410609044,True
L224,constant_flux_structural,circular_crescent,selection,2,641b3fc35b5bef22f1a451300189ea8bc7a868653ed6b9ec51da19fa1378f1a2,0.45786258713491984,0.8890229756885465,,2.8359620560793093e-15,0.0,0.1564949182059924,-0.1266119278183663,0.022395130365063774,True
L224,constant_flux_structural,circular_crescent,selection,3,80860cfae766c4eacd39f76a0c6d586256d97bc0bd26d2ff03260b3ae944291c,0.680086907157387,0.7331315016510338,,2.5815608941741667e-15,0.0,0.15611347349571839,-0.3425171102839123,0.04474824871883477,True
L224,constant_flux_structural,circular_crescent,selection,4,9c5d349e849773245727b0660c4a9da75310f391a63133ea3eb7bf1f088884c0,0.6015986051387027,0.7987985467532895,,1.3666033509683482e-15,0.0,0.15651019812355502,-0.418234322227137,0.055501212500012914,True
L224,constant_flux_structural,circular_crescent,selection,5,8736bdeb4c30e02cdbb743436bf398f329bbdd5bf4a5bc5c6eec813564959c56,0.6656796614456165,0.7462376218991169,,1.7958982281573418e-15,0.0,0.15650076898592918,-0.23252279574347404,0.029727706511042683,True
L224,constant_flux_structural,circular_crescent,selection,6,4329aee6196c87c77dfecc51ef8d2c977e05e60bda977fc20f54948def451f01,0.8669937821321945,0.498318955834627,,1.0705911608785427e-15,0.0,0.1565329363266147,-1.9351426504217384,0.21144118604622533,True
