source_class,arm,estimator,snr0,scope,bank,n_banks_in_scope,mean_direct,mean_arm,median_relative_reduction,median_ci_low,median_ci_high,relative_reduction,ci_low,ci_high,n_families_improved,all_primary_banks_positive,n_truths,n_cells,meets_materiality,improved_circular_single_hotspot,improved_circular_two_hotspots,improved_circular_crescent,improved_plunging_hotspot,positive_constant_flux_structural,positive_structure_balanced_050,positive_structure_balanced_080
L1056,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,all_declared_banks,MULTI,3,8.935442771625182,6.519808603276428,0.2388703684242442,0.17607623097582673,0.29899340633660265,0.1784746341826489,0.10458624337850218,0.2433907389733648,4,True,96,12,True,True,True,True,True,True,True,True
L1056,TOTAL_FLUX,RIDGE_IDENTITY,100.0,all_declared_banks,MULTI,3,8.935442771625182,9.047710403289685,-0.007433113327974321,-0.011846528761430209,-0.0026985198064593263,-0.0061772293923655274,-0.011280548752943109,-0.0006757402912543851,1,False,96,12,False,False,False,False,True,False,False,False
L1056,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,all_declared_banks,MULTI,3,8.935442771625182,8.000686218192874,0.07621871134362687,0.019680123108910732,0.12701263282954744,0.029769560771584463,-0.023457943785858654,0.07760365160348685,3,True,96,12,False,True,True,True,False,True,True,True
L1056,RESOLVED_PHYSICAL,TSVD,100.0,all_declared_banks,MULTI,3,8.958569570288914,6.753762269152351,0.22497432658591748,0.1602213524601147,0.28926679384818527,0.18170681308058398,0.12135963182049342,0.2360367250501157,4,True,96,12,True,True,True,True,True,True,True,True
L1056,TOTAL_FLUX,TSVD,100.0,all_declared_banks,MULTI,3,8.958569570288914,9.04771483274403,-0.0005535590213209803,-0.006176016789546804,0.0013667245252740228,0.011268294422148306,0.0006747654992302048,0.02372810015054185,1,False,96,12,False,False,False,False,True,False,True,True
L1056,UNRESOLVED_IMAGE,TSVD,100.0,all_declared_banks,MULTI,3,8.958569570288914,8.191384185340485,0.05809335519000337,0.007147760220426302,0.10608576578621733,0.025954443188135373,-0.016895647471573898,0.06468316346994653,3,True,96,12,False,True,True,True,False,True,True,True
L224,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,all_declared_banks,MULTI,3,7.153995349922947,4.134510883657575,0.3683018116241056,0.32062394089449126,0.41532276829267634,0.18049911894210927,0.06596356225263372,0.28341190521154624,4,True,96,12,True,True,True,True,True,True,True,True
L224,TOTAL_FLUX,RIDGE_IDENTITY,100.0,all_declared_banks,MULTI,3,7.153995349922947,7.684709251103631,-0.0550871234171223,-0.0802950927335993,-0.03768436782751617,-0.04846685391751576,-0.07346211861039358,-0.022186902753132422,1,False,96,12,False,False,False,False,True,False,False,False
L224,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,all_declared_banks,MULTI,3,7.153995349922947,6.169133835069885,0.11741842717215091,0.06400080048062169,0.16626149255948733,0.01689236816507626,-0.050572502617486394,0.07840896991453203,3,True,96,12,False,True,True,True,False,True,True,True
L224,RESOLVED_PHYSICAL,TSVD,100.0,all_declared_banks,MULTI,3,7.270319521551518,4.584559159507829,0.3124521548345489,0.2041217137447898,0.36235476887789303,-0.006176127062481163,-0.19624128434474397,0.15794610236981874,4,True,96,12,False,True,True,True,True,True,True,True
L224,TOTAL_FLUX,TSVD,100.0,all_declared_banks,MULTI,3,7.270319521551518,7.689362490120765,-0.04607081268930499,-0.06308611329169163,-0.02739386093740818,-0.04639268702634012,-0.06479070932306931,-0.028194342772736542,1,False,96,12,False,False,False,False,True,False,False,False
L224,UNRESOLVED_IMAGE,TSVD,100.0,all_declared_banks,MULTI,3,7.270319521551518,6.762255599664329,0.05872188637568225,0.01102675802188942,0.11375521566327239,0.011711615978429528,-0.033919892230559516,0.05320632324303679,3,True,96,12,False,True,True,True,False,True,True,True
L448,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,all_declared_banks,MULTI,3,8.244918223452858,5.55651809847787,0.31591920441929233,0.27264012993569003,0.33867528792825274,0.17452184350649216,0.07924105640679634,0.25756684351818177,4,True,96,12,True,True,True,True,True,True,True,True
L448,TOTAL_FLUX,RIDGE_IDENTITY,100.0,all_declared_banks,MULTI,3,8.244918223452858,8.38216282666373,-0.005724666037704553,-0.01855042677785749,-0.0004090302736033842,-0.0006561705729334384,-0.010884113715280377,0.011250243161401843,1,False,96,12,False,False,False,False,True,False,False,False
L448,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,all_declared_banks,MULTI,3,8.244918223452858,7.366678678746642,0.09852862722445824,0.028688532663595168,0.13405001519806584,-0.023244186278873046,-0.10241402749309021,0.04643114080948768,3,True,96,12,False,True,True,True,False,True,True,True
L448,RESOLVED_PHYSICAL,TSVD,100.0,all_declared_banks,MULTI,3,8.294313938892104,6.003363012872515,0.22222728352524496,0.15059611486540872,0.2669484554172473,-0.06375877281211367,-0.2557746929325624,0.09590901237206374,4,True,96,12,False,True,True,True,True,True,True,True
L448,TOTAL_FLUX,TSVD,100.0,all_declared_banks,MULTI,3,8.294313938892104,8.381358544509814,-0.003136073338138692,-0.007687902202611464,0.0010072414098751213,-0.004361780874557235,-0.009951957492892476,0.0012442970850105584,1,False,96,12,False,False,False,False,True,False,False,False
L448,UNRESOLVED_IMAGE,TSVD,100.0,all_declared_banks,MULTI,3,8.294313938892104,7.738196878587814,0.014823294804294992,-0.016343061630482106,0.06451265834528067,-0.2069895128442191,-0.35747203394360677,-0.0795327380525126,3,False,96,12,False,True,True,True,False,True,False,False
L1056,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,physical_banks_only,MULTI,2,3.074138545357254,2.391467502294221,0.17817659401176708,0.09570682316435282,0.25452755808090877,0.09774142603673076,0.00027155600475331395,0.1846580668009512,3,True,64,8,False,True,True,True,False,,True,True
L1056,TOTAL_FLUX,RIDGE_IDENTITY,100.0,physical_banks_only,MULTI,2,3.074138545357254,3.097919312520135,-0.004873016932974844,-0.00976875681238338,0.00030224517785357104,-5.702489676831079e-05,-0.0063222310599852635,0.006948748857727428,1,False,64,8,False,False,False,False,True,,False,False
L1056,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,physical_banks_only,MULTI,2,3.074138545357254,2.8802260514581683,0.018818074736149604,-0.07312194482286319,0.10306847839459768,-0.028930505551943875,-0.10017549928544663,0.0370189498243294,3,True,64,8,False,True,True,True,False,,True,True
L1056,RESOLVED_PHYSICAL,TSVD,100.0,physical_banks_only,MULTI,2,3.1191245118504733,2.4596330909797643,0.16819950229342667,0.09894080885580268,0.24090038156467936,0.11634226275435527,0.0390712225778172,0.1870731770534436,3,True,64,8,False,True,True,True,False,,True,True
L1056,TOTAL_FLUX,TSVD,100.0,physical_banks_only,MULTI,2,3.1191245118504733,3.0979109550457964,0.005635526126281111,-0.0002739264222377883,0.012879428146741013,0.02680088952053304,0.01293352742010886,0.04318136307825303,2,True,64,8,False,True,False,False,True,,True,True
