source_class,arm,snr0,bank,family,index,draw,max_rel_error_from_age0,passes_epsilon_everywhere,pass_to_age_M
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,0,1.0029691307005077,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,1,1.002448112098983,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,2,1.0030895070447003,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,0,3,1.0033959078960426,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,0,0.9999891881630721,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,1,1.0000369668768645,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,2,1.0000047307400581,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,1,3,1.0003029589829227,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,0,1.0011988376412293,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,1,1.0013377670874246,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,2,1.002678383823734,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,2,3,1.0027340586523308,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,0,1.003844903633578,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,1,1.0034445423758918,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,2,1.0036306238071773,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,3,3,1.003408925347925,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,4,0,1.0025471360269103,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,4,1,1.0021872162255963,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,4,2,1.00237966410173,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,4,3,1.0023413808674178,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,5,0,1.017672419523802,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,5,1,1.0283020632952309,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,5,2,1.0205623438507423,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,5,3,1.0317427435978423,False,0.0
L1056,DIRECT_PHYSICAL,100.0,constant_flux_structural,circular_single_hotspot,6,0,1.0044299699409398,False,0.0
