source_class,arm,snr0,target_separation_sigma,realized_separation_sigma,relative_error,n_null_directions,delta_is_localized_old_epoch
L224,DIRECT_PHYSICAL,100.0,0.25,0.2500000000000005,1.9984014443252818e-15,17,False
L224,DIRECT_PHYSICAL,100.0,0.25,0.2500000000000001,4.440892098500626e-16,17,False
L224,DIRECT_PHYSICAL,100.0,0.25,0.25000000000000056,2.220446049250313e-15,17,False
L224,DIRECT_PHYSICAL,100.0,0.25,0.25000000000000056,2.220446049250313e-15,17,False
L224,DIRECT_PHYSICAL,100.0,0.25,0.2500000000000002,8.881784197001252e-16,17,False
L224,DIRECT_PHYSICAL,100.0,0.25,0.2500000000000004,1.5543122344752192e-15,17,False
L224,DIRECT_PHYSICAL,100.0,0.25,0.25000000000000017,6.661338147750939e-16,17,False
L224,DIRECT_PHYSICAL,100.0,0.25,0.2500000000000003,1.1102230246251565e-15,17,False
L224,DIRECT_PHYSICAL,100.0,0.5,0.500000000000001,1.9984014443252818e-15,17,False
L224,DIRECT_PHYSICAL,100.0,0.5,0.49999999999999994,1.1102230246251565e-16,17,False
L224,DIRECT_PHYSICAL,100.0,0.5,0.5000000000000003,6.661338147750939e-16,17,False
L224,DIRECT_PHYSICAL,100.0,0.5,0.5000000000000006,1.1102230246251565e-15,17,False
L224,DIRECT_PHYSICAL,100.0,0.5,0.5000000000000006,1.1102230246251565e-15,17,False
L224,DIRECT_PHYSICAL,100.0,0.5,0.5000000000000003,6.661338147750939e-16,17,False
L224,DIRECT_PHYSICAL,100.0,0.5,0.5000000000000009,1.7763568394002505e-15,17,False
L224,DIRECT_PHYSICAL,100.0,0.5,0.5000000000000008,1.5543122344752192e-15,17,False
L224,DIRECT_PHYSICAL,100.0,1.0,1.0000000000000009,8.881784197001252e-16,17,False
L224,DIRECT_PHYSICAL,100.0,1.0,1.0000000000000013,1.3322676295501878e-15,17,False
L224,DIRECT_PHYSICAL,100.0,1.0,1.000000000000001,1.1102230246251565e-15,17,False
L224,DIRECT_PHYSICAL,100.0,1.0,1.000000000000001,1.1102230246251565e-15,17,False
L224,DIRECT_PHYSICAL,100.0,1.0,1.0000000000000004,4.440892098500626e-16,17,False
L224,DIRECT_PHYSICAL,100.0,1.0,1.0000000000000002,2.220446049250313e-16,17,False
L224,DIRECT_PHYSICAL,100.0,1.0,1.0000000000000016,1.5543122344752192e-15,17,False
L224,DIRECT_PHYSICAL,100.0,1.0,1.0000000000000002,2.220446049250313e-16,17,False
L224,DIRECT_PHYSICAL,100.0,2.0,2.0000000000000018,8.881784197001252e-16,17,False
L224,DIRECT_PHYSICAL,100.0,2.0,2.0000000000000018,8.881784197001252e-16,17,False
L224,DIRECT_PHYSICAL,100.0,2.0,2.000000000000004,1.9984014443252818e-15,17,False
L224,DIRECT_PHYSICAL,100.0,2.0,2.000000000000001,4.440892098500626e-16,17,False
L224,DIRECT_PHYSICAL,100.0,2.0,1.9999999999999993,3.3306690738754696e-16,17,False
L224,DIRECT_PHYSICAL,100.0,2.0,2.0000000000000027,1.3322676295501878e-15,17,False
L224,DIRECT_PHYSICAL,100.0,2.0,2.000000000000002,1.1102230246251565e-15,17,False
L224,DIRECT_PHYSICAL,100.0,2.0,2.000000000000003,1.5543122344752192e-15,17,False
