source_class,arm,estimator,snr0,bank,family,index,split,selected_hyperparameter,old_band_structure_error,structure_stable_span_M,at_positivity_ceiling
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_crescent,0,pilot,0.1,6.629258208230743,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_crescent,1,pilot,0.1,6.199671382171244,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_crescent,2,pilot,0.1,5.09490210310053,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_crescent,3,pilot,0.1,4.565210890220662,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_crescent,4,pilot,0.1,4.289336029241168,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_crescent,5,pilot,0.1,4.999224086787937,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_crescent,6,pilot,0.1,5.489467877877512,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_crescent,7,pilot,0.1,5.53200998363173,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_single_hotspot,0,pilot,0.1,2.0447618657374576,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_single_hotspot,1,pilot,0.1,1.6395236747097948,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_single_hotspot,2,pilot,0.1,3.449549793531522,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_single_hotspot,3,pilot,0.1,4.335877325361776,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_single_hotspot,4,pilot,0.1,4.010805814378464,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_single_hotspot,5,pilot,0.1,1.4766823426424425,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_single_hotspot,6,pilot,0.1,2.7096786267299104,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_single_hotspot,7,pilot,0.1,1.8669997348484082,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_two_hotspots,0,pilot,0.1,4.362625164963364,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_two_hotspots,1,pilot,0.1,5.00548245697051,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_two_hotspots,2,pilot,0.1,5.605846059706586,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_two_hotspots,3,pilot,0.1,4.07358285159078,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_two_hotspots,4,pilot,0.1,4.4859409206683125,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_two_hotspots,5,pilot,0.1,4.5906617521692885,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_two_hotspots,6,pilot,0.1,6.745898188009338,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,circular_two_hotspots,7,pilot,0.1,2.9562596788585385,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,plunging_hotspot,0,pilot,0.1,1.9923511294366907,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,plunging_hotspot,1,pilot,0.1,1.2112376883397489,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,plunging_hotspot,2,pilot,0.1,1.797896620051573,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,plunging_hotspot,3,pilot,0.1,0.7166088624670889,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,plunging_hotspot,4,pilot,0.1,2.1091016820705195,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,plunging_hotspot,5,pilot,0.1,2.7366593212102304,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,plunging_hotspot,6,pilot,0.1,2.9421427120845975,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,baseline_one_positive,plunging_hotspot,7,pilot,0.1,1.0377772763683248,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_crescent,0,pilot,0.1,9.653828786149433,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_crescent,1,pilot,0.1,9.20078363516215,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_crescent,2,pilot,0.1,14.438085979710657,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_crescent,3,pilot,0.1,20.650499385155864,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_crescent,4,pilot,0.1,22.18539290965303,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_crescent,5,pilot,0.1,9.605766448463182,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_crescent,6,pilot,0.1,13.077301890370807,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_crescent,7,pilot,0.1,14.176099147157771,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_single_hotspot,0,pilot,0.1,15.334537609665409,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_single_hotspot,1,pilot,0.1,12.844148063212971,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_single_hotspot,2,pilot,0.1,30.088165751264555,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_single_hotspot,3,pilot,0.1,11.189698398858063,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_single_hotspot,4,pilot,0.1,37.850582248665205,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_single_hotspot,5,pilot,0.1,14.500866812306999,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_single_hotspot,6,pilot,0.1,26.456456058661423,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_single_hotspot,7,pilot,0.1,31.079858088651857,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_two_hotspots,0,pilot,0.1,9.459464982780236,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_two_hotspots,1,pilot,0.1,12.072707933223754,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_two_hotspots,2,pilot,0.1,34.72926662535704,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_two_hotspots,3,pilot,0.1,19.811907675761187,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_two_hotspots,4,pilot,0.1,17.821224818560722,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_two_hotspots,5,pilot,0.1,12.157105003680815,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_two_hotspots,6,pilot,0.1,25.01992734529769,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,circular_two_hotspots,7,pilot,0.1,14.408866619572077,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,plunging_hotspot,0,pilot,0.1,23.55993222100658,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,plunging_hotspot,1,pilot,0.1,47.03768372645784,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,plunging_hotspot,2,pilot,0.1,34.76644146469803,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,plunging_hotspot,3,pilot,0.1,43.10234917343341,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,plunging_hotspot,4,pilot,0.1,28.330766548010267,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,plunging_hotspot,5,pilot,0.1,39.25180573135657,0.0,False
L224,DIRECT_PHYSICAL,TSVD,30.0,constant_flux_structural,plunging_hotspot,6,pilot,0.1,46.55125865984287,0.0,False
