source_class,bank,family,split,index,representation_floor_relative,representation_floor_structure_relative,old_band_structure_floor
L224,baseline_one_positive,circular_crescent,pilot,0,0.22657446328015543,0.39908984669650166,1.4185101412935848
L224,baseline_one_positive,circular_crescent,pilot,1,0.22440488962643018,0.4060081739658073,1.208984472230818
L224,baseline_one_positive,circular_crescent,pilot,2,0.2433252299824317,0.5567085388680857,2.1350491592788687
L224,baseline_one_positive,circular_crescent,pilot,3,0.25934125401703534,0.657537027689727,2.5116608513986196
L224,baseline_one_positive,circular_crescent,pilot,4,0.245680930029513,0.5955335056766594,1.9916970640187293
L224,baseline_one_positive,circular_crescent,pilot,5,0.25950887328021716,0.5947556034070153,2.462038862444734
L224,baseline_one_positive,circular_crescent,pilot,6,0.22392371344155465,0.44382644064032606,1.1750868327418964
L224,baseline_one_positive,circular_crescent,pilot,7,0.22464123813912196,0.4287651992748646,1.2080655242378164
L224,baseline_one_positive,circular_crescent,selection,0,0.22758990681399338,0.42957314968495813,1.4123494964966892
L224,baseline_one_positive,circular_crescent,selection,1,0.25090471859625485,0.573177680031951,2.1557521030845286
L224,baseline_one_positive,circular_crescent,selection,2,0.2411683213335369,0.5621845232158044,2.1040996746820295
L224,baseline_one_positive,circular_crescent,selection,3,0.2749830736378849,0.7637846578116785,2.5809759898925138
L224,baseline_one_positive,circular_crescent,selection,4,0.2695883517322,0.8022635595161758,2.3960979890985326
L224,baseline_one_positive,circular_crescent,selection,5,0.22568230553588212,0.50338077683719,1.3190731792724686
L224,baseline_one_positive,circular_crescent,selection,6,0.23460265383846582,0.5327828837581327,1.6911759176261134
L224,baseline_one_positive,circular_crescent,selection,7,0.2457813263491709,0.4558980554042601,2.2481344485880133
L224,baseline_one_positive,circular_single_hotspot,pilot,0,0.2382542553059617,0.8957091746526772,1.3291472936518753
L224,baseline_one_positive,circular_single_hotspot,pilot,1,0.22254880212913267,0.9193406550334319,0.6963938971534513
L224,baseline_one_positive,circular_single_hotspot,pilot,2,0.2234013515345554,0.5430113511045453,0.8831598152310842
L224,baseline_one_positive,circular_single_hotspot,pilot,3,0.22816160453040177,0.4608509444561708,1.1385309551549454
L224,baseline_one_positive,circular_single_hotspot,pilot,4,0.228946638448785,0.493611566544041,1.1443914985877006
L224,baseline_one_positive,circular_single_hotspot,pilot,5,0.23286257013882125,1.1457890756487608,1.1326684501228694
L224,baseline_one_positive,circular_single_hotspot,pilot,6,0.22525937847529823,0.5976919834791985,0.8510518276922933
L224,baseline_one_positive,circular_single_hotspot,pilot,7,0.22201851137800577,0.8035358056198707,0.664397965032132
L224,baseline_one_positive,circular_single_hotspot,selection,0,0.23654173674950718,0.9855090162684583,1.2703864469117727
L224,baseline_one_positive,circular_single_hotspot,selection,1,0.22952715322778017,0.43410939280769967,1.157384352671914
L224,baseline_one_positive,circular_single_hotspot,selection,2,0.2266892505885364,1.5407106487571365,0.8568763625729483
L224,baseline_one_positive,circular_single_hotspot,selection,3,0.23033176350699897,0.4447275641199075,1.4547468541117168
L224,baseline_one_positive,circular_single_hotspot,selection,4,0.22269623290507878,0.7294796726023224,0.7549565114057106
L224,baseline_one_positive,circular_single_hotspot,selection,5,0.23217367978722903,0.5317984931842403,1.3234406425304142
L224,baseline_one_positive,circular_single_hotspot,selection,6,0.22785145150505287,0.537145642413659,1.0246372040822695
L224,baseline_one_positive,circular_single_hotspot,selection,7,0.2408144802269519,0.9409515146759232,1.4347300637235052
L224,baseline_one_positive,circular_two_hotspots,pilot,0,0.23309457870565073,0.5214629188242458,1.3619294884519924
L224,baseline_one_positive,circular_two_hotspots,pilot,1,0.23172247267643958,0.44238466837718365,1.3755039308942252
L224,baseline_one_positive,circular_two_hotspots,pilot,2,0.234477655753896,0.4600314964078638,1.647561866609218
L224,baseline_one_positive,circular_two_hotspots,pilot,3,0.23632762030121804,0.5629777238844131,1.6004382107906583
L224,baseline_one_positive,circular_two_hotspots,pilot,4,0.24523679414310687,0.5787862524869853,1.878173116944321
L224,baseline_one_positive,circular_two_hotspots,pilot,5,0.24051166559449758,0.5481383506603912,1.9006678920057825
L224,baseline_one_positive,circular_two_hotspots,pilot,6,0.24739277386767006,0.4860709859558016,2.4689179400298618
L224,baseline_one_positive,circular_two_hotspots,pilot,7,0.2253582867506233,0.6314366265678973,1.032127785517728
L224,baseline_one_positive,circular_two_hotspots,selection,0,0.22540067911857095,0.45946066902021926,1.036034627093662
L224,baseline_one_positive,circular_two_hotspots,selection,1,0.22549116458103918,0.6200486248990866,1.1607489491221674
L224,baseline_one_positive,circular_two_hotspots,selection,2,0.22741379108982604,0.6138135990064839,1.1097894021744994
L224,baseline_one_positive,circular_two_hotspots,selection,3,0.22716175013724105,0.5199768957899938,1.2837140421687088
L224,baseline_one_positive,circular_two_hotspots,selection,4,0.2269217061183614,0.4269473050704096,1.1311392791901524
L224,baseline_one_positive,circular_two_hotspots,selection,5,0.22361222851599777,0.3865627017887472,1.1756996205883694
L224,baseline_one_positive,circular_two_hotspots,selection,6,0.2361773132763421,0.49203301431036095,1.4984364675197768
L224,baseline_one_positive,circular_two_hotspots,selection,7,0.23316337421556507,0.769722959965023,1.264933126505682
L224,baseline_one_positive,plunging_hotspot,pilot,0,0.24242730064924675,1.0146596435267046,1.483414927342823
L224,baseline_one_positive,plunging_hotspot,pilot,1,0.22987830912325938,1.3899678399090238,0.9936673748262782
L224,baseline_one_positive,plunging_hotspot,pilot,2,0.24207207510930911,1.0932957633150169,1.441113066940601
