geometry,source_class,kind,mirror_of,arm,source_dimension,n_radial,n_azimuthal,n_temporal,data_dimension,full_column_rank,n_exactly_zero_columns,n_temporal_modes_entirely_unseen,numerical_rank,operational_rank,nullity,sigma_max,sigma_min_positive,kappa_positive,stable_rank,effective_rank,trace_information
a050_i050,L224,localized,C224,DIRECT_PHYSICAL,224,4,7,8,12288,False,84,3,140,112,84,4819.461391741725,2.442412183544072e-07,19732383519.10129,5.9462862259744025,38.51760033917296,138115627.631457
a050_i050,L224,localized,C224,RESOLVED_PHYSICAL,224,4,7,8,36864,False,0,0,208,172,16,4823.948085112015,0.0006408036947429199,7527965.466939614,6.002764392453476,48.56200986820586,139687179.49296752
a050_i050,L224,localized,C224,UNRESOLVED_IMAGE,224,4,7,8,12288,False,0,0,208,148,16,4780.574361102322,1.6909859885361456e-05,282709282.8392253,5.920065334381078,40.0815210891139,135296529.1792491
a050_i050,L224,localized,C224,TOTAL_FLUX,224,4,7,8,8,False,0,0,8,8,216,4018.630354348691,1.5115698574629877,2658.580636884056,1.1802690500461308,2.4296627887510853,19060625.105477646
a050_i050,L224,localized,C224,DELAY_ONLY,224,4,7,8,36864,False,0,0,208,186,16,4826.442514262549,0.008751031001738348,551528.4442831707,5.994284807900645,51.27400508386209,139634151.24795046
a050_i050,L224,localized,C224,SPATIAL_ONLY,224,4,7,8,36864,False,84,3,140,136,84,4829.914958071948,0.39920529324120807,12098.824940063141,5.987012446228477,44.54885795447477,139665496.33930916
a050_i050,L448,localized,C448_T,DIRECT_PHYSICAL,448,4,7,16,12288,False,196,7,252,190,196,3904.6230806939066,4.883117834550003e-07,7996168048.755948,9.12385110372132,66.41707911188868,139102976.62968656
a050_i050,L448,localized,C448_T,RESOLVED_PHYSICAL,448,4,7,16,36864,False,21,0,405,314,43,3908.2032400570856,1.717396711946019e-06,2275655480.688918,9.209514656726286,87.49893419567996,140666610.97043374
a050_i050,L448,localized,C448_T,UNRESOLVED_IMAGE,448,4,7,16,12288,False,21,0,405,255,43,3868.7597911853563,1.0712193159147739e-06,3611547825.649136,9.098133795286007,70.18194797565495,136174519.07907343
a050_i050,L448,localized,C448_T,TOTAL_FLUX,448,4,7,16,8,False,21,0,8,8,440,3144.4232434930577,6.88820827555233,456.49363632822536,1.339422447893909,3.1915660612178254,13243402.20858435
a050_i050,L448,localized,C448_T,DELAY_ONLY,448,4,7,16,36864,False,0,0,405,342,43,3911.3664630482713,1.717396714941961e-06,2277497347.5947604,9.191282426880313,93.42253814401332,140615477.69636288
a050_i050,L448,localized,C448_T,SPATIAL_ONLY,448,4,7,16,36864,False,196,7,252,251,196,3913.8095146311425,0.7601347095349309,5148.836733196551,9.182909336378525,80.80277383234275,140662932.07439974
a050_i050,L1056,localized,C1056_ST,DIRECT_PHYSICAL,1056,6,11,16,12288,False,517,7,523,364,533,3915.6961871631206,1.0790775908610112e-08,362874386450.6288,13.8412054641702,126.85423120496392,212222727.5537779
a050_i050,L1056,localized,C1056_ST,RESOLVED_PHYSICAL,1056,6,11,16,36864,False,154,0,836,648,220,3917.5777580131835,3.839995600528489e-08,102020370999.22763,13.986137064676434,172.33880301769204,214651056.63279155
a050_i050,L1056,localized,C1056_ST,UNRESOLVED_IMAGE,1056,6,11,16,12288,False,154,0,834,517,222,3876.5573082306896,1.3812036259565883e-08,280665155765.56494,13.82054324733988,134.7865450583369,207690930.2706183
a050_i050,L1056,localized,C1056_ST,TOTAL_FLUX,1056,6,11,16,8,False,154,0,8,8,1048,3044.189062171553,9.500093014496164,320.437816506263,1.419107147489412,3.471637528604749,13150989.463732708
a050_i050,L1056,localized,C1056_ST,DELAY_ONLY,1056,6,11,16,36864,False,55,0,878,718,178,3920.2825541465536,2.156505631310833e-07,18178865370.101574,13.959176493785778,185.7493176898536,214533213.49846062
a050_i050,L1056,localized,C1056_ST,SPATIAL_ONLY,1056,6,11,16,36864,False,462,7,594,571,462,3921.0124241941753,0.14311801776095565,27397.056537935616,13.961147145994415,166.1342557457528,214643401.1031113
a050_i050,C224,global,,DIRECT_PHYSICAL,224,4,7,8,12288,True,0,0,224,153,0,12311.04029354756,1.0852367188310984e-05,1134410592.6315968,5.835830496026717,43.39330547194876,884488467.3936062
a050_i050,C224,global,,RESOLVED_PHYSICAL,224,4,7,8,36864,True,0,0,224,201,0,12321.319007162901,0.017512826733255604,703559.6934083519,5.891587377939943,53.15247714907299,894430760.8557631
a050_i050,C224,global,,UNRESOLVED_IMAGE,224,4,7,8,12288,True,0,0,224,181,0,12212.337062726763,0.001727625570623268,7068856.3948037485,5.809638077397883,44.76067581388857,866456258.0978112
a050_i050,C224,global,,TOTAL_FLUX,224,4,7,8,8,False,0,0,8,5,216,10194.120767819193,0.0010323012649045016,9875141.215449594,1.163628032783089,2.40921857014645,120924339.4687
a050_i050,C224,global,,DELAY_ONLY,224,4,7,8,36864,True,0,0,224,214,0,12328.439880064392,0.1574313550292919,78309.9394512011,5.882652822391971,55.59924942820449,894106931.2887505
a050_i050,C224,global,,SPATIAL_ONLY,224,4,7,8,36864,True,0,0,224,177,0,12333.788688773671,0.0010318857262899275,11952669.15176639,5.8796051478991105,50.25843341808022,894419313.4787183
a050_i050,C448_T,global,,DIRECT_PHYSICAL,448,4,7,16,12288,False,0,0,411,250,37,12875.798064740009,7.229021472591206e-08,178112599520.67545,10.398262724674469,73.09762487407778,1723888212.1286721
a050_i050,C448_T,global,,RESOLVED_PHYSICAL,448,4,7,16,36864,True,0,0,448,365,0,12885.695399853857,7.163813194540291e-05,179872018.57349303,10.498596756623694,93.75178364478711,1743199036.2088246
a050_i050,C448_T,global,,UNRESOLVED_IMAGE,448,4,7,16,12288,True,0,0,448,320,0,12763.232036026964,5.196786228558398e-06,2455985579.296672,10.360160079409281,76.48761808734541,1687671030.1271174
