geometry,source_class,kind,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,detectable_at_reference_snr,log_information_volume_at_reference_snr
a050_i050,L224,localized,DIRECT_PHYSICAL,0.0,0.23192103389177826,1.1635842608620449e-11,True,51.81909874046939
a050_i050,L224,localized,DIRECT_PHYSICAL,2.0,0.256055806816566,7.115577681578822e-11,True,56.853617363598154
a050_i050,L224,localized,DIRECT_PHYSICAL,4.0,0.2833236523331404,4.322078712143099e-10,True,62.1146970956193
a050_i050,L224,localized,DIRECT_PHYSICAL,6.0,0.31347260653277575,2.2790676221134496e-09,True,67.73533664015169
a050_i050,L224,localized,DIRECT_PHYSICAL,8.0,0.3474318518169943,9.892306971814938e-09,True,73.59403923942824
a050_i050,L224,localized,DIRECT_PHYSICAL,10.0,0.3861691879431065,4.4830524653641727e-08,True,79.83851290477129
a050_i050,L224,localized,DIRECT_PHYSICAL,12.0,0.4344573611377538,1.784926028207035e-07,True,86.60292064556066
a050_i050,L224,localized,DIRECT_PHYSICAL,14.0,0.497327798777493,5.746066005495736e-07,True,93.21549436661962
a050_i050,L224,localized,DIRECT_PHYSICAL,16.0,0.5587123712980441,1.6066851110428426e-06,True,98.59681850185687
a050_i050,L224,localized,DIRECT_PHYSICAL,18.0,0.6015656842913326,3.886154029202483e-06,True,102.04971039603697
a050_i050,L224,localized,DIRECT_PHYSICAL,20.0,0.62697746732044,5.1068904131222896e-06,True,103.66266477119423
a050_i050,L224,localized,DIRECT_PHYSICAL,22.0,0.6419772095478631,3.0660514952861066e-06,True,104.14704537418757
a050_i050,L224,localized,DIRECT_PHYSICAL,24.0,0.6501657986323167,1.732397827088717e-06,True,104.0250532737362
a050_i050,L224,localized,DIRECT_PHYSICAL,26.0,0.6533420952719118,9.568399053071883e-07,True,103.26348920721648
a050_i050,L224,localized,DIRECT_PHYSICAL,28.0,0.6508297472070723,5.229894735354052e-07,True,101.65050128664062
a050_i050,L224,localized,DIRECT_PHYSICAL,30.0,0.6387962622579113,2.4716828159207806e-07,True,99.01428608069409
a050_i050,L224,localized,DIRECT_PHYSICAL,32.0,0.6123717669222539,9.695959876697854e-08,True,95.18213961443408
a050_i050,L224,localized,DIRECT_PHYSICAL,34.0,0.567701327989097,3.5004844171098655e-08,True,89.88742190473344
a050_i050,L224,localized,DIRECT_PHYSICAL,36.0,0.5036734643506435,1.2396034282589332e-08,True,83.1702995926639
a050_i050,L224,localized,DIRECT_PHYSICAL,38.0,0.424725989642182,3.870240230549215e-09,True,75.19363076013425
a050_i050,L224,localized,DIRECT_PHYSICAL,40.0,0.3462222022167185,1.010683779565668e-09,True,66.08969201925177
a050_i050,L224,localized,DIRECT_PHYSICAL,42.0,0.27855541226038427,1.9692836693866203e-10,True,56.418904767556654
a050_i050,L224,localized,DIRECT_PHYSICAL,44.0,0.2242368190610639,2.892539264592807e-11,True,47.234467582592785
a050_i050,L224,localized,DIRECT_PHYSICAL,46.0,0.1812000440879365,4.00153054750823e-12,True,39.94186154072198
a050_i050,L224,localized,DIRECT_PHYSICAL,48.0,0.14461079734001953,1.2683519750568427e-13,True,34.545895249358246
a050_i050,L224,localized,DIRECT_PHYSICAL,50.0,0.11265894599288562,3.02171599882155e-15,True,29.94327460740863
a050_i050,L224,localized,DIRECT_PHYSICAL,52.0,0.08346183029468404,2.8541011150826243e-16,True,25.736890814301045
a050_i050,L224,localized,DIRECT_PHYSICAL,54.0,0.05597610468806584,3.0078766081976726e-17,True,21.77142429762879
a050_i050,L224,localized,DIRECT_PHYSICAL,56.0,0.032016192911436994,2.9089032454307635e-18,True,17.690305996574608
a050_i050,L224,localized,DIRECT_PHYSICAL,58.0,0.013875868931612263,0.0,True,13.15184999790384
a050_i050,L224,localized,DIRECT_PHYSICAL,60.0,0.0038021251317684373,2.5054316194838557e-21,True,8.182999031097204
a050_i050,L224,localized,DIRECT_PHYSICAL,62.0,0.0005631346045139737,4.5648660934015456e-21,True,3.309870479326234
a050_i050,L224,localized,DIRECT_PHYSICAL,64.0,4.0641559731376136e-05,0.0,False,0.46532871475772963
a050_i050,L224,localized,DIRECT_PHYSICAL,66.0,1.3390506924540167e-06,7.36248588911986e-24,False,0.01645394991107669
a050_i050,L224,localized,DIRECT_PHYSICAL,68.0,1.935761530128895e-08,0.0,False,0.00022639167897757912
a050_i050,L224,localized,DIRECT_PHYSICAL,70.0,1.1989964747924958e-10,0.0,False,1.3442306751677555e-06
a050_i050,L224,localized,DIRECT_PHYSICAL,72.0,3.1367900498823984e-13,0.0,False,3.4087753239641846e-09
a050_i050,L224,localized,DIRECT_PHYSICAL,74.0,3.435880057383328e-16,0.0,False,3.650859235035914e-12
a050_i050,L224,localized,DIRECT_PHYSICAL,76.0,1.5669802076666346e-19,0.0,False,1.638505489311815e-15
a050_i050,L224,localized,DIRECT_PHYSICAL,78.0,2.9647714833432294e-23,0.0,False,3.06470513004742e-19
a050_i050,L224,localized,DIRECT_PHYSICAL,80.0,2.321495965718102e-27,0.0,False,2.38001067547485e-23
a050_i050,L224,localized,DIRECT_PHYSICAL,82.0,7.510490065717661e-32,0.0,False,7.653830183341191e-28
