reading,arm,readout,snr,source_seed,rule,hyperparameter,nrmse,visible_component_error,null_component_error,data_residual
B_cells6_screen2,resolved_identical,resolved,-1.0,300000,oracle,1e-10,0.5629423798367554,9.929394948966153e-09,0.8659946468311026,8.552132003563572e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300000,gcv,1e-10,0.5629423798367554,9.929394948966153e-09,0.8659946468311026,8.552132003563572e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300001,oracle,1e-10,0.43579632199787666,1.0238033525752441e-08,0.904171086074033,1.2125094721342946e-09
B_cells6_screen2,resolved_identical,resolved,-1.0,300001,gcv,1e-10,0.43579632199787666,1.0238033525752441e-08,0.904171086074033,1.2125094721342946e-09
B_cells6_screen2,resolved_identical,resolved,-1.0,300002,oracle,1e-10,0.5366360094361309,5.439635845718391e-09,0.8407376045372256,6.073630445169396e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300002,gcv,1e-10,0.5366360094361309,5.439635845718391e-09,0.8407376045372256,6.073630445169396e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300003,oracle,1.1242100350620885e-07,0.17430148508904447,1.803192987098376e-05,0.3177520931756448,2.179934746927487e-06
B_cells6_screen2,resolved_identical,resolved,-1.0,300003,gcv,1e-10,0.17430267277255573,1.6040191149616192e-08,0.3177542599747069,1.93914688252513e-09
B_cells6_screen2,resolved_identical,resolved,-1.0,300004,oracle,2.868316813342009e-07,0.4298905127349883,2.161608135883013e-05,0.6393623352071117,2.041232299557706e-06
B_cells6_screen2,resolved_identical,resolved,-1.0,300004,gcv,1e-10,0.42989139011191435,7.536647741849104e-09,0.6393636407604957,7.116859879921418e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300005,oracle,1e-10,0.48071291802765326,8.505893169908027e-09,0.8026455178655592,7.908983292066809e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300005,gcv,1e-10,0.48071291802765326,8.505893169908027e-09,0.8026455178655592,7.908983292066809e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300006,oracle,1.7957144943716408e-07,0.4208467330130659,1.035852404933491e-05,0.6129361175334451,9.65220581421731e-07
B_cells6_screen2,resolved_identical,resolved,-1.0,300006,gcv,1e-10,0.4208473936974712,5.7688236237811004e-09,0.612937079930443,5.375429744740909e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300007,oracle,1e-10,0.3641510971292191,9.818808031864706e-09,0.567976910696493,9.73779453646498e-10
B_cells6_screen2,resolved_identical,resolved,-1.0,300007,gcv,1e-10,0.3641510971292191,9.818808031864706e-09,0.567976910696493,9.73779453646498e-10
B_cells6_screen2,resolved_identical,resolved,100.0,300000,oracle,1e-10,0.5573307983852477,0.038125716197427946,0.8559907211424864,16.73962224562436
B_cells6_screen2,resolved_identical,resolved,100.0,300000,gcv,6.02089449333615,0.5635954878870965,0.03279163717309943,0.8659963207257337,16.741549799952768
B_cells6_screen2,resolved_identical,resolved,100.0,300000,discrepancy,62.60516572014828,0.5689923682148124,0.10011719510816461,0.865996320725852,16.867330134737564
B_cells6_screen2,resolved_identical,resolved,100.0,300001,oracle,2.551406520031293e-10,0.43113888089734614,0.04828375302363501,0.8899523091095968,15.55478486337901
B_cells6_screen2,resolved_identical,resolved,100.0,300001,gcv,3.7693909753883634,0.43863672465486575,0.05535666570717445,0.9041743335026468,15.55602241290962
B_cells6_screen2,resolved_identical,resolved,100.0,300001,discrepancy,62.60516572014828,0.45415554319298057,0.14201304685856594,0.904174333504285,15.748578546982136
B_cells6_screen2,resolved_identical,resolved,100.0,300002,oracle,1e-10,0.4699173832390291,0.03639016056576752,0.7346373287302876,16.673462589433885
