delay_structure,spatial_structure,attenuation,gamma,seed,max_order,numerical_rank,operational_rank,new_algebraic_modes,new_operational_modes,sigma_min_positive,kappa_positive
none,identical,equalized,0.0,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,identical,equalized,0.0,9000,1,16,8,0,4,4.585190617584673e-05,32398.984355895936
none,identical,equalized,0.0,9000,2,16,9,0,1,5.615688693242073e-05,32398.984355882003
none,identical,equalized,0.0,9000,3,16,10,0,1,6.48443875745991e-05,32398.984355866956
none,identical,equalized,0.0,9000,4,16,10,0,0,7.249822928806333e-05,32398.98435587135
none,identical,equalized,0.0,9000,5,16,10,0,0,7.941783112041992e-05,32398.98435590726
none,identical,exponential,0.3,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,identical,exponential,0.3,9000,1,16,8,0,4,4.0349829007520105e-05,32398.984355878023
none,identical,exponential,0.3,9000,2,16,8,0,0,4.409902096281518e-05,32398.984355889206
none,identical,exponential,0.3,9000,3,16,8,0,0,4.602700965759396e-05,32398.98435589113
none,identical,exponential,0.3,9000,4,16,8,0,0,4.705154841288157e-05,32398.984355871056
none,identical,exponential,0.3,9000,5,16,8,0,0,4.7604456798753764e-05,32398.984355871984
none,identical,exponential,0.6,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,identical,exponential,0.6,9000,1,16,8,0,4,3.698396407803046e-05,32398.98435587191
none,identical,exponential,0.6,9000,2,16,8,0,0,3.8251486101178424e-05,32398.984355908
none,identical,exponential,0.6,9000,3,16,8,0,0,3.8625106460715186e-05,32398.984355865075
none,identical,exponential,0.6,9000,4,16,8,0,0,3.873693261074749e-05,32398.984355860848
none,identical,exponential,0.6,9000,5,16,8,0,0,3.8770550796051695e-05,32398.98435588367
none,identical,exponential,0.9,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,identical,exponential,0.9,9000,1,16,8,0,4,3.4999437397215596e-05,32398.984355887023
none,identical,exponential,0.9,9000,2,16,8,0,0,3.540739016461222e-05,32398.984355907116
none,identical,exponential,0.9,9000,3,16,8,0,0,3.547437246887851e-05,32398.984355878114
none,identical,exponential,0.9,9000,4,16,8,0,0,3.54854323921237e-05,32398.98435586014
none,identical,exponential,0.9,9000,5,16,8,0,0,3.54872602530821e-05,32398.984355930275
none,rotation,equalized,0.0,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,rotation,equalized,0.0,9000,1,24,8,8,4,1.2017778110326958e-05,120463.56214993229
none,rotation,equalized,0.0,9000,2,24,9,0,1,2.490329152095796e-05,68229.47761975952
none,rotation,equalized,0.0,9000,3,24,12,0,3,3.464998177686155e-05,53637.64080362838
none,rotation,equalized,0.0,9000,4,24,14,0,2,3.917640575652642e-05,51065.595296338324
none,rotation,equalized,0.0,9000,5,24,14,0,0,4.1296288686037246e-05,54180.74224772776
none,rotation,exponential,0.3,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,rotation,exponential,0.3,9000,1,24,8,8,4,1.0062005478732395e-05,127568.545941345
none,rotation,exponential,0.3,9000,2,24,8,0,0,1.7018469647326588e-05,80578.81701981754
none,rotation,exponential,0.3,9000,3,24,8,0,0,2.0083291601798583e-05,69664.39128865735
none,rotation,exponential,0.3,9000,4,24,8,0,0,2.1096859700022914e-05,66848.79743435753
none,rotation,exponential,0.3,9000,5,24,8,0,0,2.128538141488876e-05,67040.7458003781
none,rotation,exponential,0.6,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,rotation,exponential,0.6,9000,1,24,8,8,4,8.056206236515864e-06,146967.43227461693
none,rotation,exponential,0.6,9000,2,24,8,0,0,1.1355980074213166e-05,106795.22747663913
none,rotation,exponential,0.6,9000,3,24,8,0,0,1.2162864169909163e-05,100081.34981112726
none,rotation,exponential,0.6,9000,4,24,8,0,0,1.2324054720382714e-05,98846.65837357688
none,rotation,exponential,0.6,9000,5,24,8,0,0,1.233951393363447e-05,98799.13326973151
none,rotation,exponential,0.9,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,rotation,exponential,0.9,9000,1,24,7,8,3,6.248464010953401e-06,180149.74881106042
none,rotation,exponential,0.9,9000,2,24,7,0,0,7.710299600669717e-06,147171.26867158964
none,rotation,exponential,0.9,9000,3,24,7,0,0,7.908883514843954e-06,143568.65021291398
none,rotation,exponential,0.9,9000,4,24,7,0,0,7.931501664706222e-06,143169.3553991402
none,rotation,exponential,0.9,9000,5,24,7,0,0,7.932636562254332e-06,143155.1480137417
none,rotation_shear,equalized,0.0,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,rotation_shear,equalized,0.0,9000,1,24,8,8,4,1.0811667292941188e-05,146778.15594790826
none,rotation_shear,equalized,0.0,9000,2,24,10,0,2,2.629886373110606e-05,77530.11587901736
none,rotation_shear,equalized,0.0,9000,3,24,14,0,4,4.1087987757736845e-05,57961.45626943496
none,rotation_shear,equalized,0.0,9000,4,24,14,0,0,5.0236274964945525e-05,54461.205509736006
none,rotation_shear,equalized,0.0,9000,5,24,15,0,1,5.944276009789264e-05,56297.07163988319
none,rotation_shear,exponential,0.3,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,rotation_shear,exponential,0.3,9000,1,24,8,8,4,9.269088051832158e-06,147849.2198137783
none,rotation_shear,exponential,0.3,9000,2,24,8,0,0,1.8610618600700842e-05,82630.15119546522
none,rotation_shear,exponential,0.3,9000,3,24,8,0,0,2.536113345584804e-05,63490.92824977842
none,rotation_shear,exponential,0.3,9000,4,24,8,0,0,2.8786871798263864e-05,57081.4947568162
none,rotation_shear,exponential,0.3,9000,5,24,9,0,1,2.951347138403593e-05,57123.7124848926
none,rotation_shear,exponential,0.6,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,rotation_shear,exponential,0.6,9000,1,24,8,8,4,7.581409950727602e-06,163015.99492417058
none,rotation_shear,exponential,0.6,9000,2,24,8,0,0,1.2412573555639265e-05,104145.25924359597
none,rotation_shear,exponential,0.6,9000,3,24,8,0,0,1.4553609441402818e-05,89704.45340020998
none,rotation_shear,exponential,0.6,9000,4,24,8,0,0,1.5262879766161045e-05,85732.92555232397
none,rotation_shear,exponential,0.6,9000,5,24,8,0,0,1.535254502878255e-05,85403.6641511341
none,rotation_shear,exponential,0.9,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
none,rotation_shear,exponential,0.9,9000,1,24,8,8,4,5.9731526146911536e-06,193475.2348284401
none,rotation_shear,exponential,0.9,9000,2,24,8,0,0,8.235629984792835e-06,142532.97009264867
none,rotation_shear,exponential,0.9,9000,3,24,8,0,0,8.821025619437043e-06,133312.33626987127
none,rotation_shear,exponential,0.9,9000,4,24,8,0,0,8.93410347752616e-06,131654.49235726614
none,rotation_shear,exponential,0.9,9000,5,24,8,0,0,8.942316283294912e-06,131549.99184084032
none,independent,equalized,0.0,9000,0,16,0,16,0,1.3363263005362098e-05,70812.89018565182
none,independent,equalized,0.0,9000,1,24,4,8,4,2.1675026742784983e-05,47034.09833648413
none,independent,equalized,0.0,9000,2,24,8,0,4,2.410626285047977e-05,58109.56907171691
none,independent,equalized,0.0,9000,3,24,8,0,0,2.5399230300497502e-05,56937.71158874766
none,independent,equalized,0.0,9000,4,24,8,0,0,3.160815840800321e-05,48111.552233005226
none,independent,equalized,0.0,9000,5,24,13,0,5,3.495879646824546e-05,48310.98991641757
none,independent,exponential,0.3,9000,0,16,0,16,0,1.3363263005362098e-05,70812.89018565182
none,independent,exponential,0.3,9000,1,24,0,8,0,1.6746813779509316e-05,58325.42804428101
none,independent,exponential,0.3,9000,2,24,4,0,4,1.7613028508018715e-05,61786.349122063126
none,independent,exponential,0.3,9000,3,24,4,0,0,1.7913733180192732e-05,60985.57220635035
none,independent,exponential,0.3,9000,4,24,4,0,0,1.8827838297093906e-05,58163.873003888795
