run_id,arm,max_order,algebraic_rank,operational_rank,new_algebraic,new_operational,sigma_min_positive,max_principal_angle_to_previous_rad,mean_new_mode_retarded_age,mean_new_mode_frequency
E2_20260825T013044Z_2ba66f02,direct_only|constant|rotation_shear,0,16,4,16,4,3.242219378726888e-05,,21.5,0.07954545454545454
E2_20260825T013044Z_2ba66f02,direct_only|constant|rotation_shear,1,16,4,0,0,3.242219378726888e-05,1.4453719302088423e-15,,
E2_20260825T013044Z_2ba66f02,direct_only|constant|rotation_shear,2,16,4,0,0,3.242219378726888e-05,1.4453719302088423e-15,,
E2_20260825T013044Z_2ba66f02,direct_only|constant|rotation_shear,3,16,4,0,0,3.242219378726888e-05,1.4453719302088423e-15,,
E2_20260825T013044Z_2ba66f02,direct_only|constant|rotation_shear,4,16,4,0,0,3.242219378726888e-05,1.4453719302088423e-15,,
E2_20260825T013044Z_2ba66f02,direct_only|constant|rotation_shear,5,16,4,0,0,3.242219378726888e-05,1.4453719302088423e-15,,
E2_20260825T013044Z_2ba66f02,resolved|constant|identical,0,16,4,16,4,3.242219378726888e-05,,21.5,0.07954545454545454
E2_20260825T013044Z_2ba66f02,resolved|constant|identical,1,16,7,0,3,0.0003726515393244933,3.4477534145785608e-12,,
E2_20260825T013044Z_2ba66f02,resolved|constant|identical,2,16,7,0,0,0.002612058725539461,1.438167005549052e-13,,
E2_20260825T013044Z_2ba66f02,resolved|constant|identical,3,16,7,0,0,0.013602772428118517,4.1893879212474126e-14,,
E2_20260825T013044Z_2ba66f02,resolved|constant|identical,4,16,7,0,0,0.038449810844757897,6.250869601860884e-15,,
E2_20260825T013044Z_2ba66f02,resolved|constant|identical,5,16,7,0,0,0.060696388801539956,4.9048581609873495e-15,,
E2_20260825T013044Z_2ba66f02,resolved|none|rotation_shear,0,16,4,16,4,3.242219378726888e-05,,21.5,0.07954545454545454
E2_20260825T013044Z_2ba66f02,resolved|none|rotation_shear,1,24,8,8,4,7.581409950727602e-06,7.918502698795102e-16,21.5,0.07954545454545454
E2_20260825T013044Z_2ba66f02,resolved|none|rotation_shear,2,24,8,0,0,1.2412573555639265e-05,9.09970215825129e-16,,
E2_20260825T013044Z_2ba66f02,resolved|none|rotation_shear,3,24,8,0,0,1.4553609441402818e-05,9.998227309680192e-16,,
E2_20260825T013044Z_2ba66f02,resolved|none|rotation_shear,4,24,8,0,0,1.5262879766161045e-05,9.33197195480135e-16,,
E2_20260825T013044Z_2ba66f02,resolved|none|rotation_shear,5,24,8,0,0,1.535254502878255e-05,1.043322631469198e-15,,
E2_20260825T013044Z_2ba66f02,resolved|constant|rotation_shear,0,16,4,16,4,3.242219378726888e-05,,21.5,0.07954545454545454
E2_20260825T013044Z_2ba66f02,resolved|constant|rotation_shear,1,24,7,8,3,1.396132860438951e-05,9.760751682999298e-16,21.82402940308222,0.07954545454545454
E2_20260825T013044Z_2ba66f02,resolved|constant|rotation_shear,2,24,7,0,0,0.0002656460751424725,1.1286870681954682e-15,,
E2_20260825T013044Z_2ba66f02,resolved|constant|rotation_shear,3,24,7,0,0,0.0020950516335309665,1.4899954812350031e-15,,
E2_20260825T013044Z_2ba66f02,resolved|constant|rotation_shear,4,24,7,0,0,0.010702843316561263,1.4428505869767748e-15,,
E2_20260825T013044Z_2ba66f02,resolved|constant|rotation_shear,5,24,7,0,0,0.030941209122984908,1.2230289434149403e-15,,
E2_20260825T013044Z_2ba66f02,partial|constant|rotation_shear,0,16,4,16,4,3.242219378726888e-05,,21.5,0.07954545454545454
E2_20260825T013044Z_2ba66f02,partial|constant|rotation_shear,1,24,7,8,3,1.3809548023051507e-05,9.892752417710354e-16,21.803331597964636,0.07954545454545454
E2_20260825T013044Z_2ba66f02,partial|constant|rotation_shear,2,24,7,0,0,0.00026026961748708337,1.372571172644237e-15,,
E2_20260825T013044Z_2ba66f02,partial|constant|rotation_shear,3,24,7,0,0,0.0020620332504566255,9.908807026653033e-16,,
E2_20260825T013044Z_2ba66f02,partial|constant|rotation_shear,4,24,7,0,0,0.010578191286403452,1.3236045304752688e-15,,
E2_20260825T013044Z_2ba66f02,partial|constant|rotation_shear,5,24,7,0,0,0.03069112514643145,1.0802327206728237e-15,,
E2_20260825T013044Z_2ba66f02,unresolved_sum|constant|rotation_shear,0,16,4,16,4,3.242219378726888e-05,,21.5,0.07954545454545454
E2_20260825T013044Z_2ba66f02,unresolved_sum|constant|rotation_shear,1,23,3,7,-1,2.2011662774638927e-10,0.17041788255042373,25.039347547643846,0.1038961038961039
E2_20260825T013044Z_2ba66f02,unresolved_sum|constant|rotation_shear,2,23,1,0,-2,5.409234072558314e-09,0.16133849456665666,,
E2_20260825T013044Z_2ba66f02,unresolved_sum|constant|rotation_shear,3,23,1,0,0,9.040200760373224e-08,0.11555197160504213,,
E2_20260825T013044Z_2ba66f02,unresolved_sum|constant|rotation_shear,4,23,0,0,-1,5.651819134206542e-08,0.06915277845672851,,
E2_20260825T013044Z_2ba66f02,unresolved_sum|constant|rotation_shear,5,23,0,0,0,6.909242951986438e-08,0.031241305329936846,,
