arm,k,operation,relative_gram_change,convention
RESOLVED,2,split,2.712921673125061e-16,sqrt_domega
RESOLVED,2,merge,0.0,sqrt_domega
RESOLVED,3,split,2.7086744172585324e-16,sqrt_domega
RESOLVED,3,merge,8.693173309930912e-17,sqrt_domega
RESOLVED,4,split,3.957581241772232e-16,sqrt_domega
RESOLVED,4,merge,0.0,sqrt_domega
RESOLVED,8,split,6.707199355784913e-16,sqrt_domega
RESOLVED,8,merge,0.0,sqrt_domega
UNRESOLVED_IMAGE,2,split,1.9203181609969032e-16,sqrt_domega
UNRESOLVED_IMAGE,2,merge,0.0,sqrt_domega
UNRESOLVED_IMAGE,3,split,2.8767799293808014e-16,sqrt_domega
UNRESOLVED_IMAGE,3,merge,3.044532194824741e-16,sqrt_domega
UNRESOLVED_IMAGE,4,split,1.2105962875152988e-16,sqrt_domega
UNRESOLVED_IMAGE,4,merge,0.0,sqrt_domega
UNRESOLVED_IMAGE,8,split,2.6608173781398874e-16,sqrt_domega
UNRESOLVED_IMAGE,8,merge,0.0,sqrt_domega
TOTAL_FLUX,2,split,8.575765752344287e-16,sqrt_domega
TOTAL_FLUX,2,merge,0.0,sqrt_domega
TOTAL_FLUX,3,split,1.5212871102627148e-15,sqrt_domega
TOTAL_FLUX,3,merge,1.8212454729843212e-16,sqrt_domega
TOTAL_FLUX,4,split,1.3594333898992874e-15,sqrt_domega
TOTAL_FLUX,4,merge,0.0,sqrt_domega
TOTAL_FLUX,8,split,5.401254977883461e-15,sqrt_domega
TOTAL_FLUX,8,merge,0.0,sqrt_domega
RESOLVED,2,split,0.9999999999999998,retired_flat_sigma
RESOLVED,3,split,1.9999999999999996,retired_flat_sigma
RESOLVED,4,split,2.999999999999999,retired_flat_sigma
RESOLVED,8,split,6.999999999999998,retired_flat_sigma
