geometry,spin,inclination_deg,arm,support,r_inner,r_outer,rays_per_order,numerical_rank,operational_rank,nullity,operational_nullity,sigma_max,sigma_min_positive,kappa_positive,stable_rank,trace_information,rank_rel_1e-08,rank_rel_1e-10,rank_rel_1e-12,numerical_rank_threshold,exact_rank,exact_rank_reason,structural_certificate,source_class,operator_notation,spectrum_describes,J_old_at_reference_snr,oldest_detectable_age_probe_at_reference_snr,right_censored_at_reference_snr
a000_i020,0.0,20,DIRECT_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,133,0,91,11505.505253437763,3.404254663026767e-07,33797428195.950737,5.721429761583567,757383711.553333,194,214,224,3.030938041143863e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",15.015935530161347,20.0,False
a000_i020,0.0,20,DIRECT_PHYSICAL,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,133,0,91,11505.505253437763,3.404254663026767e-07,33797428195.950737,5.721429761583567,757383711.553333,194,214,224,3.030938041143863e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",15.015935530161347,20.0,False
a000_i020,0.0,20,RESOLVED_PHYSICAL,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,203,0,21,11506.557191583124,0.01634826701612393,703839.5678413169,5.7692771804469505,763857251.0570157,224,224,224,9.093645471365854e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",67.85788581646776,60.0,False
a000_i020,0.0,20,RESOLVED_PHYSICAL,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,203,0,21,11506.557191583124,0.01634826701612393,703839.5678413169,5.7692771804469505,763857251.0570157,224,224,224,9.093645471365854e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",67.85788581646776,60.0,False
a000_i020,0.0,20,UNRESOLVED_IMAGE,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,177,0,47,11430.05611583363,0.0011574115932454507,9875532.76858328,5.71240926455214,746304465.0685331,224,224,224,3.011062194208107e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",16.48052396125176,20.0,False
a000_i020,0.0,20,UNRESOLVED_IMAGE,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,177,0,47,11430.05611583363,0.0011574115932454507,9875532.76858328,5.71240926455214,746304465.0685331,224,224,224,3.011062194208107e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",16.48052396125176,20.0,False
a000_i020,0.0,20,TOTAL_FLUX,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,24,14,200,210,10282.363041806644,1.536258721484912e-05,669311939.3241231,1.319502959228324,139507075.81047562,23,24,24,5.114240856062687e-10,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",22.42631738194587,20.0,False
a000_i020,0.0,20,TOTAL_FLUX,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,24,14,200,210,10282.363041806644,1.536258721484912e-05,669311939.3241231,1.319502959228324,139507075.81047562,23,24,24,5.114240856062687e-10,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",22.42631738194587,20.0,False
a000_i020,0.0,20,DELAY_ONLY,PRIMARY_GEOMETRY_DEPENDENT,2.000036968769375,49.94476568352094,1483,224,215,0,9,11506.898406195674,0.13048353222072248,88186.59496993774,5.763822059408864,763180248.9191568,224,224,224,9.093915133669227e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",67.85788581646776,60.0,False
a000_i020,0.0,20,DELAY_ONLY,COMMON_RADIAL_SUPPORT,2.000036968769375,49.94476568352094,1483,224,215,0,9,11506.898406195674,0.13048353222072248,88186.59496993774,5.763822059408864,763180248.9191568,224,224,224,9.093915133669227e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",67.85788581646776,60.0,False
