gate,geometry,measured,threshold,passes
G2_physical_dense_matrix_free,a000_i020,0.0,1e-10,True
G2_physical_dense_matrix_free,a000_i050,0.0,1e-10,True
G2_physical_dense_matrix_free,a000_i075,0.0,1e-10,True
G2_physical_dense_matrix_free,a050_i020,0.0,1e-10,True
G2_physical_dense_matrix_free,a050_i050,0.0,1e-10,True
G2_physical_dense_matrix_free,a050_i075,0.0,1e-10,True
G2_physical_dense_matrix_free,a090_i020,0.0,1e-10,True
G2_physical_dense_matrix_free,a090_i050,0.0,1e-10,True
G2_physical_dense_matrix_free,a090_i075,0.0,1e-10,True
G2_physical_dense_matrix_free,a098_i020,0.0,1e-10,True
G2_physical_dense_matrix_free,a098_i050,0.0,1e-10,True
G2_physical_dense_matrix_free,a098_i075,0.0,1e-10,True
G3_physical_adjoint,a000_i020,2.1073212346032133e-14,1e-08,True
G3_physical_adjoint,a000_i050,4.1906124824995864e-14,1e-08,True
G3_physical_adjoint,a000_i075,7.85222205343375e-15,1e-08,True
G3_physical_adjoint,a050_i020,2.1838162866989236e-14,1e-08,True
G3_physical_adjoint,a050_i050,1.422042503413172e-14,1e-08,True
G3_physical_adjoint,a050_i075,5.523079531068608e-14,1e-08,True
G3_physical_adjoint,a090_i020,2.2227204602551784e-14,1e-08,True
G3_physical_adjoint,a090_i050,1.1961567660288724e-14,1e-08,True
G3_physical_adjoint,a090_i075,1.2164177033984354e-14,1e-08,True
G3_physical_adjoint,a098_i020,2.0139909432871348e-14,1e-08,True
G3_physical_adjoint,a098_i050,2.0673409129686616e-14,1e-08,True
G3_physical_adjoint,a098_i075,3.650594081713648e-14,1e-08,True
G4_physical_resolved_unresolved_mixing,a000_i020,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a000_i050,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a000_i075,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a050_i020,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a050_i050,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a050_i075,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a090_i020,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a090_i050,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a090_i075,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a098_i020,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a098_i050,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a098_i075,0.0,1e-10,True
G4b_linear_collapse_covariance_propagation,a000_i020,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a000_i050,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a000_i075,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a050_i020,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a050_i050,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a050_i075,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a090_i020,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a090_i050,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a090_i075,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a098_i020,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a098_i050,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a098_i075,0.0,1e-12,True
G6_physical_Gram_monotonicity,a000_i020,0.0,1e-10,True
G6_physical_Gram_monotonicity,a000_i050,3.358933283757277e-17,1e-10,True
G6_physical_Gram_monotonicity,a000_i075,9.378373831178594e-17,1e-10,True
G6_physical_Gram_monotonicity,a050_i020,0.0,1e-10,True
G6_physical_Gram_monotonicity,a050_i050,3.005572142130963e-17,1e-10,True
G6_physical_Gram_monotonicity,a050_i075,7.184787597424022e-17,1e-10,True
G6_physical_Gram_monotonicity,a090_i020,0.0,1e-10,True
G6_physical_Gram_monotonicity,a090_i050,2.94640944739697e-17,1e-10,True
G6_physical_Gram_monotonicity,a090_i075,7.216329992727395e-17,1e-10,True
G6_physical_Gram_monotonicity,a098_i020,0.0,1e-10,True
G6_physical_Gram_monotonicity,a098_i050,0.0,1e-10,True
G6_physical_Gram_monotonicity,a098_i075,6.240296301278177e-17,1e-10,True
G6b_resolved_dominates_direct,a000_i020,0.0,1e-10,True
G6b_resolved_dominates_direct,a000_i050,0.0,1e-10,True
G6b_resolved_dominates_direct,a000_i075,2.373848016954171e-17,1e-10,True
G6b_resolved_dominates_direct,a050_i020,0.0,1e-10,True
G6b_resolved_dominates_direct,a050_i050,0.0,1e-10,True
G6b_resolved_dominates_direct,a050_i075,1.6368085825879825e-17,1e-10,True
G6b_resolved_dominates_direct,a090_i020,0.0,1e-10,True
G6b_resolved_dominates_direct,a090_i050,0.0,1e-10,True
G6b_resolved_dominates_direct,a090_i075,2.7436034190338547e-17,1e-10,True
G6b_resolved_dominates_direct,a098_i020,0.0,1e-10,True
G6b_resolved_dominates_direct,a098_i050,0.0,1e-10,True
G6b_resolved_dominates_direct,a098_i075,7.25047495155196e-17,1e-10,True
G9w_transfer_weight_semantics,a000_i020,2.4985403539233186e-16,1e-10,True
G9w_transfer_weight_semantics,a000_i050,1.2521086774798965e-16,1e-10,True
G9w_transfer_weight_semantics,a000_i075,3.603974833293187e-16,1e-10,True
G9w_transfer_weight_semantics,a050_i020,0.0,1e-10,True
G9w_transfer_weight_semantics,a050_i050,1.6921312011308915e-16,1e-10,True
G9w_transfer_weight_semantics,a050_i075,1.7965071932354974e-16,1e-10,True
G9w_transfer_weight_semantics,a090_i020,1.931447030772147e-16,1e-10,True
G9w_transfer_weight_semantics,a090_i050,4.3778502867990174e-16,1e-10,True
G9w_transfer_weight_semantics,a090_i075,1.6191829883169006e-16,1e-10,True
G9w_transfer_weight_semantics,a098_i020,2.545105790277398e-16,1e-10,True
G9w_transfer_weight_semantics,a098_i050,2.1041982742462183e-16,1e-10,True
G9w_transfer_weight_semantics,a098_i075,1.7156032328026904e-16,1e-10,True
