metric,n_cells,median,minimum,maximum,argmin,argmax,statistical_interpretation,monotone_in_spin_at_i020,monotone_in_spin_at_i050,monotone_in_spin_at_i075,monotone_in_inclination_at_a000,monotone_in_inclination_at_a050,monotone_in_inclination_at_a090,monotone_in_inclination_at_a098,cell_a000_i020,cell_a000_i050,cell_a000_i075,cell_a050_i020,cell_a050_i050,cell_a050_i075,cell_a090_i020,cell_a090_i050,cell_a090_i075,cell_a098_i020,cell_a098_i050,cell_a098_i075
operational_rank_resolved,12,202.0,184.0,205.0,a050_i075,a098_i050,deterministic registered geometries; no population inference,constant,nondecreasing,nonmonotone,nonincreasing,nonincreasing,nonincreasing,nonmonotone,203.0,201.0,185.0,203.0,201.0,184.0,203.0,203.0,189.0,203.0,205.0,193.0
operational_rank_direct,12,153.0,133.0,159.0,a000_i020,a000_i075,deterministic registered geometries; no population inference,nonmonotone,nonmonotone,nonincreasing,nondecreasing,nondecreasing,nondecreasing,nondecreasing,133.0,153.0,159.0,134.0,153.0,157.0,135.0,154.0,157.0,133.0,153.0,156.0
kappa_positive_resolved,12,783629.2002089762,199843.7328729814,28800119.23690534,a098_i050,a000_i075,deterministic registered geometries; no population inference,nondecreasing,nonmonotone,nonincreasing,nonmonotone,nonmonotone,nonmonotone,nonmonotone,703839.5678413169,702671.9154683171,28800119.23690534,711572.6531409704,703559.6934127993,17283649.56973033,855685.747276982,698191.4056684674,13625710.789881151,1189680.7089586253,199843.7328729814,7533964.252961485
J_old_resolved,12,40.71725657582101,12.36464174162441,71.52966161865436,a000_i075,a098_i020,deterministic registered geometries; no population inference,nondecreasing,nonmonotone,nondecreasing,nonincreasing,nonincreasing,nonincreasing,nonincreasing,67.85788581646776,40.92859703267712,12.36464174162441,69.93996996173094,41.213556235894124,15.880844401351844,70.81091914495107,40.43536358169043,16.066903726003606,71.52966161865436,40.505916118964905,16.218108354101457
J_old_direct,12,8.29254100156594,4.919305429039599,15.39820281102119,a050_i075,a098_i020,deterministic registered geometries; no population inference,nondecreasing,nonmonotone,nonmonotone,nonincreasing,nonincreasing,nonincreasing,nonincreasing,15.015935530161347,8.342603276052957,5.067551174290569,15.27723713102844,8.78362321221232,4.919305429039599,15.374402930657665,8.242478727078923,5.088745787824284,15.39820281102119,7.9876400792676,5.241904942764881
oldest_detectable_age_probe_resolved,12,84.0,60.0,144.0,a000_i020,a000_i075,deterministic registered geometries; no population inference,constant,constant,constant,nondecreasing,nondecreasing,nondecreasing,nondecreasing,60.0,84.0,144.0,60.0,84.0,144.0,60.0,84.0,144.0,60.0,84.0,144.0
oldest_detectable_age_probe_direct,12,60.0,20.0,140.0,a000_i020,a000_i075,deterministic registered geometries; no population inference,constant,constant,constant,nondecreasing,nondecreasing,nondecreasing,nondecreasing,20.0,60.0,140.0,20.0,60.0,140.0,20.0,60.0,140.0,20.0,60.0,140.0
delta_G_indirect_rank,12,224.0,195.0,224.0,a000_i075,a000_i020,deterministic registered geometries; no population inference,constant,constant,nondecreasing,nonincreasing,nonincreasing,nonincreasing,nonincreasing,224.0,224.0,195.0,224.0,224.0,196.0,224.0,224.0,196.0,224.0,224.0,197.0
delta_G_indirect_trace,12,9947609.420864483,6473539.503682914,46639911.19438244,a000_i020,a098_i075,deterministic registered geometries; no population inference,nondecreasing,nondecreasing,nondecreasing,nondecreasing,nondecreasing,nondecreasing,nondecreasing,6473539.503682914,9867639.872374771,26596581.117078044,6985623.9245753735,9942293.462157274,45422801.43957056,7330575.355789135,9952925.379571693,45632853.613121435,7553291.648163085,10131234.218417281,46639911.19438244
D_delay_registered_degenerate,12,0.0,0.0,0.0,a000_i020,a000_i020,deterministic registered geometries; no population inference,constant,constant,constant,constant,constant,constant,constant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
