geometry,spin,inclination_deg,arm,control_class,never_rank_as_architecture,seed,numerical_rank,operational_rank,nullity,operational_nullity,sigma_max,sigma_min_positive,kappa_positive,stable_rank,trace_information,rank_rel_1e-08,rank_rel_1e-10,rank_rel_1e-12,numerical_rank_threshold,exact_rank,exact_rank_reason,structural_certificate,source_class,operator_notation,spectrum_describes,disposition,counts_toward_denominator
a000_i020,0.0,20,PAIRING_DESTROYED,NONPHYSICAL_NEGATIVE_CONTROL,True,20260825,224,220,0,4,10139.422027076682,0.5615341273066867,18056.64434984367,7.425720589964998,763422584.2214823,224,224,224,8.013196967920095e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",SUPPORTED,True
a000_i020,0.0,20,PAIRING_DESTROYED,NONPHYSICAL_NEGATIVE_CONTROL,True,20261825,224,218,0,6,10148.770736661081,0.40581396956871085,25008.43119680416,7.476208331357292,770031122.469506,224,224,224,8.02058526392904e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",SUPPORTED,True
a000_i020,0.0,20,PAIRING_DESTROYED,NONPHYSICAL_NEGATIVE_CONTROL,True,20262825,224,219,0,5,10166.354016585388,0.3466935629423081,29323.746106809405,7.388162914421076,763601760.4620351,224,224,224,8.034481350412007e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",SUPPORTED,True
a000_i020,0.0,20,PAIRING_DESTROYED,NONPHYSICAL_NEGATIVE_CONTROL,True,20263825,224,218,0,6,10150.414074674163,0.4523464419981991,22439.46924802953,7.431539289070612,765678225.0903287,224,224,224,8.021883995863517e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",SUPPORTED,True
a000_i020,0.0,20,PAIRING_DESTROYED,NONPHYSICAL_NEGATIVE_CONTROL,True,20264825,224,217,0,7,10127.999378290333,0.4804218035701008,21081.47320339616,7.47500692039353,766759086.133561,224,224,224,8.004169635358539e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",SUPPORTED,True
a000_i020,0.0,20,PAIRING_DESTROYED,NONPHYSICAL_NEGATIVE_CONTROL,True,20265825,224,218,0,6,10122.549403471172,0.3417164268419704,29622.659633370302,7.481533040066707,766602812.5576712,224,224,224,7.999862513948707e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",SUPPORTED,True
a000_i020,0.0,20,PAIRING_DESTROYED,NONPHYSICAL_NEGATIVE_CONTROL,True,20266825,224,220,0,4,10118.241632677853,0.4629774005429203,21854.720383354525,7.496863701252921,767520012.4841638,224,224,224,7.996458077702998e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",SUPPORTED,True
a000_i020,0.0,20,PAIRING_DESTROYED,NONPHYSICAL_NEGATIVE_CONTROL,True,20267825,224,216,0,8,10107.817061962432,0.29328049791832,34464.675059224384,7.501392198996285,766401981.3251224,224,224,224,7.98821952739652e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",SUPPORTED,True
a000_i020,0.0,20,PAIRING_DESTROYED,NONPHYSICAL_NEGATIVE_CONTROL,True,20268825,224,218,0,6,10143.788885923923,0.514353373003127,19721.43941955301,7.421667446460077,763663255.3057235,224,224,224,8.016648101523233e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",SUPPORTED,True
a000_i020,0.0,20,PAIRING_DESTROYED,NONPHYSICAL_NEGATIVE_CONTROL,True,20269825,224,218,0,6,10156.212812064432,0.4787859457057981,21212.428859190386,7.451624664615311,768625089.1712464,224,224,224,8.02646674473711e-08,NOT_APPLICABLE,"float64 physical operator with no structural certificate; the spectrum is computed from finite-precision transfer coefficients, so rank is a decision at a stated tolerance and not an algebraic fact",,C224,A_C = mathcal A Q_C,"the restricted coefficient matrix A_C, not the continuum operator mathcal A",SUPPORTED,True
