geometry,order,profile,n_valid_rays,quantile_q,quantile_weighting,quantile_value_M,quantile_is_source_model_dependent,weight_definition,delay_max_M,disposition,counts_toward_denominator
a000_i020,0,core,15411,0.5,Omega,11.079229723692805,False,dOmega,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.9,Omega,16.94608619685266,False,dOmega,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.99,Omega,18.297732217452243,False,dOmega,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.999,Omega,19.496796496191667,False,dOmega,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.5,I,10.504153640563118,False,dOmega * g^3,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.9,I,17.05269964997561,False,dOmega * g^3,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.99,I,18.277608513819814,False,dOmega * g^3,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.999,I,18.47709816245863,False,dOmega * g^3,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.5,F,10.310652525782453,True,dOmega * g^6,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.9,F,17.112666580437452,True,dOmega * g^6,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.99,F,18.28543593937752,True,dOmega * g^6,26.663730479362243,SUPPORTED,True
a000_i020,0,core,15411,0.999,F,18.478093834640013,True,dOmega * g^6,26.663730479362243,SUPPORTED,True
a000_i020,1,core,5738,0.5,Omega,34.45067686053314,False,dOmega,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.9,Omega,56.34346004588243,False,dOmega,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.99,Omega,75.58526738857888,False,dOmega,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.999,Omega,79.68409504830245,False,dOmega,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.5,I,41.668910201609265,False,dOmega * g^3,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.9,I,65.3384955582569,False,dOmega * g^3,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.99,I,76.73997330035598,False,dOmega * g^3,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.999,I,81.09473979839635,False,dOmega * g^3,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.5,F,45.65609075974386,True,dOmega * g^6,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.9,F,68.27867119766958,True,dOmega * g^6,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.99,F,77.6021465895193,True,dOmega * g^6,81.40104158951897,SUPPORTED,True
a000_i020,1,core,5738,0.999,F,81.09473979839738,True,dOmega * g^6,81.40104158951897,SUPPORTED,True
a000_i020,2,core,3090,0.5,Omega,49.483384449940345,False,dOmega,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.9,Omega,67.02372646447542,False,dOmega,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.99,Omega,90.84044059539349,False,dOmega,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.999,Omega,96.4383042584885,False,dOmega,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.5,I,56.53739847139999,False,dOmega * g^3,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.9,I,80.39658174994872,False,dOmega * g^3,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.99,I,93.50359006965493,False,dOmega * g^3,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.999,I,97.67991536751899,False,dOmega * g^3,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.5,F,61.05877283783832,True,dOmega * g^6,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.9,F,83.53697473884809,True,dOmega * g^6,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.99,F,94.8838708909816,True,dOmega * g^6,98.01759001028256,SUPPORTED,True
a000_i020,2,core,3090,0.999,F,98.01759001028256,True,dOmega * g^6,98.01759001028256,SUPPORTED,True
a000_i050,0,core,15409,0.5,Omega,31.590133524144616,False,dOmega,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.9,Omega,52.07115625912411,False,dOmega,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.99,Omega,57.08737617788961,False,dOmega,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.999,Omega,58.10478525102273,False,dOmega,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.5,I,30.780824195069044,False,dOmega * g^3,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.9,I,52.380218262581764,False,dOmega * g^3,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.99,I,57.16380879027033,False,dOmega * g^3,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.999,I,58.11851405777771,False,dOmega * g^3,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.5,F,31.20478331106092,True,dOmega * g^6,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.9,F,52.147214110219466,True,dOmega * g^6,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.99,F,57.142679474845636,True,dOmega * g^6,58.310393781555604,SUPPORTED,True
a000_i050,0,core,15409,0.999,F,58.11753118113262,True,dOmega * g^6,58.310393781555604,SUPPORTED,True
a000_i050,1,core,8288,0.5,Omega,55.40934331380731,False,dOmega,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.9,Omega,78.48872918679217,False,dOmega,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.99,Omega,93.37518776734078,False,dOmega,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.999,Omega,98.26557065424208,False,dOmega,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.5,I,60.95300616620511,False,dOmega * g^3,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.9,I,83.9567203855088,False,dOmega * g^3,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.99,I,94.34897035468794,False,dOmega * g^3,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.999,I,99.41997084169725,False,dOmega * g^3,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.5,F,63.51246570923371,True,dOmega * g^6,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.9,F,86.1185604194021,True,dOmega * g^6,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.99,F,94.82987096343962,True,dOmega * g^6,100.79604336125476,SUPPORTED,True
a000_i050,1,core,8288,0.999,F,99.42353697266036,True,dOmega * g^6,100.79604336125476,SUPPORTED,True
a000_i050,2,core,3702,0.5,Omega,68.91139596564032,False,dOmega,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.9,Omega,85.94113210472032,False,dOmega,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.99,Omega,108.79288798900043,False,dOmega,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.999,Omega,119.97155407249419,False,dOmega,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.5,I,74.01403565976834,False,dOmega * g^3,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.9,I,95.49519954289697,False,dOmega * g^3,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.99,I,112.16145092886588,False,dOmega * g^3,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.999,I,120.4416758474774,False,dOmega * g^3,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.5,F,76.59638290249768,True,dOmega * g^6,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.9,F,97.3162230631153,True,dOmega * g^6,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.99,F,113.12153198404036,True,dOmega * g^6,120.59130745416269,SUPPORTED,True
a000_i050,2,core,3702,0.999,F,120.5474354645248,True,dOmega * g^6,120.59130745416269,SUPPORTED,True
a000_i075,0,core,9732,0.5,Omega,99.64500203607534,False,dOmega,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.9,Omega,129.25653845260254,False,dOmega,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.99,Omega,137.9886752620829,False,dOmega,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.999,Omega,139.8059585675034,False,dOmega,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.5,I,98.72558166997393,False,dOmega * g^3,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.9,I,129.48197693581585,False,dOmega * g^3,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.99,I,138.04178926879214,False,dOmega * g^3,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.999,I,139.81819461808945,False,dOmega * g^3,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.5,F,96.4827004202541,True,dOmega * g^6,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.9,F,128.2373162867483,True,dOmega * g^6,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.99,F,137.7875785346431,True,dOmega * g^6,140.03216644620068,SUPPORTED,True
a000_i075,0,core,9732,0.999,F,139.79601774397577,True,dOmega * g^6,140.03216644620068,SUPPORTED,True
a000_i075,1,core,13774,0.5,Omega,110.74924607829654,False,dOmega,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.9,Omega,132.9152029431984,False,dOmega,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.99,Omega,148.63551630918704,False,dOmega,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.999,Omega,156.68115466706098,False,dOmega,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.5,I,114.10243285356582,False,dOmega * g^3,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.9,I,137.4981508869671,False,dOmega * g^3,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.99,I,149.5613167146943,False,dOmega * g^3,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.999,I,159.9133553041332,False,dOmega * g^3,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.5,F,114.60621743163239,True,dOmega * g^6,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.9,F,138.4747930474923,True,dOmega * g^6,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.99,F,149.67962769506414,True,dOmega * g^6,162.60629039967705,SUPPORTED,True
a000_i075,1,core,13774,0.999,F,160.37739231173634,True,dOmega * g^6,162.60629039967705,SUPPORTED,True
a000_i075,2,core,5202,0.5,Omega,123.73727045302904,False,dOmega,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.9,Omega,143.05098582798826,False,dOmega,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.99,Omega,165.10450628107083,False,dOmega,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.999,Omega,171.02533844332817,False,dOmega,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.5,I,128.96803301749654,False,dOmega * g^3,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.9,I,151.82095319032817,False,dOmega * g^3,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.99,I,167.63685202426257,False,dOmega * g^3,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.999,I,174.8507907711379,False,dOmega * g^3,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.5,F,129.95661009587218,True,dOmega * g^6,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.9,F,154.1002177998844,True,dOmega * g^6,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.99,F,167.79592941107592,True,dOmega * g^6,182.08248459350773,SUPPORTED,True
a000_i075,2,core,5202,0.999,F,174.8507907711379,True,dOmega * g^6,182.08248459350773,SUPPORTED,True
