geometry,source_class,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,log_information_volume_at_reference_snr
a000_i020,C224,DIRECT_PHYSICAL,0.0,0.47158463263885325,4.626937269590814e-05,127.76589179819402
a000_i020,C224,DIRECT_PHYSICAL,4.0,0.47160589801119857,3.921665176212857e-05,124.29497927940143
a000_i020,C224,DIRECT_PHYSICAL,8.0,0.466385297318951,1.0427420867717579e-05,115.57905329943164
a000_i020,C224,DIRECT_PHYSICAL,12.0,0.4235239214290555,7.44385414289285e-07,100.98344369564833
a000_i020,C224,DIRECT_PHYSICAL,16.0,0.2556714821074694,2.0172924733194105e-08,73.26324868062756
a000_i020,C224,DIRECT_PHYSICAL,20.0,0.04517164363166297,1.537412345333768e-10,32.51391200665426
a000_i020,C224,DIRECT_PHYSICAL,24.0,0.0007418106705725369,1.5002963996458747e-13,4.875143248495894
a000_i020,C224,DIRECT_PHYSICAL,28.0,5.379717416915228e-07,1.7886932877235513e-17,0.008937422640900071
a000_i020,C224,DIRECT_PHYSICAL,32.0,1.3399900979560596e-11,1.418064023158407e-22,2.1323932975556149e-07
a000_i020,C224,DIRECT_PHYSICAL,36.0,1.0500507164001386e-17,3.5891036878546023e-29,1.6114803447223593e-13
a000_i020,C224,DIRECT_PHYSICAL,40.0,2.4883462554713825e-25,2.7303480078323603e-37,3.741075595316337e-21
a000_i020,C224,DIRECT_PHYSICAL,44.0,3.758815469766623e-33,1.3081408932906372e-46,4.0444885936970613e-29
a000_i020,C224,DIRECT_PHYSICAL,48.0,1.289318001091181e-40,2.1532284483129456e-57,1.290842252699697e-36
a000_i020,C224,DIRECT_PHYSICAL,52.0,1.2636794097781264e-49,2.4029528180053498e-70,1.2638691205372773e-45
a000_i020,C224,DIRECT_PHYSICAL,56.0,3.537984944235413e-60,0.0,3.538054703876084e-56
a000_i020,C224,DIRECT_PHYSICAL,60.0,2.829547068418431e-72,0.0,2.829554397107429e-68
a000_i020,C224,DIRECT_PHYSICAL,64.0,6.464273306839936e-86,0.0,6.46427550617048e-82
a000_i020,C224,DIRECT_PHYSICAL,68.0,4.2185610616582205e-101,0.0,4.218561250195207e-97
a000_i020,C224,DIRECT_PHYSICAL,72.0,7.86413230876437e-118,0.0,7.864132354932733e-114
a000_i020,C224,DIRECT_PHYSICAL,76.0,4.187734362849007e-136,0.0,4.1877343660784986e-132
a000_i020,C224,DIRECT_PHYSICAL,80.0,6.370144468127965e-156,0.0,6.370144468773272e-152
a000_i020,C224,DIRECT_PHYSICAL,84.0,2.7679693706281457e-177,0.0,2.767969370664979e-173
a000_i020,C224,DIRECT_PHYSICAL,88.0,3.435699094714939e-200,0.0,3.435699094720945e-196
a000_i020,C224,DIRECT_PHYSICAL,92.0,1.2181781430429657e-224,0.0,1.2181781430432454e-220
a000_i020,C224,DIRECT_PHYSICAL,96.0,1.2338101186165758e-250,0.0,1.233810118616613e-246
