geometry,source_class,source_dimension,n_radial,n_azimuthal,n_temporal,arm,data_dimension,full_column_rank,numerical_rank,operational_rank,nullity,sigma_max,sigma_min_positive,kappa_positive,stable_rank,effective_rank,trace_information
a000_i020,C224,224,4,7,8,DIRECT_PHYSICAL,11864,True,224,133,0,11505.505253437766,3.40425484556201e-07,33797426383.7416,5.721429761583566,40.388661667652826,757383711.5533334
a000_i020,C224,224,4,7,8,RESOLVED_PHYSICAL,35592,True,224,203,0,11506.557191583122,0.016348267016151895,703839.567840113,5.769277180446952,53.04085090656546,763857251.0570157
a000_i020,C224,224,4,7,8,DELAY_ONLY,35592,True,224,215,0,11506.898406195676,0.13048353222071235,88186.5949699446,5.763822059408864,54.17414903177748,763180248.919157
a000_i020,C224,224,4,7,8,SPATIAL_ONLY,35592,True,224,140,0,11530.00399568483,1.3141791232912354e-06,8773540677.475567,5.745800477941963,41.810930703238895,763852416.1790106
a000_i020,C224,224,4,7,8,UNRESOLVED_IMAGE,11864,True,224,177,0,11430.05611583363,0.0011574115932930285,9875532.768177325,5.712409264552144,42.125444647309166,746304465.0685335
a000_i020,C224,224,4,7,8,EQUALIZED_ORDER_SENSITIVITY,35592,True,224,217,0,12777.519547280877,0.4034601929559844,31669.839479491955,14.91499367348668,104.1625748779065,2435096528.327543
a000_i020,C224,224,4,7,8,PAIRING_DESTROYED,35592,True,224,220,0,10139.422027076687,0.5615341273067829,18056.64434984059,7.425720589964986,76.56365728525317,763422584.2214818
a000_i020,C448_T,448,4,7,16,DIRECT_PHYSICAL,11864,False,348,207,100,11946.338863087487,3.641125980816202e-08,328094631331.86,10.37548278362434,65.19580459391102,1480737152.37489
a000_i020,C448_T,448,4,7,16,RESOLVED_PHYSICAL,35592,True,448,378,0,11947.048891324212,0.0001115604311420519,107090379.3488555,10.46238917182405,92.01186873202677,1493317492.852634
a000_i020,C448_T,448,4,7,16,DELAY_ONLY,35592,True,448,410,0,11947.191059089308,0.0035309392332097634,3383573.114689045,10.452926722459676,95.22318894049377,1492002407.2403758
a000_i020,C448_T,448,4,7,16,SPATIAL_ONLY,35592,False,357,229,91,11975.210499644369,9.802122566611551e-08,122169564992.33025,10.413295585356854,68.72091934038905,1493325593.9919953
a000_i020,C448_T,448,4,7,16,UNRESOLVED_IMAGE,11864,True,448,318,0,11865.513844290175,5.119421721783657e-06,2317744950.3332014,10.363022595311083,69.26660238667071,1459014291.1141505
a000_i020,C448_T,448,4,7,16,EQUALIZED_ORDER_SENSITIVITY,35592,True,448,416,0,12908.44284162488,0.0038591536308977023,3344889.599179332,28.455517240924955,193.95954714742197,4741482984.392214
a000_i020,C448_T,448,4,7,16,PAIRING_DESTROYED,35592,True,448,422,0,10774.378338879776,0.018923134750256487,569375.9771347472,12.802635137784574,139.26132563691075,1486222431.7856803
a000_i020,C528_S,528,6,11,8,DIRECT_PHYSICAL,11864,False,522,295,6,12174.023202704248,3.5142102827113476e-08,346422730096.6043,8.757728095711046,80.32699723412021,1297955214.876653
a000_i020,C528_S,528,6,11,8,RESOLVED_PHYSICAL,35592,True,528,442,0,12174.835344035928,0.00017161325265996599,70943444.95736068,8.826743855412248,106.6739328302522,1308358368.9359083
a000_i020,C528_S,528,6,11,8,DELAY_ONLY,35592,True,528,481,0,12175.523428089264,0.0056491094939178435,2155299.599201986,8.823236509205788,109.22642019093455,1307986321.0310464
a000_i020,C528_S,528,6,11,8,SPATIAL_ONLY,35592,True,528,322,0,12192.918812054553,1.85672092704078e-07,65669097786.7497,8.800535841924955,85.56390354728568,1308351630.7403965
a000_i020,C528_S,528,6,11,8,UNRESOLVED_IMAGE,11864,True,528,381,0,12090.9100508966,1.6299885437878983e-05,741778836.2364053,8.747465571573944,83.86998225474073,1278792917.905237
a000_i020,C528_S,528,6,11,8,EQUALIZED_ORDER_SENSITIVITY,35592,True,528,495,0,13004.226092210813,0.0026537896522477403,4900247.493691268,23.772096429274338,220.47260257318587,4020096760.973983
a000_i020,C528_S,528,6,11,8,PAIRING_DESTROYED,35592,True,528,506,0,10611.484291095117,0.0809435407325606,131097.3574303565,11.736011094532275,164.18532039628644,1321517085.5070813
a000_i020,C1056_ST,1056,6,11,16,DIRECT_PHYSICAL,11864,False,791,445,265,12658.53369289803,3.577237837386966e-08,353863351231.47974,15.809996201201246,127.9840910843233,2533369685.0557294
a000_i020,C1056_ST,1056,6,11,16,RESOLVED_PHYSICAL,35592,False,1045,810,11,12659.067343279763,1.2159640584711846e-07,104107249347.4506,15.934866132315802,182.41631616853482,2553593944.37471
a000_i020,C1056_ST,1056,6,11,16,DELAY_ONLY,35592,True,1056,895,0,12659.403481372163,1.5716508717901398e-06,8054844564.144749,15.929464958021807,189.86948214631033,2552863963.218474
a000_i020,C1056_ST,1056,6,11,16,SPATIAL_ONLY,35592,False,828,521,228,12680.728622158023,1.0307653616641253e-07,123022455873.81348,15.880542645337652,139.68073534605352,2553605206.6613736
a000_i020,C1056_ST,1056,6,11,16,UNRESOLVED_IMAGE,11864,False,1028,668,28,12570.042520581896,3.4388148621144326e-08,365534145471.64435,15.796624300973178,136.0278669656511,2495960929.118261
a000_i020,C1056_ST,1056,6,11,16,EQUALIZED_ORDER_SENSITIVITY,35592,False,1045,900,11,13251.824295954522,2.0982308241121528e-06,6315713287.436768,44.55800091477487,402.71925510188004,7824868288.88315
a000_i020,C1056_ST,1056,6,11,16,PAIRING_DESTROYED,35592,True,1056,958,0,11276.149770088123,0.0005372142746467264,20990041.2223844,20.233275356669814,296.7962904395567,2572692396.775068
a050_i050,C224,224,4,7,8,DIRECT_PHYSICAL,12288,True,224,153,0,12311.040293547552,1.0852367084276049e-05,1134410603.5064893,5.835830496026721,43.393305471948736,884488467.3936057
a050_i050,C224,224,4,7,8,RESOLVED_PHYSICAL,36864,True,224,201,0,12321.319007162905,0.017512826733048308,703559.69341668,5.8915873779399375,53.15247714907294,894430760.8557628
a050_i050,C224,224,4,7,8,DELAY_ONLY,36864,True,224,214,0,12328.439880064385,0.15743135502931097,78309.93945119157,5.882652822391978,55.59924942820449,894106931.2887505
a050_i050,C224,224,4,7,8,SPATIAL_ONLY,36864,True,224,177,0,12333.788688773671,0.0010318857263622793,11952669.150928313,5.87960514789911,50.2584334180802,894419313.4787182
a050_i050,C224,224,4,7,8,UNRESOLVED_IMAGE,12288,True,224,181,0,12212.337062726765,0.0017276255708089888,7068856.394043843,5.8096380773978815,44.76067581388855,866456258.0978112
a050_i050,C224,224,4,7,8,EQUALIZED_ORDER_SENSITIVITY,36864,True,224,216,0,15621.23105504729,0.3320093176041873,47050.5802902511,10.926880345691085,96.11726123447139,2666408589.2839913
a050_i050,C224,224,4,7,8,PAIRING_DESTROYED,36864,True,224,221,0,9444.829552320032,0.45018266924906813,20979.993672512046,10.028610413616656,93.01959349320066,894600239.0992142
a050_i050,C448_T,448,4,7,16,DIRECT_PHYSICAL,12288,False,411,250,37,12875.79806474001,7.229020166069778e-08,178112631711.47348,10.398262724674467,73.09762487407778,1723888212.1286726
a050_i050,C448_T,448,4,7,16,RESOLVED_PHYSICAL,36864,True,448,365,0,12885.695399853852,7.163813189163822e-05,179872018.7084876,10.498596756623702,93.75178364478703,1743199036.2088242
a050_i050,C448_T,448,4,7,16,DELAY_ONLY,36864,True,448,391,0,12895.083797166855,0.0005473158069986704,23560590.854994584,10.479503689999875,99.35268206603139,1742565262.6966782
a050_i050,C448_T,448,4,7,16,SPATIAL_ONLY,36864,False,425,309,23,12903.59991718397,1.1412286111533401e-07,113067616699.01904,10.469554284460356,87.74265036383689,1743211053.9883587
a050_i050,C448_T,448,4,7,16,UNRESOLVED_IMAGE,12288,True,448,320,0,12763.232036026962,5.1967861524589315e-06,2455985615.2610517,10.360160079409281,76.48761808734534,1687671030.1271172
a050_i050,C448_T,448,4,7,16,EQUALIZED_ORDER_SENSITIVITY,36864,True,448,401,0,15816.32449259715,0.000788038253701326,20070503.453746915,20.726530343762764,175.53382397150776,5184868421.291194
a050_i050,C448_T,448,4,7,16,PAIRING_DESTROYED,36864,True,448,414,0,9630.26442510554,0.00917882220684379,1049183.022406203,18.77120031620698,173.76700803742352,1740878526.4023418
a050_i050,C528_S,528,6,11,8,DIRECT_PHYSICAL,12288,True,528,317,0,12133.432750661063,5.342098107827849e-08,227128602016.5331,9.174129721129507,86.34207756169491,1350617123.5174818
a050_i050,C528_S,528,6,11,8,RESOLVED_PHYSICAL,36864,True,528,441,0,12142.024888206355,0.0003383587092686854,35885066.81104685,9.265869709860874,108.85682206289633,1366055759.3482878
a050_i050,C528_S,528,6,11,8,DELAY_ONLY,36864,True,528,473,0,12150.580327989015,0.00519515444347785,2338829.472768266,9.247761199003486,114.09208495948567,1365308042.3665845
a050_i050,C528_S,528,6,11,8,SPATIAL_ONLY,36864,True,528,403,0,12151.230161363166,0.00016865006438696904,72049958.62605818,9.251708305692055,105.18035692738599,1366036883.9442608
a050_i050,C528_S,528,6,11,8,UNRESOLVED_IMAGE,12288,True,528,385,0,12023.09850059813,3.492161138270478e-05,344288193.601303,9.147025072818044,89.59213966089472,1322247272.335006
a050_i050,C528_S,528,6,11,8,EQUALIZED_ORDER_SENSITIVITY,36864,True,528,488,0,15095.217217925185,0.003355285360073355,4498936.93023927,18.3198276096358,206.22906862562928,4174458196.0974226
a050_i050,C528_S,528,6,11,8,PAIRING_DESTROYED,36864,True,528,508,0,8808.148679539503,0.14833207470981596,59381.28147112486,17.740641940816825,204.42392339682596,1376380795.278448
a050_i050,C1056_ST,1056,6,11,16,DIRECT_PHYSICAL,12288,False,911,494,145,12853.695224572899,4.004860514035903e-08,320952382224.6576,15.91246229762622,140.78530437542014,2629016936.147066
a050_i050,C1056_ST,1056,6,11,16,RESOLVED_PHYSICAL,36864,False,1045,770,11,12859.527872782919,2.48776402146421e-07,51691108006.35446,16.079358265017305,186.52326338925351,2659002588.260736
a050_i050,C1056_ST,1056,6,11,16,DELAY_ONLY,36864,True,1056,836,0,12868.718775048661,6.670807000340234e-07,19291097425.53234,16.04759361753491,199.01748698317448,2657544456.3499594
a050_i050,C1056_ST,1056,6,11,16,SPATIAL_ONLY,36864,False,996,705,60,12871.538320557098,1.074398263312426e-07,119802300134.71422,16.04949459520963,180.8293932717338,2659024071.0418825
a050_i050,C1056_ST,1056,6,11,16,UNRESOLVED_IMAGE,12288,False,1042,658,14,12727.07573318177,3.5562590017075146e-08,357878200858.5693,15.884482213275957,148.24507709510078,2572943914.673252
a050_i050,C1056_ST,1056,6,11,16,EQUALIZED_ORDER_SENSITIVITY,36864,False,1052,852,4,15495.097045042337,1.554688452991848e-07,99666894773.82764,33.796138195524996,366.8212664996014,8114386284.656358
a050_i050,C1056_ST,1056,6,11,16,PAIRING_DESTROYED,36864,True,1056,944,0,8986.493167793866,0.0003690971918397244,24347227.14361948,33.16152675703987,378.71958728003136,2678027387.930403
a098_i075,C224,224,4,7,8,DIRECT_PHYSICAL,12288,True,224,156,0,15449.872458525613,0.00021366829235836574,72307745.28123713,4.5078879441680035,39.95618011030751,1076026356.3374414
a098_i075,C224,224,4,7,8,RESOLVED_PHYSICAL,36864,True,224,193,0,15941.808117215527,0.0021159920039664623,7533964.25285745,4.417489427623621,48.67281284312358,1122666267.5318234
a098_i075,C224,224,4,7,8,DELAY_ONLY,36864,True,224,193,0,15726.315471416134,0.0018472356419656486,8513432.241206497,4.549831470922718,52.447211958568246,1125250662.1890655
a098_i075,C224,224,4,7,8,SPATIAL_ONLY,36864,True,224,207,0,15662.761608465782,0.24150086105958898,64855.924487163975,4.576799036717937,55.39388936605106,1122789956.4743924
a098_i075,C224,224,4,7,8,UNRESOLVED_IMAGE,12288,True,224,174,0,15369.801997903385,0.0008389232821915915,18320867.14502848,4.291339823693301,41.62532304880625,1013746697.361853
a098_i075,C224,224,4,7,8,EQUALIZED_ORDER_SENSITIVITY,36864,True,224,203,0,25763.053532056358,0.007148900551161038,3603778.419867966,4.697250214982125,84.06028042207953,3117729029.93041
a098_i075,C224,224,4,7,8,PAIRING_DESTROYED,36864,True,224,224,0,12933.281411072452,1.0691939873205056,12096.290817613364,6.873507905474763,90.6874187444071,1149730073.0935397
a098_i075,C448_T,448,4,7,16,DIRECT_PHYSICAL,12288,False,444,252,4,16740.580046924348,7.785533333966144e-08,215021621882.8554,7.434508973172179,66.44156132736762,2083498987.1807377
a098_i075,C448_T,448,4,7,16,RESOLVED_PHYSICAL,36864,False,447,329,1,17223.916711264057,1.8705569135020953e-07,92079083971.93372,7.3286505538264,83.63618272890012,2174141708.240882
a098_i075,C448_T,448,4,7,16,DELAY_ONLY,36864,False,447,334,1,17003.568741853498,2.555963057510094e-07,66525095861.19614,7.536732795994444,91.93039712649865,2179030360.25771
a098_i075,C448_T,448,4,7,16,SPATIAL_ONLY,36864,True,448,347,0,16948.84658005748,0.000369248231042484,45900955.38767097,7.568297197077131,97.33136046418609,2174094788.0272245
a098_i075,C448_T,448,4,7,16,UNRESOLVED_IMAGE,12288,False,447,301,1,16505.75977148959,1.1122074992210544e-07,148405399019.9631,7.153014854203864,70.19681487798066,1948768122.481759
a098_i075,C448_T,448,4,7,16,EQUALIZED_ORDER_SENSITIVITY,36864,False,447,351,1,27116.78882766614,3.7834143022953866e-07,71672797798.57697,8.23112119565024,148.18095987216708,6052509982.798988
a098_i075,C448_T,448,4,7,16,PAIRING_DESTROYED,36864,True,448,392,0,13199.326585472902,0.00397805988188447,3318031.1451772745,12.781778289243267,167.21060001856816,2226869818.6253104
a098_i075,C528_S,528,6,11,8,DIRECT_PHYSICAL,12288,True,528,314,0,13516.771764236695,3.3354405450083586e-07,40524697058.27966,8.178345547317605,80.30393512977302,1494209239.153305
a098_i075,C528_S,528,6,11,8,RESOLVED_PHYSICAL,36864,True,528,418,0,13923.226555243782,0.0002871157807326984,48493421.433376916,8.04389517111349,101.08330202538278,1559359254.3948038
a098_i075,C528_S,528,6,11,8,DELAY_ONLY,36864,True,528,416,0,13717.752430110773,6.262599001411015e-05,219042484.23090878,8.297124641288907,110.79291286210292,1561325797.7858074
a098_i075,C528_S,528,6,11,8,SPATIAL_ONLY,36864,True,528,464,0,13674.220005358187,0.05824974479175878,234751.58653901648,8.340509564531896,116.63343317072591,1559544282.139793
a098_i075,C528_S,528,6,11,8,UNRESOLVED_IMAGE,12288,True,528,373,0,13397.931523007595,8.880436313881311e-05,150870194.31764668,7.785517772259591,84.84790087088514,1397536012.8924842
a098_i075,C528_S,528,6,11,8,EQUALIZED_ORDER_SENSITIVITY,36864,True,528,452,0,23129.789861210087,0.0017121933242810537,13508865.811588325,8.256123913740492,183.55558224498566,4416920442.28244
a098_i075,C528_S,528,6,11,8,PAIRING_DESTROYED,36864,True,528,508,0,11010.54764735828,0.021000006534357286,524311.6295866078,13.000955039047401,201.70498184573566,1576133854.8778288
a098_i075,C1056_ST,1056,6,11,16,DIRECT_PHYSICAL,12288,False,947,482,109,14750.325387788751,4.066992165781314e-08,362683889875.5304,13.303730677282037,128.29479646810285,2894520608.5941978
a098_i075,C1056_ST,1056,6,11,16,RESOLVED_PHYSICAL,36864,False,1021,697,35,15152.822496041603,1.3319752850018307e-07,113762039481.2414,13.15797687024685,167.5680242329778,3021177142.6542864
a098_i075,C1056_ST,1056,6,11,16,DELAY_ONLY,36864,False,1020,697,36,14940.30761798781,1.2864943622571008e-07,116131932298.37138,13.55115306375481,189.6358624316824,3024790706.3871593
a098_i075,C1056_ST,1056,6,11,16,SPATIAL_ONLY,36864,True,1056,784,0,14902.554716827392,5.8552333714385516e-05,254516835.99019444,13.603224071128986,200.54216562980153,3021087485.9000006
a098_i075,C1056_ST,1056,6,11,16,UNRESOLVED_IMAGE,12288,False,1021,620,35,14525.990581441325,4.9808654944748423e-08,291635873274.52765,12.783334538579151,137.46968455938244,2697339864.635801
a098_i075,C1056_ST,1056,6,11,16,EQUALIZED_ORDER_SENSITIVITY,36864,False,1031,764,25,24695.376532816554,2.0299806338278768e-07,121653261717.32576,14.06330570386982,314.58382690428795,8576670428.61629
a098_i075,C1056_ST,1056,6,11,16,PAIRING_DESTROYED,36864,True,1056,875,0,11254.339201157982,5.044349021688471e-06,2231078609.5032873,24.09984264793859,367.8605005627154,3052489705.3629475
