geometry,source_class,arm,snr0,T_rec_best_mode,right_censored,age_grid_max,depth_report
a000_i020,C224,DIRECT_PHYSICAL,1.0,-1.0,False,252.0,none
a000_i020,C224,DIRECT_PHYSICAL,3.0,16.0,False,252.0,16.0
a000_i020,C224,DIRECT_PHYSICAL,10.0,20.0,False,252.0,20.0
a000_i020,C224,DIRECT_PHYSICAL,30.0,20.0,False,252.0,20.0
a000_i020,C224,DIRECT_PHYSICAL,100.0,24.0,False,252.0,24.0
a000_i020,C224,DIRECT_PHYSICAL,300.0,24.0,False,252.0,24.0
a000_i020,C224,DIRECT_PHYSICAL,1000.0,24.0,False,252.0,24.0
a000_i020,C224,DIRECT_PHYSICAL,3000.0,28.0,False,252.0,28.0
a000_i020,C224,DIRECT_PHYSICAL,10000.0,28.0,False,252.0,28.0
a000_i020,C224,DIRECT_PHYSICAL,30000.0,28.0,False,252.0,28.0
a000_i020,C224,DIRECT_PHYSICAL,100000.0,28.0,False,252.0,28.0
a000_i020,C224,DIRECT_PHYSICAL,1000000.0,32.0,False,252.0,32.0
a000_i020,C224,RESOLVED_PHYSICAL,1.0,-1.0,False,252.0,none
a000_i020,C224,RESOLVED_PHYSICAL,3.0,16.0,False,252.0,16.0
a000_i020,C224,RESOLVED_PHYSICAL,10.0,20.0,False,252.0,20.0
a000_i020,C224,RESOLVED_PHYSICAL,30.0,44.0,False,252.0,44.0
a000_i020,C224,RESOLVED_PHYSICAL,100.0,68.0,False,252.0,68.0
a000_i020,C224,RESOLVED_PHYSICAL,300.0,80.0,False,252.0,80.0
a000_i020,C224,RESOLVED_PHYSICAL,1000.0,92.0,False,252.0,92.0
a000_i020,C224,RESOLVED_PHYSICAL,3000.0,96.0,False,252.0,96.0
a000_i020,C224,RESOLVED_PHYSICAL,10000.0,100.0,False,252.0,100.0
a000_i020,C224,RESOLVED_PHYSICAL,30000.0,100.0,False,252.0,100.0
a000_i020,C224,RESOLVED_PHYSICAL,100000.0,104.0,False,252.0,104.0
a000_i020,C224,RESOLVED_PHYSICAL,1000000.0,104.0,False,252.0,104.0
a000_i020,C224,DELAY_ONLY,1.0,-1.0,False,252.0,none
a000_i020,C224,DELAY_ONLY,3.0,16.0,False,252.0,16.0
a000_i020,C224,DELAY_ONLY,10.0,20.0,False,252.0,20.0
a000_i020,C224,DELAY_ONLY,30.0,64.0,False,252.0,64.0
a000_i020,C224,DELAY_ONLY,100.0,80.0,False,252.0,80.0
a000_i020,C224,DELAY_ONLY,300.0,92.0,False,252.0,92.0
a000_i020,C224,DELAY_ONLY,1000.0,96.0,False,252.0,96.0
a000_i020,C224,DELAY_ONLY,3000.0,100.0,False,252.0,100.0
a000_i020,C224,DELAY_ONLY,10000.0,100.0,False,252.0,100.0
a000_i020,C224,DELAY_ONLY,30000.0,104.0,False,252.0,104.0
a000_i020,C224,DELAY_ONLY,100000.0,104.0,False,252.0,104.0
a000_i020,C224,DELAY_ONLY,1000000.0,104.0,False,252.0,104.0
a000_i020,C224,SPATIAL_ONLY,1.0,-1.0,False,252.0,none
a000_i020,C224,SPATIAL_ONLY,3.0,16.0,False,252.0,16.0
a000_i020,C224,SPATIAL_ONLY,10.0,20.0,False,252.0,20.0
a000_i020,C224,SPATIAL_ONLY,30.0,20.0,False,252.0,20.0
a000_i020,C224,SPATIAL_ONLY,100.0,24.0,False,252.0,24.0
a000_i020,C224,SPATIAL_ONLY,300.0,24.0,False,252.0,24.0
a000_i020,C224,SPATIAL_ONLY,1000.0,28.0,False,252.0,28.0
a000_i020,C224,SPATIAL_ONLY,3000.0,32.0,False,252.0,32.0
a000_i020,C224,SPATIAL_ONLY,10000.0,32.0,False,252.0,32.0
a000_i020,C224,SPATIAL_ONLY,30000.0,32.0,False,252.0,32.0
a000_i020,C224,SPATIAL_ONLY,100000.0,36.0,False,252.0,36.0
a000_i020,C224,SPATIAL_ONLY,1000000.0,36.0,False,252.0,36.0
a000_i020,C224,UNRESOLVED_IMAGE,1.0,-1.0,False,252.0,none
a000_i020,C224,UNRESOLVED_IMAGE,3.0,16.0,False,252.0,16.0
a000_i020,C224,UNRESOLVED_IMAGE,10.0,20.0,False,252.0,20.0
a000_i020,C224,UNRESOLVED_IMAGE,30.0,20.0,False,252.0,20.0
a000_i020,C224,UNRESOLVED_IMAGE,100.0,28.0,False,252.0,28.0
a000_i020,C224,UNRESOLVED_IMAGE,300.0,52.0,False,252.0,52.0
a000_i020,C224,UNRESOLVED_IMAGE,1000.0,72.0,False,252.0,72.0
a000_i020,C224,UNRESOLVED_IMAGE,3000.0,80.0,False,252.0,80.0
a000_i020,C224,UNRESOLVED_IMAGE,10000.0,84.0,False,252.0,84.0
a000_i020,C224,UNRESOLVED_IMAGE,30000.0,88.0,False,252.0,88.0
a000_i020,C224,UNRESOLVED_IMAGE,100000.0,96.0,False,252.0,96.0
a000_i020,C224,UNRESOLVED_IMAGE,1000000.0,100.0,False,252.0,100.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,1.0,36.0,False,252.0,36.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,3.0,60.0,False,252.0,60.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,10.0,88.0,False,252.0,88.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,30.0,96.0,False,252.0,96.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,100.0,100.0,False,252.0,100.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,300.0,100.0,False,252.0,100.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,1000.0,104.0,False,252.0,104.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,3000.0,104.0,False,252.0,104.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,10000.0,104.0,False,252.0,104.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,30000.0,104.0,False,252.0,104.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,100000.0,108.0,False,252.0,108.0
a000_i020,C224,EQUALIZED_ORDER_SENSITIVITY,1000000.0,108.0,False,252.0,108.0
