geometry,source_class,n_columns_checked,relative_difference,adjoint_relative
a000_i020,C224,48,0.0,2.0264704050585566e-14
a000_i020,C448_T,48,0.0,4.889504983165385e-13
a000_i020,C528_S,48,0.0,1.7517857990919446e-14
a000_i020,C1056_ST,48,0.0,5.4451070244968714e-14
a050_i050,C224,48,0.0,7.172906863508169e-14
a050_i050,C448_T,48,0.0,3.047662408856198e-14
a050_i050,C528_S,48,0.0,5.217156700395444e-14
a050_i050,C1056_ST,48,0.0,3.910111313008717e-14
a098_i075,C224,48,0.0,4.0473977862477437e-14
a098_i075,C448_T,48,0.0,9.199392832901698e-14
a098_i075,C528_S,48,0.0,6.797353077914066e-14
a098_i075,C1056_ST,48,0.0,3.239958041757987e-14
