spatial_channels,readout,max_order,rank_ref,smallest_nonzero_singular_value_ref,prior_subspace_rank_ref,prior_subspace_smallest_singular_value_ref,rank_got,smallest_nonzero_singular_value_got,prior_subspace_rank_got,prior_subspace_smallest_singular_value_got
identical,resolved,0,48,1.0,16,0.0,48,1.0,16,0.0
identical,resolved,1,56,0.5488116360940261,16,0.0,56,0.5488116360940261,16,0.0
identical,resolved,2,64,0.3011942119122019,16,0.0,64,0.3011942119122019,16,0.0
identical,resolved,3,72,0.1652988882215864,16,0.0,72,0.16529888822158642,16,0.0
identical,resolved,4,80,0.0907179532894124,16,0.0,80,0.0907179532894124,16,0.0
identical,resolved,5,88,0.0497870683678639,16,0.0,88,0.0497870683678639,16,0.0
identical,unresolved,0,48,1.0,16,0.0,48,1.0,16,0.0
identical,unresolved,1,48,0.558811072712042,16,0.0,48,0.558811072712042,16,0.0
identical,unresolved,2,48,0.6724141127590967,16,0.0,48,0.6724141127590967,16,0.0
identical,unresolved,3,48,0.6587793721116642,16,0.0,48,0.6587793721116642,16,0.0
identical,unresolved,4,48,0.6655791050772037,16,0.0,48,0.6655791050772037,16,0.0
identical,unresolved,5,48,0.6647962190193994,16,0.0,48,0.6647962190193994,16,0.0
diverse,resolved,0,48,1.0,16,0.0,48,1.0,16,0.0
diverse,resolved,1,96,0.2570217198630979,24,1.598505527140347e-05,96,0.2570217198630979,24,1.598505527140347e-05
diverse,resolved,2,144,0.003734908976926,24,0.0003108256771183,144,0.0037349089769260165,24,0.00031082567711834396
diverse,resolved,3,168,0.003734908976926,24,0.0015870734240465,168,0.003734908976926049,24,0.0015870734240465176
diverse,resolved,4,192,0.003734908976926,24,0.0074605167349137,192,0.0037349089769260764,24,0.007460516734913701
diverse,resolved,5,216,0.003734908976926,24,0.0187641625903567,216,0.003734908976926085,24,0.01876416259035676
diverse,unresolved,0,48,1.0,16,0.0,48,1.0,16,0.0
diverse,unresolved,1,48,0.7884469998939074,23,0.0,48,0.7884469998939074,23,0.0
diverse,unresolved,2,48,0.7608348568118096,23,0.0,48,0.7608348568118096,23,0.0
diverse,unresolved,3,48,0.7384929210210204,23,0.0,48,0.7384929210210204,23,0.0
diverse,unresolved,4,48,0.7458786864722062,23,0.0,48,0.7458786864722062,23,0.0
diverse,unresolved,5,48,0.7465699210570901,23,0.0,48,0.7465699210570901,23,0.0
