regime,family,split,index,relative_error,max_absolute_error,bias,min_estimate,n_clipped,clipped_fraction
oracle_known,circular_hotspot_trajectory,pilot,0,0.0,0.0,0.0,0.4157400306869983,,
oracle_known,circular_hotspot_trajectory,pilot,1,0.0,0.0,0.0,0.26123182042692805,,
oracle_known,circular_hotspot_trajectory,pilot,2,0.0,0.0,0.0,0.24109457814898844,,
oracle_known,circular_hotspot_trajectory,pilot,3,0.0,0.0,0.0,0.23705252147918213,,
oracle_known,circular_hotspot_trajectory,pilot,4,0.0,0.0,0.0,0.3583579715283512,,
oracle_known,circular_hotspot_trajectory,pilot,5,0.0,0.0,0.0,0.3216311397523351,,
oracle_known,circular_hotspot_trajectory,pilot,6,0.0,0.0,0.0,0.20957098907379737,,
oracle_known,circular_hotspot_trajectory,pilot,7,0.0,0.0,0.0,0.28535549274385374,,
oracle_known,circular_hotspot_trajectory,selection,0,0.0,0.0,0.0,0.26762685010903714,,
oracle_known,circular_hotspot_trajectory,selection,1,0.0,0.0,0.0,0.1911453375144786,,
oracle_known,circular_hotspot_trajectory,selection,2,0.0,0.0,0.0,0.40659506927663447,,
oracle_known,circular_hotspot_trajectory,selection,3,0.0,0.0,0.0,0.4079184902384311,,
oracle_known,circular_hotspot_trajectory,selection,4,0.0,0.0,0.0,0.21741460592922118,,
oracle_known,circular_hotspot_trajectory,selection,5,0.0,0.0,0.0,0.19538602860095888,,
oracle_known,circular_hotspot_trajectory,selection,6,0.0,0.0,0.0,0.1930786552210031,,
oracle_known,circular_hotspot_trajectory,selection,7,0.0,0.0,0.0,0.3199819310126256,,
oracle_known,flare_birth_motion_decay,pilot,0,0.0,0.0,0.0,0.3242807816743422,,
oracle_known,flare_birth_motion_decay,pilot,1,0.0,0.0,0.0,0.30898183716128175,,
oracle_known,flare_birth_motion_decay,pilot,2,0.0,0.0,0.0,0.4382637987066992,,
oracle_known,flare_birth_motion_decay,pilot,3,0.0,0.0,0.0,0.20555538986329192,,
oracle_known,flare_birth_motion_decay,pilot,4,0.0,0.0,0.0,0.46880811931214217,,
oracle_known,flare_birth_motion_decay,pilot,5,0.0,0.0,0.0,0.3565581861086982,,
oracle_known,flare_birth_motion_decay,pilot,6,0.0,0.0,0.0,0.21202727136184019,,
oracle_known,flare_birth_motion_decay,pilot,7,0.0,0.0,0.0,0.31890986293260715,,
oracle_known,flare_birth_motion_decay,selection,0,0.0,0.0,0.0,0.2789979493082544,,
oracle_known,flare_birth_motion_decay,selection,1,0.0,0.0,0.0,0.24338531953355202,,
oracle_known,flare_birth_motion_decay,selection,2,0.0,0.0,0.0,0.25436432475205,,
oracle_known,flare_birth_motion_decay,selection,3,0.0,0.0,0.0,0.22992696503099846,,
oracle_known,flare_birth_motion_decay,selection,4,0.0,0.0,0.0,0.329300117819044,,
oracle_known,flare_birth_motion_decay,selection,5,0.0,0.0,0.0,0.2780146345801433,,
oracle_known,flare_birth_motion_decay,selection,6,0.0,0.0,0.0,0.2671969049229662,,
oracle_known,flare_birth_motion_decay,selection,7,0.0,0.0,0.0,0.22835922457374558,,
oracle_known,m1_rotating_crescent,pilot,0,0.0,0.0,0.0,0.23914917825806792,,
oracle_known,m1_rotating_crescent,pilot,1,0.0,0.0,0.0,0.29733549058340447,,
oracle_known,m1_rotating_crescent,pilot,2,0.0,0.0,0.0,0.3729762494960583,,
oracle_known,m1_rotating_crescent,pilot,3,0.0,0.0,0.0,0.18924067862599736,,
oracle_known,m1_rotating_crescent,pilot,4,0.0,0.0,0.0,0.2569251696174152,,
oracle_known,m1_rotating_crescent,pilot,5,0.0,0.0,0.0,0.26129121366083163,,
oracle_known,m1_rotating_crescent,pilot,6,0.0,0.0,0.0,0.33605402945610385,,
oracle_known,m1_rotating_crescent,pilot,7,0.0,0.0,0.0,0.38551891336617394,,
oracle_known,m1_rotating_crescent,selection,0,0.0,0.0,0.0,0.40531336265298634,,
oracle_known,m1_rotating_crescent,selection,1,0.0,0.0,0.0,0.2950024777860056,,
oracle_known,m1_rotating_crescent,selection,2,0.0,0.0,0.0,0.256756922325512,,
oracle_known,m1_rotating_crescent,selection,3,0.0,0.0,0.0,0.23366728291621447,,
oracle_known,m1_rotating_crescent,selection,4,0.0,0.0,0.0,0.22713062589100036,,
oracle_known,m1_rotating_crescent,selection,5,0.0,0.0,0.0,0.33620369165360975,,
oracle_known,m1_rotating_crescent,selection,6,0.0,0.0,0.0,0.41896525356045844,,
oracle_known,m1_rotating_crescent,selection,7,0.0,0.0,0.0,0.317411651094615,,
oracle_known,m2_structural_mode,pilot,0,0.0,0.0,0.0,0.2660374473848561,,
oracle_known,m2_structural_mode,pilot,1,0.0,0.0,0.0,0.30957239553706895,,
