regime,arm,estimator,snr0,family,index,selected_hyperparameter,old_band_feature_error,radial_error_old,angular_error_old_rad,t_birth_error,tau_decay_error
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,0.01,0.7254582475005986,0.4967049189368419,1.6339493624112342,4.3,0.2
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,0.01,0.7789920879173826,0.6756141952720489,2.078958117930012,2.8,1.3
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,2,0.01,0.6164906026683492,0.5005607977904284,0.603861338149378,3.7,4.4
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,3,0.01,0.6943657785244521,0.34503497025290797,1.7062161735128378,3.2,3.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,4,0.01,0.7353040575910834,0.5123614888757265,1.8746680891030134,3.9,0.1
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,5,0.01,0.7048427673780345,0.4967644232733833,1.3749174123811756,4.0,2.1
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,6,0.01,0.7799611246116205,0.4722566396958723,2.153521570149073,3.8,5.2
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,7,0.01,0.725800800555363,0.5004080595266167,2.1169350358782997,3.4,5.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,0,0.01,0.4923826978578289,0.189019552320642,0.9127306986286052,2.2,1.4
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,1,0.01,0.4910660138974201,0.5135784396598979,1.4691940090394806,1.4,0.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,2,0.01,0.6723551679564442,0.7180502263214052,2.0019393286152685,1.5,1.6
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,3,0.01,0.5034490848420876,0.4770758858374144,2.0585980237346124,0.2,0.6
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,4,0.01,0.36009126668639735,0.13846308791273915,1.6158847499850166,0.8,0.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,5,0.01,0.3193826426080184,0.4990040606702381,0.6350287127586063,0.1,0.9
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,6,0.01,0.4205987224590452,0.524979997253375,0.9328797961143711,1.0,1.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,7,0.01,0.5111692591597464,0.46874999999999994,0.719984854395996,1.3,0.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,0,0.01,0.7158112421058621,0.421455372292193,1.4075783764496925,3.2,2.4
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,1,0.01,0.6484052092877632,0.48513586022846017,0.8180541015559184,3.3,5.5
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,2,0.01,0.7642070900202553,0.49191212351851,2.3122985031331265,2.7,2.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,3,0.01,0.6566275312737124,0.48598649098157387,1.559092431560668,2.8,1.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,4,0.01,0.865314955784135,0.8787847914951253,2.0364617379937986,2.7,0.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,5,0.01,0.6092197736151155,0.4817592908467266,0.7495317714528974,2.6,2.9
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,6,0.01,0.6351686481726351,0.2945353022747205,0.975498638617021,3.9,3.4
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,7,0.01,0.6541442207006942,0.40859052734244306,1.6066917373746723,3.6,3.6
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,0,0.01,0.6997092438429386,0.48117542540340896,1.0041112057053365,2.9,2.6
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,1,0.01,0.6303414768665215,0.5028830962854486,0.9806495497706524,3.6,1.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,2,0.01,0.6364639456815242,0.5006263774514639,1.0714930232794393,2.7,0.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,3,0.01,0.6859160078609281,0.2766388470733935,2.1787549619003874,3.0,3.5
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,4,0.01,0.6446006269437323,0.4978438138061932,1.0189266897547775,3.2,3.8
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,5,0.01,0.6347975078028771,0.47912789105901465,0.9673827720989973,2.6,1.6
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,6,0.01,0.6458623510927626,0.4810704506750262,1.0764575028006802,2.6,1.9
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,7,0.01,0.6623430324503949,0.3984176975139113,1.3470552458127383,2.8,0.5
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,0,0.01,0.7753986549066926,0.5292104164243708,2.114229138401583,4.0,2.3
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,1,0.01,0.7516216917125462,0.5025172395481461,1.6103936630560232,3.7,3.2
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,2,0.01,0.7912307812736386,0.5307114658539854,1.7867529396669422,3.8,3.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,3,0.01,0.7068756592079002,0.5299378010517601,1.1744086003560943,4.1,2.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,4,0.01,0.7367464567000683,0.4714939641675285,1.548826775176179,3.6,2.5
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,5,0.01,0.7043041961149326,0.475436649522618,1.5260791044629434,4.4,2.7
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,6,0.01,0.7750286231754383,0.5305096764693552,1.7959057327588188,3.6,0.6
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,7,0.01,0.7070412211234564,0.5290389802816956,1.2493252838865336,3.9,2.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,0,0.01,0.7657249909089971,0.5151602138147464,2.419878243686751,3.7,1.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,1,0.01,0.6929509844991049,0.49452956380958,0.6352095170908301,3.8,2.5
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,2,0.01,0.8018330977736549,0.5172773181249275,1.2384814096422074,2.7,0.9
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,3,0.01,0.6718633602301216,0.4859020618172175,0.8394978835733654,4.3,4.6
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,4,0.01,0.6570993100248946,0.4806274890532065,1.4386506348554708,2.8,0.3
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,5,0.01,0.8008127097540324,0.814149851176285,1.5618603165619596,3.2,1.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,6,0.01,0.786795363977832,0.4872723470669965,2.650049315456958,3.3,3.0
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,7,0.01,0.6678274263360384,0.5030435626365211,1.3986497885644262,3.7,4.9
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,0,0.01,0.7189958363925759,0.4710673231434381,1.507708556494976,4.3,0.2
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,1,0.01,0.7859999189264939,0.6751220408577959,2.0868083600630642,2.8,1.3
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,2,0.01,0.616568438746521,0.5005607977904284,0.6477312821688483,3.7,4.4
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,3,0.01,0.6904335296032689,0.3601243667991015,1.7016397652765256,3.2,3.7
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,4,0.01,0.7348994817443648,0.5123614888757265,1.8685727841952506,3.9,0.1
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,5,0.01,0.7073045512050503,0.5164368569676028,1.4116395130248265,4.0,2.1
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,6,0.01,0.7826757125706529,0.49707129899134717,2.09770862342388,3.8,5.2
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,7,0.01,0.7226714584567704,0.5004080595266167,2.04376806528544,3.5,5.0
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,0,0.01,0.5087979975050355,0.2109948617868831,1.0278868444694498,2.2,1.4
oracle_known,DIRECT_PHYSICAL,TSVD,1000.0,flare_birth_motion_decay,1,0.01,0.5352596824435687,0.4981445870132032,1.8889514989187437,1.7,0.2
