regime,arm,estimator,snr0,hyperparameter,selection_error
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,1.0,0.7117987516124584
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.31622776601683794,0.6877973343877722
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.1,0.7003051767295224
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.03162277660168379,0.6890330466098945
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.01,0.6815224681450385
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.0031622776601683794,0.6864699721789452
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.001,0.8688101265328086
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.00031622776601683794,0.9288803541971027
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,0.0001,1.1976852548350154
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,3.1622776601683795e-05,3.1778270179546184
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,1e-05,3.9979606756528985
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,3.162277660168379e-06,39.517550073023635
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,1e-06,97.1281856187813
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,3.162277660168379e-07,170.88904249288558
oracle_known,DIRECT_PHYSICAL,TSVD,100.0,1e-07,381.7160455265359
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,0.6968088759775668
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.31622776601683794,0.6957626308474998
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.1,0.6972217419296545
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.03162277660168379,0.6938312177783637
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.01,0.6919069863767183
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.0031622776601683794,0.6880046978292809
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.001,0.6817903605638541
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.00031622776601683794,0.6765356703776031
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.0001,0.6799726537643654
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,0.6768757631790541
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-05,0.6719053679813922
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-06,0.6881628713131542
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-06,0.7247608644966981
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-07,0.7781519793649739
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-07,0.8510346316811194
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.162277660168379e-08,1.0092026224506327
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-08,1.315646095381774
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-09,1.9372775291531703
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-09,2.918139189943209
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-10,4.763701384944169
oracle_known,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1e-10,9.362833895888551
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,1.0,0.7193781519922101
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.31622776601683794,0.7092944863687453
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.1,0.6991937518837076
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.03162277660168379,0.6248792331560403
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.01,0.6040747708141785
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.0031622776601683794,0.5393011153869315
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.001,0.5927631002863194
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.00031622776601683794,1.001083554818346
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,0.0001,2.889619975426317
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,3.1622776601683795e-05,7.045546713472935
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,1e-05,22.293827175419995
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,3.162277660168379e-06,50.07329834048136
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,1e-06,136.15522976006397
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,3.162277660168379e-07,352.84185949911335
oracle_known,RESOLVED_PHYSICAL,TSVD,100.0,1e-07,677.3184668900432
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,0.6888281383078749
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.31622776601683794,0.6862101943583379
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.1,0.6815047169034485
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.03162277660168379,0.6722598826139009
oracle_known,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.01,0.6548730819831635
