class,arm,estimator,snr0,epsilon,quantile,L_stable_morphology_M,mean_reach_M,fraction_nonzero,n_realizations
L448_contrast,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,1.625,0.10833333333333334,240
L448_contrast,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,1.6333333333333333,0.1,240
L448_contrast,DIRECT_PHYSICAL,TSVD,100.0,0.25,0.95,0.0,2.325,0.125,240
L448_contrast,DIRECT_PHYSICAL,TSVD,1000.0,0.25,0.95,0.0,2.2666666666666666,0.11666666666666667,240
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,0.6916666666666667,0.0625,240
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,0.5333333333333333,0.058333333333333334,240
L448_contrast,RESOLVED_PHYSICAL,TSVD,100.0,0.25,0.95,0.0,1.1166666666666667,0.125,240
L448_contrast,RESOLVED_PHYSICAL,TSVD,1000.0,0.25,0.95,0.0,1.2416666666666667,0.13333333333333333,240
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,1.0916666666666666,0.1125,240
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,1.5666666666666667,0.11666666666666667,240
L448_contrast,TOTAL_FLUX,TSVD,100.0,0.25,0.95,0.0,1.2916666666666667,0.11666666666666667,240
L448_contrast,TOTAL_FLUX,TSVD,1000.0,0.25,0.95,0.0,1.575,0.125,240
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,1.65,0.10416666666666667,240
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,1.6416666666666666,0.1,240
L448_contrast,UNRESOLVED_IMAGE,TSVD,100.0,0.25,0.95,0.0,2.316666666666667,0.12916666666666668,240
L448_contrast,UNRESOLVED_IMAGE,TSVD,1000.0,0.25,0.95,0.0,2.2666666666666666,0.11666666666666667,240
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,4.2,0.19583333333333333,240
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,3.675,0.16666666666666666,240
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,0.25,0.95,0.0,2.433333333333333,0.1375,240
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,0.25,0.95,0.0,2.158333333333333,0.125,240
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,3.9833333333333334,0.17916666666666667,240
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,4.308333333333334,0.225,240
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,100.0,0.25,0.95,0.0,2.1416666666666666,0.13333333333333333,240
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,1000.0,0.25,0.95,0.0,2.6,0.1875,240
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,1.6333333333333333,0.12083333333333333,240
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,1.725,0.12083333333333333,240
L896_radial_enriched,TOTAL_FLUX,TSVD,100.0,0.25,0.95,0.0,1.6916666666666667,0.12083333333333333,240
L896_radial_enriched,TOTAL_FLUX,TSVD,1000.0,0.25,0.95,0.0,1.4833333333333334,0.11666666666666667,240
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,0.25,0.95,0.0,3.908333333333333,0.1875,240
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,1000.0,0.25,0.95,0.0,3.7333333333333334,0.16666666666666666,240
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,100.0,0.25,0.95,0.0,0.2833333333333333,0.029166666666666667,240
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,1000.0,0.25,0.95,0.0,0.7916666666666666,0.07916666666666666,240
