family,index,truth_seed,zero_mean_max_abs,min_total,n_ambiguous,n_single_resolved,n_multi_resolved,n_blended,n_dead,hash_dj,hash_labels
circular_hotspot_trajectory,0,654775756836664526,1.3383120340435747e-18,0.23287514655375807,0,61,0,0,0,603717d09186cac10725e1e4e3f942098fea8676f748de71048aa964d95a3a1b,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
circular_hotspot_trajectory,1,1884166584740864296,2.979861714569655e-18,0.20092796856835235,0,61,0,0,0,1634d94e0b5475ebe80de4f4a6c7a48a73e2f3cca3eae85ebec2486af905f9ed,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
circular_hotspot_trajectory,2,4724707177319507681,2.0277968757867484e-18,0.18337962692000614,0,61,0,0,0,4447328dc698694bd4503cca515b1399d0afb56d335857b5e9e4044c63759da4,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
circular_hotspot_trajectory,3,2171469788712054667,1.2472477430258317e-18,0.17491227468783802,0,61,0,0,0,41f69d9c763d9d15122dc4a65f65d4312e4ef3468d04f044276712676ba4f00e,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
circular_hotspot_trajectory,4,3226135253826820451,1.788933591063431e-18,0.20240676542984343,0,61,0,0,0,520813bdec6ea767d042fb8e04ec2bc9cc9acb5747ff8f805a5190c4df7da62a,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
circular_hotspot_trajectory,5,8889888398479588776,3.76675551648405e-18,0.3219786481706273,0,61,0,0,0,21a83e5c08a01389c476740c2adf66fe87328d4bc82a486216843660a96ad90b,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
circular_hotspot_trajectory,6,1698474067815147755,1.0570971181733668e-18,0.1496781892418819,0,61,0,0,0,b8f68bc9c304857d847aceb13a2085e335a0cf7c1b93e6680460b9c9e043e563,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
circular_hotspot_trajectory,7,7164540165807175515,1.654043586137368e-18,0.3698174752650783,0,61,0,0,0,9313b172f1d8c544554ae54c5f3dd9c18208f3d6cdbd7519f4493d1016ec9da8,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
circular_hotspot_trajectory,8,71891959096862941,6.776263578034403e-19,0.25034338301962705,0,61,0,0,0,a3fdce72735b60e669d3aa070e98e10cb842eb3d58386a96186492f2159c246f,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
circular_hotspot_trajectory,9,8302654725452730924,4.5561902232808815e-18,0.3475219834457622,0,61,0,0,0,95472441cf27b3514f11ec50853ca5ca447670220258056b481054cfbda9b950,58ae5b752dfa8badcfb13dfac1575c69eabe9099268ce6bb1dfa924f1c2df5be
