class,r_centre_M,input_width_M,output_width_M,ratio,minimum_representable_width_M
L448_contrast,6.0,8.0,6.67817271150382,0.8347715889379775,
L448_contrast,6.0,6.0,5.54227496964611,0.9237124949410184,
L448_contrast,6.0,4.0,6.075945424920027,1.5189863562300068,
L448_contrast,6.0,3.0,7.155839358570089,2.3852797861900297,
L448_contrast,6.0,2.0,8.315528426920027,4.1577642134600135,
L448_contrast,6.0,1.5,8.663454603386171,5.775636402257447,
L448_contrast,6.0,1.0,8.640449312533338,8.640449312533338,
L448_contrast,6.0,0.75,8.534935069857275,11.379913426476366,
L448_contrast,6.0,0.5,8.437201542478231,16.874403084956462,
L448_contrast,6.0,,,,3.0
L448_contrast,20.0,8.0,9.930739653312711,1.241342456664089,
L448_contrast,20.0,6.0,10.214211565926606,1.7023685943211009,
L448_contrast,20.0,4.0,10.673028429947935,2.668257107486984,
L448_contrast,20.0,3.0,10.800674396062943,3.600224798687648,
L448_contrast,20.0,2.0,10.874844073510245,5.437422036755122,
L448_contrast,20.0,1.5,10.897857025901413,7.265238017267609,
L448_contrast,20.0,1.0,10.913687003670834,10.913687003670834,
L448_contrast,20.0,0.75,10.919065854546087,14.558754472728117,
L448_contrast,20.0,0.5,10.922427077062128,21.844854154124256,
L448_contrast,20.0,,,,4.0
L448_contrast,45.0,8.0,14.560438005113507,1.8200547506391884,
L448_contrast,45.0,6.0,15.574426001421187,2.5957376669035312,
L448_contrast,45.0,4.0,16.1744034667644,4.0436008666911,
L448_contrast,45.0,3.0,16.334077120685635,5.444692373561878,
L448_contrast,45.0,2.0,16.391951485449834,8.195975742724917,
L448_contrast,45.0,1.5,16.397405744542144,10.931603829694764,
L448_contrast,45.0,1.0,16.40130296713498,16.40130296713498,
L448_contrast,45.0,0.75,16.41151310749567,21.88201747666089,
L448_contrast,45.0,0.5,16.41522110763482,32.83044221526964,
L448_contrast,45.0,,,,6.0
L896_radial_enriched,6.0,8.0,4.812405258529624,0.601550657316203,
L896_radial_enriched,6.0,6.0,4.645478950439129,0.7742464917398548,
L896_radial_enriched,6.0,4.0,3.260313740051724,0.815078435012931,
L896_radial_enriched,6.0,3.0,4.111244424627998,1.3704148082093326,
L896_radial_enriched,6.0,2.0,5.949238223691671,2.9746191118458354,
L896_radial_enriched,6.0,1.5,6.9047089794081975,4.603139319605465,
L896_radial_enriched,6.0,1.0,7.805884339021918,7.805884339021918,
L896_radial_enriched,6.0,0.75,8.194579297911261,10.926105730548349,
L896_radial_enriched,6.0,0.5,8.473832718417025,16.94766543683405,
L896_radial_enriched,6.0,,,,2.0
L896_radial_enriched,20.0,8.0,8.506475787106806,1.0633094733883508,
L896_radial_enriched,20.0,6.0,8.187152985187671,1.3645254975312786,
L896_radial_enriched,20.0,4.0,8.984766802735317,2.2461917006838292,
L896_radial_enriched,20.0,3.0,9.360186977663378,3.1200623258877926,
L896_radial_enriched,20.0,2.0,9.45697941938995,4.728489709694975,
L896_radial_enriched,20.0,1.5,9.445310722418084,6.296873814945389,
L896_radial_enriched,20.0,1.0,9.421270720762791,9.421270720762791,
L896_radial_enriched,20.0,0.75,9.413067414897462,12.550756553196615,
L896_radial_enriched,20.0,0.5,9.410486758940396,18.82097351788079,
L896_radial_enriched,20.0,,,,4.0
L896_radial_enriched,45.0,8.0,10.578895680301821,1.3223619600377277,
L896_radial_enriched,45.0,6.0,11.701833411885199,1.950305568647533,
L896_radial_enriched,45.0,4.0,12.187504406170564,3.046876101542641,
L896_radial_enriched,45.0,3.0,12.413879595004884,4.137959865001628,
L896_radial_enriched,45.0,2.0,12.84377567253899,6.421887836269495,
L896_radial_enriched,45.0,1.5,13.047291765645674,8.698194510430449,
L896_radial_enriched,45.0,1.0,13.217679837353913,13.217679837353913,
L896_radial_enriched,45.0,0.75,13.24706372460671,17.662751632808945,
L896_radial_enriched,45.0,0.5,13.245703946094865,26.49140789218973,
L896_radial_enriched,45.0,,,,4.0
