stratum,family,class,n_states,n_merged,merger_rate,carries_claim,matched_position_cost_median,unbalanced_cost_normalized_median
STABLE_MULTI_RESOLVED,m2_structural_mode,L448_contrast,1464,0,0.0,True,0.5952380952380962,0.17369933431906778
STABLE_MULTI_RESOLVED,m2_structural_mode,L896_radial_enriched,1464,0,0.0,True,0.23809523809523656,0.021712416789883383
STABLE_MULTI_RESOLVED,two_hotspot_trajectories,L448_contrast,1143,342,0.2992125984251969,True,1.084411973691736,1.0325686251848252
STABLE_MULTI_RESOLVED,two_hotspot_trajectories,L896_radial_enriched,1143,156,0.13648293963254593,True,0.29166666666666863,0.0353789870465392
AMBIGUOUS_FINE_MULTI,two_hotspot_trajectories,L448_contrast,195,134,0.6871794871794872,False,1.7768031625529166,1.0716530314771902
AMBIGUOUS_FINE_MULTI,two_hotspot_trajectories,L896_radial_enriched,195,195,1.0,False,2.249999999999999,1.1025911693321995
ALL_FINEST_MULTI,m2_structural_mode,L448_contrast,1464,0,0.0,False,0.5952380952380962,0.17369933431906778
ALL_FINEST_MULTI,m2_structural_mode,L896_radial_enriched,1464,0,0.0,False,0.23809523809523656,0.021712416789883383
ALL_FINEST_MULTI,two_hotspot_trajectories,L448_contrast,1338,476,0.35575485799701045,False,1.1904761904761898,1.043424833579767
ALL_FINEST_MULTI,two_hotspot_trajectories,L896_radial_enriched,1338,351,0.2623318385650224,False,0.3571428571428561,0.04233921274027288
