class,arm,estimator,snr0,family,index,hyperparameter,PHYSICAL_END_TO_END_all_state_error,CLASS_CONDITIONAL_all_state_error,stable_multi_cost_normalized,n_stable_multi_states
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,0,0.1,0.7425537847313743,0.7425537847313743,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,0.1,0.7418801947100553,0.741675422383477,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,2,0.1,0.8984649393623543,0.8984649393623543,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,3,0.1,0.9316649299849525,0.9316649299849525,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,4,0.1,0.8460193759590161,0.8417030095909435,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,5,0.1,0.7782245937500056,0.7782245937500056,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,0,0.1,0.8272265508608996,0.823647947157379,1.6624672075003735,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,1,0.1,0.5101621921246596,0.5130352261863284,1.350298842518761,132
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,2,0.1,0.7806034771391908,0.7736093212892265,1.630636351709856,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,3,0.1,0.8373744679163291,0.8370007295945359,1.6747489358326582,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,4,0.1,0.5013697256862072,0.4849418857670721,1.3436740712256146,92
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,two_hotspot_trajectories,5,0.1,0.7188563356116769,0.7188563356116768,0.7741905849061291,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,0,0.1,0.7587079009730988,0.7587079009730988,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,1,0.1,0.6655003700627802,0.6588725527454657,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,2,0.1,0.6914809356287335,0.6914809356287335,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,3,0.1,0.5770217060284389,0.5770217060284389,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,4,0.1,0.5556433858499847,0.5556433858499847,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m1_rotating_crescent,5,0.1,0.8754537999038894,0.8754537999038894,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,0,0.1,0.6434085308725788,0.6434085308725788,1.2868170617451575,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,1,0.1,0.766750210409574,0.766750210409574,1.727974561260115,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,2,0.1,0.8241337909782589,0.8215267957761312,1.7206110499828755,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,3,0.1,0.680800880190843,0.680800880190843,1.3871220475297776,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,4,0.1,0.6284925815273517,0.6284925815273517,1.2569851630547033,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,m2_structural_mode,5,0.1,0.7824983461182696,0.7824983461182696,1.5969045872648744,244
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,0,0.1,0.760340022773504,0.7481902610502777,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,1,0.1,0.8801922503655524,0.8618865521023106,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,2,0.1,0.6416667952742753,0.6319416093456562,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,3,0.1,0.741437006544267,0.7389152662030221,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,4,0.1,0.7321777230048796,0.7277839164847292,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,flare_birth_motion_decay,5,0.1,0.6274570695597744,0.5649112234227955,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,0,0.1,0.8951606157817348,0.894416685569724,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,1,0.1,0.895266466138973,0.9000590430798063,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,2,0.1,0.8736201016200636,0.8732948163916212,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,3,0.1,0.9085764659867412,0.9083133361782535,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,4,0.1,0.8958999400888156,0.8967127860969771,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,plunging_feature,5,0.1,0.9320241118434688,0.9344007516570323,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,0,0.1,0.7309792881755934,0.7309792881755934,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,1,0.1,0.7480681193494142,0.7478633470228356,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,2,0.1,0.9018927131306809,0.9018927131306809,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,3,0.1,0.972840489885318,0.972840489885318,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,4,0.1,0.8435058317981077,0.8392120706307592,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,circular_hotspot_trajectory,5,0.1,0.779745340691709,0.779745340691709,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,0,0.1,0.8277709502484746,0.824104021218243,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,1,0.1,0.508734772076211,0.5119882589756375,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,2,0.1,0.7833657382657225,0.7764134145023184,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,3,0.1,0.8374518716571616,0.8370781333353685,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,4,0.1,0.4911187455623756,0.4743234615895125,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,5,0.1,0.7145711057950426,0.7149448441168357,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,0,0.1,0.7578234626798368,0.7578234626798368,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,1,0.1,0.6657313530485466,0.6592462910672588,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,2,0.1,0.6882965515016761,0.6882965515016761,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,3,0.1,0.5708741650448323,0.5708741650448323,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,4,0.1,0.5523309439590576,0.5523309439590576,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,5,0.1,0.8766641958217215,0.8766641958217215,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,0,0.1,0.643501965453027,0.643501965453027,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,1,0.1,0.7574444284507675,0.7574444284507675,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,2,0.1,0.8266607669403148,0.8238519140183858,,0
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,3,0.1,0.6807621783204266,0.6807621783204266,,0
