class,arm,estimator,selected_hyperparameter,selection_error,n_grid,at_max_regularization_end
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,0.1,0.7704521038621652,15,False
L896_radial_enriched,DIRECT_PHYSICAL,RIDGE_IDENTITY,0.03162277660168379,0.734286688794366,21,False
L896_radial_enriched,RESOLVED_PHYSICAL,TSVD,0.03162277660168379,0.7111795283633477,15,False
L896_radial_enriched,RESOLVED_PHYSICAL,RIDGE_IDENTITY,0.001,0.6679386269666077,21,False
L896_radial_enriched,UNRESOLVED_IMAGE,TSVD,0.0031622776601683794,0.7581693482378927,15,False
L896_radial_enriched,UNRESOLVED_IMAGE,RIDGE_IDENTITY,0.03162277660168379,0.7186899520694109,21,False
L896_radial_enriched,TOTAL_FLUX,TSVD,0.03162277660168379,0.7177405294771098,15,False
L896_radial_enriched,TOTAL_FLUX,RIDGE_IDENTITY,0.0001,0.7183894796242496,21,False
L448_contrast,DIRECT_PHYSICAL,TSVD,0.31622776601683794,0.7968743501320401,15,False
L448_contrast,DIRECT_PHYSICAL,RIDGE_IDENTITY,0.03162277660168379,0.7708129504971706,21,False
L448_contrast,RESOLVED_PHYSICAL,TSVD,0.03162277660168379,0.7561322904341585,15,False
L448_contrast,RESOLVED_PHYSICAL,RIDGE_IDENTITY,0.001,0.7124744795633017,21,False
L448_contrast,UNRESOLVED_IMAGE,TSVD,0.31622776601683794,0.79326924263946,15,False
L448_contrast,UNRESOLVED_IMAGE,RIDGE_IDENTITY,0.03162277660168379,0.7551612590487811,21,False
L448_contrast,TOTAL_FLUX,TSVD,0.01,0.7415152709343531,15,False
L448_contrast,TOTAL_FLUX,RIDGE_IDENTITY,0.00031622776601683794,0.7405803187911005,21,False
