family,split,index,truth_seed,zero_mean_max_abs,min_total,n_single_resolved,n_multi_resolved,n_blended,n_dead,n_ambiguous
circular_hotspot_trajectory,selection,0,7921639678043859868,1.5178830419845772e-18,0.4767763657857122,61,0,0,0,0
circular_hotspot_trajectory,selection,1,5145207784524152792,5.5599242657772844e-18,0.3054896853690887,61,0,0,0,0
circular_hotspot_trajectory,selection,2,4737668437138984722,2.60208521396524e-18,0.43048279332690864,61,0,0,0,0
circular_hotspot_trajectory,selection,3,2402739253667382720,1.0842021805633908e-18,0.2338533847294948,61,0,0,0,0
circular_hotspot_trajectory,selection,4,3631533248272912802,8.408072550919812e-18,0.4919397786915761,61,0,0,0,0
circular_hotspot_trajectory,selection,5,7232447355073318055,1.8295911660692325e-18,0.39857850913055903,61,0,0,0,0
circular_hotspot_trajectory,pilot,0,2974852023549473048,1.1926091548442552e-18,0.24718355134872566,61,0,0,0,0
circular_hotspot_trajectory,pilot,1,2319787202052048237,1.8464259458770353e-18,0.28793773159178193,61,0,0,0,0
circular_hotspot_trajectory,pilot,2,1489322932058958570,1.0028870095491024e-18,0.34308949014649504,61,0,0,0,0
circular_hotspot_trajectory,pilot,3,946158585923463253,1.3976043629695784e-18,0.17799904665604135,61,0,0,0,0
circular_hotspot_trajectory,pilot,4,7987268350317361623,2.0600900068408652e-18,0.22136569199438882,61,0,0,0,0
circular_hotspot_trajectory,pilot,5,860549322121279231,1.4094628242311558e-18,0.29158900537174026,61,0,0,0,0
two_hotspot_trajectories,selection,0,7534089303561017031,9.892947777236634e-19,0.20019201175203508,0,0,61,0,0
two_hotspot_trajectories,selection,1,1060890524262021011,8.682299467593392e-18,0.31900460127350294,0,61,0,0,0
two_hotspot_trajectories,selection,2,3878015649627334241,6.004503239341815e-18,0.23706975024114815,0,61,0,0,0
two_hotspot_trajectories,selection,3,7859402038614419779,7.16166356903511e-18,0.22422568314276972,0,61,0,0,0
two_hotspot_trajectories,selection,4,1712066016178334558,1.6542552848276077e-18,0.38883068008683397,0,0,61,0,0
two_hotspot_trajectories,selection,5,4638046119281458933,2.868053559403061e-18,0.1933121568378878,0,61,0,0,0
two_hotspot_trajectories,pilot,0,652675870518368304,1.6576434777766658e-18,0.18097342549845657,0,61,0,0,0
two_hotspot_trajectories,pilot,1,107388428469467369,1.1587400585476325e-17,0.3549112630486342,0,33,27,0,1
two_hotspot_trajectories,pilot,2,4510140836611021081,2.684565047204098e-18,0.22481189446305933,0,61,0,0,0
two_hotspot_trajectories,pilot,3,3489768880682289630,8.971984735554363e-18,0.33725707016733175,0,61,0,0,0
two_hotspot_trajectories,pilot,4,2423325656200763653,1.0388550117034637e-18,0.16999155088688836,0,23,0,0,38
two_hotspot_trajectories,pilot,5,5529606053484744351,4.6559283528200754e-18,0.31188704058192457,0,61,0,0,0
m1_rotating_crescent,selection,0,1925924128823387479,1.3628238997535784e-18,0.2268629832208518,61,0,0,0,0
m1_rotating_crescent,selection,1,6106835915262757816,1.9982692937440162e-18,0.1394286724913443,61,0,0,0,0
m1_rotating_crescent,selection,2,1653413835606751989,1.7037494344137231e-18,0.19447361076202224,61,0,0,0,0
m1_rotating_crescent,selection,3,4168614174050344368,1.6998528497710159e-18,0.1180304927896123,61,0,0,0,0
m1_rotating_crescent,selection,4,4970216697309685399,4.805249814392803e-18,0.12436452165875395,61,0,0,0,0
m1_rotating_crescent,selection,5,8731755245696744885,1.9504099913989384e-18,0.26723301733752175,61,0,0,0,0
m1_rotating_crescent,pilot,0,8078701217142305324,3.045797977676861e-18,0.08701096158097932,61,0,0,0,0
m1_rotating_crescent,pilot,1,3953032957060058338,4.795185863304603e-18,0.08009308948443511,61,0,0,0,0
m1_rotating_crescent,pilot,2,6231646676237890607,8.915276541480177e-18,0.11173828115986623,61,0,0,0,0
m1_rotating_crescent,pilot,3,5998475981591188799,3.878008000105806e-18,0.16347093560352643,61,0,0,0,0
m1_rotating_crescent,pilot,4,2106810622161486542,2.5431370147922317e-18,0.13996216548888674,61,0,0,0,0
m1_rotating_crescent,pilot,5,1999380294406827363,1.7249042217144268e-18,0.08590831117733272,61,0,0,0,0
m2_structural_mode,selection,0,1284792234928861349,3.931379583060777e-18,0.3474736429311002,0,61,0,0,0
m2_structural_mode,selection,1,4096705576244154474,2.2544468451081623e-18,0.28632360520728145,0,61,0,0,0
m2_structural_mode,selection,2,3557461632181187684,3.989260558088741e-18,0.18625102690888917,0,61,0,0,0
m2_structural_mode,selection,3,293536411602154874,7.987686128730563e-19,0.15090805292883047,0,61,0,0,0
m2_structural_mode,selection,4,1763116407873009955,1.5723761945074909e-18,0.1577063928982289,0,61,0,0,0
m2_structural_mode,selection,5,3555122244129801915,7.369186717852802e-19,0.10484863615792397,0,61,0,0,0
m2_structural_mode,pilot,0,9135963871541765013,4.578842512656858e-18,0.13858863297978857,0,61,0,0,0
m2_structural_mode,pilot,1,7901603189731644368,3.519951457031333e-19,0.10420981059820274,0,61,0,0,0
m2_structural_mode,pilot,2,3330066047491468672,1.2773256840555881e-18,0.11418029041691735,0,61,0,0,0
m2_structural_mode,pilot,3,2509629253385533792,5.1711690234168526e-18,0.3420035834448292,0,61,0,0,0
m2_structural_mode,pilot,4,2863931617631460751,5.630431900420329e-18,0.2570262961958671,0,61,0,0,0
m2_structural_mode,pilot,5,1614210919673280154,4.747615016469342e-19,0.14625650731547812,0,61,0,0,0
flare_birth_motion_decay,selection,0,340241107849955012,1.0824816380230845e-18,0.20830523736414802,20,0,0,41,0
flare_birth_motion_decay,selection,1,5330043596097243500,4.472333961502706e-19,0.25945160998960387,35,0,0,26,0
flare_birth_motion_decay,selection,2,2025943755182366851,1.1518589291474417e-18,0.24086179029527782,29,0,0,32,0
flare_birth_motion_decay,selection,3,2384924009404896539,5.285485590866996e-19,0.21142037720315743,21,0,0,40,0
flare_birth_motion_decay,selection,4,7206259367450708707,1.3010426069826053e-18,0.24205783313874393,29,0,0,32,0
flare_birth_motion_decay,selection,5,7224024521944860776,2.439454888092385e-19,0.20308040452931353,31,0,0,30,0
flare_birth_motion_decay,pilot,0,7454936505024271711,3.49354238715516e-18,0.20871398279639283,29,0,0,32,0
flare_birth_motion_decay,pilot,1,3177057300773031004,7.047314121154546e-19,0.34482002053912264,30,0,0,31,0
flare_birth_motion_decay,pilot,2,3687980513567560406,7.643625316022806e-18,0.4735257576648446,23,0,0,38,0
flare_birth_motion_decay,pilot,3,1944110762741494964,2.4318315915670963e-18,0.4316543914230967,32,0,0,29,0
flare_birth_motion_decay,pilot,4,7555976318115461050,1.6516265660010667e-18,0.15257274183223868,26,0,0,35,0
flare_birth_motion_decay,pilot,5,6559297366963740324,8.131516293641283e-19,0.17063132122515362,33,0,0,28,0
plunging_feature,selection,0,2883525825892324703,1.7082748721987916e-17,0.3702755109433443,61,0,0,0,0
plunging_feature,selection,1,1643280527089492240,5.271933063710765e-18,0.3333023449079272,61,0,0,0,0
plunging_feature,selection,2,255963084148684179,1.336152122646296e-17,0.2707521021076218,61,0,0,0,0
plunging_feature,selection,3,4805316309074021666,1.1933847193865837e-17,0.25175628619986934,61,0,0,0,0
plunging_feature,selection,4,8364284252415778953,5.570092331758247e-18,0.18012207503832445,61,0,0,0,0
plunging_feature,selection,5,2989159971052585662,3.9029160627110024e-18,0.24752469415690087,61,0,0,0,0
plunging_feature,pilot,0,7676438336987831090,1.7979121339147306e-17,0.3004059680062121,61,0,0,0,0
plunging_feature,pilot,1,5644205280764685727,8.402403055001374e-18,0.31984944076287525,61,0,0,0,0
plunging_feature,pilot,2,739900009417202967,3.3068166260807885e-18,0.28460752520965715,61,0,0,0,0
plunging_feature,pilot,3,6369169806439872052,1.455626119856515e-17,0.22460663759120553,61,0,0,0,0
plunging_feature,pilot,4,5264608607028724012,6.9383645083151944e-18,0.19941757862713766,61,0,0,0,0
plunging_feature,pilot,5,5274816069352272382,3.990372214515009e-18,0.32543680420172927,61,0,0,0,0
