geometry_id,spin,status,n0,n1,n2,min_per_order,r_min,horizon,finite_weights,delay_windows_ordered,shared_time_reference,delay_min_n0,delay_min_n2,area_n0,area_n2,inclination_deg,cached
a000_i020,0.0,ok,15411,5738,3090,3090,2.000036968769375,2.0,True,True,True,0.0,45.38648659886769,2465.760000000001,1.2360000000000002,20.0,True
a000_i050,0.0,ok,15409,8288,3702,3702,2.0006902899631998,2.0,True,True,True,0.0,63.25925786630137,2465.4400000000014,1.4808000000000003,50.0,False
a000_i075,0.0,ok,9732,13774,5202,5202,2.000486420211182,2.0,True,True,True,39.063449534827555,119.28905857482266,1557.1200000000003,2.080800000000001,75.0,False
a050_i020,0.5,ok,15599,5977,3612,3612,1.8662043211216441,1.8660254037844386,True,True,True,0.0,44.784559092245445,2495.8400000000015,1.4448000000000003,20.0,False
a050_i050,0.5,ok,15597,8531,4179,4179,1.8660386527060988,1.8660254037844386,True,True,True,0.0,62.385187262026534,2495.5200000000013,1.6716000000000006,50.0,True
a050_i075,0.5,ok,9953,18742,5634,5634,1.8660523030587255,1.8660254037844386,True,True,True,37.46065916766713,117.65306850078844,1592.4800000000005,2.2536000000000005,75.0,False
a090_i020,0.9,ok,15630,6948,6059,6059,1.4359813142309958,1.4358898943540672,True,True,True,0.0,43.636860825447116,2500.800000000001,2.4236000000000004,20.0,False
a090_i050,0.9,ok,15629,9406,6282,6282,1.43648906768042,1.4358898943540672,True,True,True,0.0,61.34264931189523,2500.6400000000012,2.512800000000001,50.0,False
a090_i075,0.9,ok,9985,19576,7765,7765,1.4359743921981092,1.4358898943540672,True,True,True,37.460634671742696,116.73071790966605,1597.6000000000004,3.1060000000000008,75.0,False
a098_i020,0.98,ok,15652,7578,8071,7578,1.1991782685016208,1.1989974874213243,True,True,True,0.0,43.27368616599358,2504.320000000001,3.228400000000001,20.0,False
a098_i050,0.98,ok,15645,10002,8453,8453,1.1990114913257541,1.1989974874213243,True,True,True,0.0,61.03104504189548,2503.200000000001,3.3812000000000006,50.0,False
a098_i075,0.98,ok,9995,20139,9804,9804,1.1995074644080272,1.1989974874213243,True,True,True,37.46062786764094,116.4419310373338,1599.2000000000005,3.921600000000001,75.0,True
