arm,snr0,regime,estimator,level,coverage,disposition,reason,freeze_sha256,n_truths,mean_mahalanobis_squared,expected_mahalanobis_squared,ratio,median_pvalue,clipped_directions,numerically_supported_directions
DIRECT_PHYSICAL,1.0,validation_in_class,TSVD,0.5,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,TSVD,0.9,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,TSVD,0.95,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,TSVD,0.5,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,TSVD,0.9,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,TSVD,0.95,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_ood,TSVD,0.5,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_ood,TSVD,0.9,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_ood,TSVD,0.95,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,RIDGE_IDENTITY,0.5,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,RIDGE_IDENTITY,0.9,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,RIDGE_IDENTITY,0.95,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,RIDGE_IDENTITY,0.5,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,RIDGE_IDENTITY,0.9,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,RIDGE_IDENTITY,0.95,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_ood,RIDGE_IDENTITY,0.5,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_ood,RIDGE_IDENTITY,0.9,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_ood,RIDGE_IDENTITY,0.95,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,TIKHONOV_TEMPORAL,0.5,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,TIKHONOV_TEMPORAL,0.9,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,TIKHONOV_TEMPORAL,0.95,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,TIKHONOV_TEMPORAL,0.5,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,TIKHONOV_TEMPORAL,0.9,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,TIKHONOV_TEMPORAL,0.95,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_ood,TIKHONOV_TEMPORAL,0.5,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_ood,TIKHONOV_TEMPORAL,0.9,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_ood,TIKHONOV_TEMPORAL,0.95,,NOT_APPLICABLE,point estimator with no posterior covariance,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,WIENER_GAUSSIAN,0.5,0.8541172572544643,SUPPORTED,,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,512.0,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,WIENER_GAUSSIAN,0.9,0.9631609235491071,SUPPORTED,,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,512.0,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,WIENER_GAUSSIAN,0.95,0.9725341796875,SUPPORTED,,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,512.0,,,,,,
DIRECT_PHYSICAL,1.0,validation_in_class,WIENER_GAUSSIAN,,,SUPPORTED,joint chi-square calibration,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,131.06604819691182,224.0,0.5851162865933563,1.0,0.0,224.0
DIRECT_PHYSICAL,1.0,validation_off_grid,WIENER_GAUSSIAN,0.5,0.9045061383928571,SUPPORTED,,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,320.0,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,WIENER_GAUSSIAN,0.9,0.98291015625,SUPPORTED,,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,320.0,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,WIENER_GAUSSIAN,0.95,0.9873465401785714,SUPPORTED,,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,320.0,,,,,,
DIRECT_PHYSICAL,1.0,validation_off_grid,WIENER_GAUSSIAN,,,SUPPORTED,joint chi-square calibration,e9c3a2d32a8bc24f638b0cb6e8fb573a72334b5e577afad9ed2b0aab5d009381,,116.67933017889004,224.0,0.5208898668700448,1.0,0.0,224.0
