regime,retarded_age,median_normalized_error,median_structure_normalized_error,median_absolute_error,in_old_band,definition,freeze_sha256
IN_CLASS_ID,0.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,4.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,8.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,12.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,16.0,1.1547927964849675e-08,4.6617805558359746e-08,1.4901161193847656e-08,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,20.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,24.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,28.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,32.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,36.0,1.497000996341605e-08,7.618801895532318e-08,2.1073424255447017e-08,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,40.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,44.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,48.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,52.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,56.0,0.0,0.0,0.0,False,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,60.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,64.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,68.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,72.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,76.0,1.5390858083417455e-08,8.055235451987431e-08,2.1073424255447017e-08,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,80.0,1.268628311206194e-08,5.685841752982789e-08,1.4901161193847656e-08,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,84.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,88.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,92.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,96.0,1.23130386105535e-08,5.389577375310935e-08,1.4901161193847656e-08,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,100.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,104.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,108.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,112.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
IN_CLASS_ID,116.0,0.0,0.0,0.0,True,"error of the exact least-squares projection of the truth onto C224, noiseless",5a59d5e6203d965723777be41180d81bdb39d6dd1c26867b8a59aa94e91e6e51
