estimator,regime,contrast,delta_L_level_M,delta_L_level_ci_low,delta_L_level_ci_high,delta_L_level_excludes_zero,span_direct_M,span_resolved_M,old_band_normalized_reduction,old_band_normalized_ci_low,old_band_normalized_ci_high,old_band_normalized_excludes_zero,old_band_absolute_reduction,old_band_absolute_ci_low,old_band_absolute_ci_high,old_band_absolute_excludes_zero,n_truths,n_resamples,seed,unit,freeze_sha256
TSVD,IN_CLASS_ID,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,32.0,32.0,32.0,True,48.0,80.0,0.3320569493412268,0.3296749229905344,0.33443517741064216,True,0.4294458109570002,0.41853362650131803,0.44048181548278176,True,256,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TSVD,IN_CLASS_OOD,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,32.0,32.0,32.0,True,48.0,80.0,0.3281991851380171,0.3257850570216763,0.3307223934337887,True,0.33151562304070353,0.32801320352311963,0.3354214663326328,True,64,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TSVD,OFF_GRID_ID,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,0.0,0.0,68.0,False,0.0,0.0,0.3096303848385495,0.3065247640567784,0.3126603335781227,True,0.32901718276939174,0.3269363142171639,0.3312251745383045,True,256,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TSVD,OFF_GRID_OOD,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,32.0,32.0,32.0,True,48.0,80.0,0.3319078336269642,0.33055676003795553,0.3332522669010936,True,0.33210999527549984,0.3307309397383571,0.33347466946954535,True,64,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RIDGE_IDENTITY,IN_CLASS_ID,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,32.0,32.0,32.0,True,48.0,80.0,0.3488433674897168,0.34663596220327775,0.3510786674290249,True,0.45383798472832215,0.4408071133988193,0.4669389232471178,True,256,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RIDGE_IDENTITY,IN_CLASS_OOD,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,32.0,32.0,32.0,True,48.0,80.0,0.33433926904138567,0.33101600509169893,0.33773586265417066,True,0.3375299118958328,0.333400079160503,0.34183416828909813,True,64,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RIDGE_IDENTITY,OFF_GRID_ID,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,0.0,0.0,72.0,False,0.0,0.0,0.3194389800604205,0.3166522313534674,0.32213336757644606,True,0.3403579752099142,0.3370725325610725,0.3438407622381713,True,256,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RIDGE_IDENTITY,OFF_GRID_OOD,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,32.0,32.0,32.0,True,48.0,80.0,0.33868759118668923,0.3359428339397126,0.3415659464004618,True,0.33888230583155543,0.3361316990910682,0.3417614978747486,True,64,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TIKHONOV_TEMPORAL,IN_CLASS_ID,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,28.0,24.0,32.0,True,60.0,88.0,0.42452866359449315,0.4157588297814672,0.43353909151446135,True,0.5521631326487807,0.5328581838391158,0.5722990272088817,True,256,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TIKHONOV_TEMPORAL,IN_CLASS_OOD,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,0.0,-4.0,8.0,False,88.0,88.0,0.4019030325592605,0.39492899102428003,0.40931786482982596,True,0.4024605974887916,0.3954561331480265,0.4098997488927613,True,64,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TIKHONOV_TEMPORAL,OFF_GRID_ID,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,24.0,0.0,32.0,False,48.0,72.0,0.38070956071022566,0.37476741726309376,0.3863849251839588,True,0.40542854858641786,0.39861212091575754,0.41254741216583674,True,256,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TIKHONOV_TEMPORAL,OFF_GRID_OOD,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,-4.0,-4.0,-4.0,False,92.0,88.0,0.37880339178521716,0.37647883507274077,0.3811147039152731,True,0.3788374505927282,0.3765064430184238,0.3811437760034436,True,64,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
WIENER_GAUSSIAN,IN_CLASS_ID,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,4.0,0.0,16.0,False,60.0,64.0,0.005150695483214344,0.0047607539931910645,0.005540671470941225,True,0.00684109497135528,0.0062454153438758105,0.007449884615230299,True,256,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
WIENER_GAUSSIAN,IN_CLASS_OOD,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,0.0,0.0,0.0,False,120.0,120.0,0.003440054175400131,0.0028946441210327255,0.00397666480214152,True,0.0034953835143314593,0.0029431682168418573,0.004037218132004635,True,64,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
WIENER_GAUSSIAN,OFF_GRID_ID,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,0.0,0.0,0.0,False,0.0,0.0,0.003779738767799127,0.003548195935723385,0.0040135352458773,True,0.003962546440601183,0.003711548046585564,0.004225282025217571,True,256,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
WIENER_GAUSSIAN,OFF_GRID_OOD,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,0.0,0.0,0.0,False,120.0,120.0,0.0045495661596843436,0.0044734965732391675,0.004617448040732311,True,0.004552447375401237,0.004475683187821583,0.004621349952425172,True,64,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
LINEAR_STATE_SPACE,IN_CLASS_ID,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,32.0,28.0,68.0,True,40.0,72.0,0.17510639528257071,0.17037827894262594,0.17991940366706388,True,0.22450736653149816,0.21663309803219136,0.23299971881262724,True,256,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
LINEAR_STATE_SPACE,IN_CLASS_OOD,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,24.0,8.0,44.0,True,68.0,92.0,0.17844530921376325,0.17491021376867905,0.18222867175064603,True,0.1790478483038234,0.1755799184881498,0.18279598961869295,True,64,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
LINEAR_STATE_SPACE,OFF_GRID_ID,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,0.0,0.0,68.0,False,0.0,0.0,0.16321987501455143,0.15941942875135,0.16686486796716032,True,0.1726164462173958,0.16893636928391995,0.17628066938794457,True,256,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
LINEAR_STATE_SPACE,OFF_GRID_OOD,RESOLVED_PHYSICAL - DIRECT_PHYSICAL,8.0,8.0,8.0,True,84.0,92.0,0.17217706488277187,0.171451442864074,0.17292101586441233,True,0.1722106584411928,0.17148647477158713,0.1729520897567077,True,64,10000,20260901,truth; every noise draw of a resampled truth travels with it,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
