arm,target_delta,pair,realized_delta,relative_delta_error,bayes_accuracy,observed_accuracy,monte_carlo_tolerance,exceeds_bayes,disposition,reason,freeze_sha256
DIRECT_PHYSICAL,0.25,0,0.24999999999999994,2.220446049250313e-16,0.5497382248301129,0.525390625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,0,0.25,0.0,0.5497382248301129,0.556640625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,0,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.56640625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,0,0.24999999999999978,8.881784197001252e-16,0.5497382248301128,0.544921875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,1,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.55078125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,1,0.25000000000000006,2.220446049250313e-16,0.5497382248301129,0.53125,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,1,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.57421875,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,1,0.24999999999999983,6.661338147750939e-16,0.5497382248301128,0.55859375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,2,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.599609375,0.04397496704365141,True,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
RESOLVED_PHYSICAL,0.25,2,0.24999999999999994,2.220446049250313e-16,0.5497382248301129,0.595703125,0.04397496704365141,True,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
UNRESOLVED_IMAGE,0.25,2,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.521484375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
TOTAL_FLUX,0.25,2,0.25,0.0,0.5497382248301129,0.587890625,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,0.25,3,0.24999999999999997,1.1102230246251565e-16,0.5497382248301129,0.505859375,0.04397496704365141,False,SUPPORTED,,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
