arm,estimator,snr0,regime,hyperparameter,epsilon,quantile,n_truths,a_anchor_M,T_stable_anchor,L_stable_anchor,fraction_at_anchor,right_censored,secondary_reach_M,secondary_longest_run_span_M,secondary_longest_run_start_M,secondary_longest_run_end_M,secondary_span_from_anchor_M,secondary_end_from_anchor_M,n_passing_runs,is_contiguous,secondary_right_censored,age_pass_mask,secondary_label,primary,retired_endpoint,L_stable_anchor_structure,T_stable_anchor_structure,registered_metric_saturated,freeze_sha256
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_ID,0.03162277660168379,0.25,0.8,2048,0.0,-1.0,0.0,0.0,False,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0,False,False,0000000000000000000000000000000,unanchored; never depth from the present,False,False,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_ID,0.03162277660168379,0.25,0.9,2048,0.0,-1.0,0.0,0.0,False,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0,False,False,0000000000000000000000000000000,unanchored; never depth from the present,False,False,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_ID,0.03162277660168379,0.25,0.95,2048,0.0,-1.0,0.0,0.0,False,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0,False,False,0000000000000000000000000000000,unanchored; never depth from the present,True,False,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_ID,0.03162277660168379,0.35,0.8,2048,0.0,-1.0,0.0,0.00927734375,False,32.0,20.0,12.0,32.0,0.0,-1.0,1,True,False,0001111110000000000000000000000,unanchored; never depth from the present,False,False,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_ID,0.03162277660168379,0.35,0.9,2048,0.0,-1.0,0.0,0.00927734375,False,32.0,20.0,12.0,32.0,0.0,-1.0,1,True,False,0001111110000000000000000000000,unanchored; never depth from the present,False,False,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_ID,0.03162277660168379,0.35,0.95,2048,0.0,-1.0,0.0,0.00927734375,False,28.0,12.0,16.0,28.0,0.0,-1.0,1,True,False,0000111100000000000000000000000,unanchored; never depth from the present,False,False,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_ID,0.03162277660168379,0.5,0.8,2048,0.0,-1.0,0.0,0.6181640625,False,40.0,36.0,4.0,40.0,0.0,-1.0,1,True,False,0111111111100000000000000000000,unanchored; never depth from the present,False,False,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_ID,0.03162277660168379,0.5,0.9,2048,0.0,-1.0,0.0,0.6181640625,False,40.0,36.0,4.0,40.0,0.0,-1.0,1,True,False,0111111111100000000000000000000,unanchored; never depth from the present,False,True,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_ID,0.03162277660168379,0.5,0.95,2048,0.0,-1.0,0.0,0.6181640625,False,40.0,32.0,8.0,40.0,0.0,-1.0,1,True,False,0011111111100000000000000000000,unanchored; never depth from the present,False,False,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_OOD,0.03162277660168379,0.25,0.8,512,0.0,-1.0,0.0,0.0,False,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0,False,False,0000000000000000000000000000000,unanchored; never depth from the present,False,False,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
DIRECT_PHYSICAL,TSVD,1.0,IN_CLASS_OOD,0.03162277660168379,0.25,0.9,512,0.0,-1.0,0.0,0.0,False,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0,False,False,0000000000000000000000000000000,unanchored; never depth from the present,False,False,0.0,-1.0,False,4ef162320e09086a16f1e130b09a507d399438740647147560f339cd2aa60069
