geometry,source_class,kind,arm,retarded_age,lambda_max_per_snr2,lambda_min_per_snr2,detectable_at_reference_snr,log_information_volume_at_reference_snr
a050_i050,L224,localized,DIRECT_PHYSICAL,0.0,0.2319210338917782,1.1635832431536031e-11,True,51.81909874046923
a050_i050,L224,localized,DIRECT_PHYSICAL,2.0,0.256055806816566,7.115575527192251e-11,True,56.853617363598275
a050_i050,L224,localized,DIRECT_PHYSICAL,4.0,0.28332365233314016,4.3220785202442357e-10,True,62.11469709561912
a050_i050,L224,localized,DIRECT_PHYSICAL,6.0,0.31347260653277587,2.2790676196470088e-09,True,67.73533664015122
a050_i050,L224,localized,DIRECT_PHYSICAL,8.0,0.3474318518169943,9.892306973778784e-09,True,73.59403923942813
a050_i050,L224,localized,DIRECT_PHYSICAL,10.0,0.3861691879431063,4.483052465797938e-08,True,79.83851290477118
a050_i050,L224,localized,DIRECT_PHYSICAL,12.0,0.4344573611377538,1.7849260281938362e-07,True,86.60292064556066
a050_i050,L224,localized,DIRECT_PHYSICAL,14.0,0.497327798777493,5.74606600562731e-07,True,93.21549436661999
a050_i050,L224,localized,DIRECT_PHYSICAL,16.0,0.5587123712980436,1.6066851110476965e-06,True,98.59681850185676
a050_i050,L224,localized,DIRECT_PHYSICAL,18.0,0.6015656842913328,3.886154029202414e-06,True,102.04971039603723
a050_i050,L224,localized,DIRECT_PHYSICAL,20.0,0.6269774673204407,5.106890413118246e-06,True,103.66266477119412
a050_i050,L224,localized,DIRECT_PHYSICAL,22.0,0.641977209547864,3.066051495290039e-06,True,104.1470453741878
a050_i050,L224,localized,DIRECT_PHYSICAL,24.0,0.6501657986323164,1.7323978270898378e-06,True,104.02505327373613
a050_i050,L224,localized,DIRECT_PHYSICAL,26.0,0.6533420952719116,9.568399053091597e-07,True,103.26348920721662
a050_i050,L224,localized,DIRECT_PHYSICAL,28.0,0.6508297472070717,5.22989473538823e-07,True,101.65050128664076
a050_i050,L224,localized,DIRECT_PHYSICAL,30.0,0.638796262257912,2.4716828159565757e-07,True,99.01428608069415
a050_i050,L224,localized,DIRECT_PHYSICAL,32.0,0.6123717669222539,9.695959876437297e-08,True,95.18213961443453
a050_i050,L224,localized,DIRECT_PHYSICAL,34.0,0.567701327989097,3.500484416159764e-08,True,89.88742190473282
a050_i050,L224,localized,DIRECT_PHYSICAL,36.0,0.5036734643506435,1.23960342787395e-08,True,83.17029959266424
a050_i050,L224,localized,DIRECT_PHYSICAL,38.0,0.42472598964218167,3.870240206017678e-09,True,75.19363076013421
a050_i050,L224,localized,DIRECT_PHYSICAL,40.0,0.3462222022167184,1.0106837578017905e-09,True,66.08969201925044
a050_i050,L224,localized,DIRECT_PHYSICAL,42.0,0.27855541226038394,1.9692839280175025e-10,True,56.41890476755586
a050_i050,L224,localized,DIRECT_PHYSICAL,44.0,0.22423681906106424,2.8925414953643034e-11,True,47.234467582592984
a050_i050,L224,localized,DIRECT_PHYSICAL,46.0,0.18120004408793655,4.0015112742157204e-12,True,39.941861540722
a050_i050,L224,localized,DIRECT_PHYSICAL,48.0,0.14461079734001953,1.2683670018513524e-13,True,34.54589524935844
a050_i050,L224,localized,DIRECT_PHYSICAL,50.0,0.11265894599288565,3.0171865310392456e-15,True,29.943274607408583
a050_i050,L224,localized,DIRECT_PHYSICAL,52.0,0.083461830294684,2.8634676087253094e-16,True,25.736890814301123
a050_i050,L224,localized,DIRECT_PHYSICAL,54.0,0.05597610468806581,3.3072032163627705e-17,True,21.77142429762888
a050_i050,L224,localized,DIRECT_PHYSICAL,56.0,0.03201619291143699,3.561459791891581e-18,True,17.690305996574587
a050_i050,L224,localized,DIRECT_PHYSICAL,58.0,0.013875868931612266,7.4584452337917815e-19,True,13.151849997903843
a050_i050,L224,localized,DIRECT_PHYSICAL,60.0,0.0038021251317684373,7.862052915161412e-20,True,8.182999031097207
a050_i050,L224,localized,DIRECT_PHYSICAL,62.0,0.0005631346045139732,0.0,True,3.309870479326235
a050_i050,L224,localized,DIRECT_PHYSICAL,64.0,4.064155973137615e-05,6.351471571599776e-22,False,0.46532871475772936
a050_i050,L224,localized,DIRECT_PHYSICAL,66.0,1.3390506924540176e-06,1.7405389868118526e-23,False,0.0164539499110767
a050_i050,L224,localized,DIRECT_PHYSICAL,68.0,1.935761530128895e-08,0.0,False,0.00022639167897757912
a050_i050,L224,localized,DIRECT_PHYSICAL,70.0,1.1989964747924958e-10,1.004550178915022e-27,False,1.344230675167755e-06
a050_i050,L224,localized,DIRECT_PHYSICAL,72.0,3.1367900498823974e-13,6.838907236643464e-31,False,3.4087753239641842e-09
a050_i050,L224,localized,DIRECT_PHYSICAL,74.0,3.435880057383327e-16,0.0,False,3.650859235035914e-12
a050_i050,L224,localized,DIRECT_PHYSICAL,76.0,1.5669802076666344e-19,0.0,False,1.638505489311815e-15
a050_i050,L224,localized,DIRECT_PHYSICAL,78.0,2.9647714833432294e-23,3.728521424752885e-41,False,3.0647051300474197e-19
a050_i050,L224,localized,DIRECT_PHYSICAL,80.0,2.321495965718102e-27,0.0,False,2.38001067547485e-23
a050_i050,L224,localized,DIRECT_PHYSICAL,82.0,7.510490065717661e-32,0.0,False,7.65383018334119e-28
a050_i050,L224,localized,DIRECT_PHYSICAL,84.0,1.0027222582899219e-36,0.0,False,1.0173912175934638e-32
a050_i050,L224,localized,DIRECT_PHYSICAL,86.0,5.519969723868974e-42,0.0,False,5.582610731647095e-38
a050_i050,L224,localized,DIRECT_PHYSICAL,88.0,1.2521788243327075e-47,0.0,False,1.2633307056383696e-43
a050_i050,L224,localized,DIRECT_PHYSICAL,90.0,1.1699533972121371e-53,0.0,False,1.1782243164994628e-49
a050_i050,L224,localized,DIRECT_PHYSICAL,92.0,4.5008186418982935e-60,0.0,False,4.526359001155936e-56
a050_i050,L224,localized,DIRECT_PHYSICAL,94.0,7.12720322523055e-67,0.0,False,7.160025312127838e-63
a050_i050,L224,localized,DIRECT_PHYSICAL,96.0,4.644742667805856e-74,0.0,False,4.662289583344483e-70
a050_i050,L224,localized,DIRECT_PHYSICAL,98.0,1.2455145543679733e-81,0.0,False,1.24941556993075e-77
a050_i050,L224,localized,DIRECT_PHYSICAL,100.0,1.3741211285800513e-89,0.0,False,1.3777265025884228e-85
a050_i050,L224,localized,DIRECT_PHYSICAL,102.0,6.236570761841584e-98,0.0,False,6.250418233551573e-94
a050_i050,L224,localized,DIRECT_PHYSICAL,104.0,1.1643281780537923e-106,0.0,False,1.1665376206042648e-102
a050_i050,L224,localized,DIRECT_PHYSICAL,106.0,8.940964166236597e-116,0.0,False,8.955603494904224e-112
a050_i050,L224,localized,DIRECT_PHYSICAL,108.0,2.823894722809896e-125,0.0,False,2.8279210454537567e-121
a050_i050,L224,localized,DIRECT_PHYSICAL,110.0,3.668155145688263e-135,0.0,False,3.672749843767939e-131
a050_i050,L224,localized,DIRECT_PHYSICAL,112.0,1.9595889733139293e-145,0.0,False,1.9617635246422541e-141
a050_i050,L224,localized,DIRECT_PHYSICAL,114.0,4.3051272526243945e-156,0.0,False,4.3093934796135585e-152
a050_i050,L224,localized,DIRECT_PHYSICAL,116.0,3.8895415026040895e-167,0.0,False,3.893009465311585e-163
a050_i050,L224,localized,DIRECT_PHYSICAL,118.0,1.4450791348526718e-178,0.0,False,1.446246632491018e-174
a050_i050,L224,localized,DIRECT_PHYSICAL,120.0,2.2077833124855589e-190,0.0,False,2.2094103106108655e-186
a050_i050,L224,localized,RESOLVED_PHYSICAL,0.0,0.2319210338917782,1.1635832431536031e-11,True,51.81909874046923
a050_i050,L224,localized,RESOLVED_PHYSICAL,2.0,0.256055806816566,7.115575527192251e-11,True,56.853617363598275
a050_i050,L224,localized,RESOLVED_PHYSICAL,4.0,0.28332365233314016,4.3220785202442357e-10,True,62.11469709561912
a050_i050,L224,localized,RESOLVED_PHYSICAL,6.0,0.31347260653277587,2.2790676196470088e-09,True,67.73533664015122
a050_i050,L224,localized,RESOLVED_PHYSICAL,8.0,0.3474318518169943,9.892306973778784e-09,True,73.59403923942813
a050_i050,L224,localized,RESOLVED_PHYSICAL,10.0,0.3861691879431064,4.4830524658905355e-08,True,79.83851290477163
a050_i050,L224,localized,RESOLVED_PHYSICAL,12.0,0.4344573611377539,1.7849260286366157e-07,True,86.60292064570825
a050_i050,L224,localized,RESOLVED_PHYSICAL,14.0,0.49732779877753663,5.746066138949648e-07,True,93.21549439538356
a050_i050,L224,localized,RESOLVED_PHYSICAL,16.0,0.5587123713087555,1.6066876572651724e-06,True,98.59682122385787
a050_i050,L224,localized,RESOLVED_PHYSICAL,18.0,0.6015656852779145,3.8864086756751445e-06,True,102.04987174357262
a050_i050,L224,localized,RESOLVED_PHYSICAL,20.0,0.6269775054744458,5.108512046321079e-06,True,103.66811430981092
a050_i050,L224,localized,RESOLVED_PHYSICAL,22.0,0.641977877863253,3.0721993305770407e-06,True,104.23753911660843
a050_i050,L224,localized,RESOLVED_PHYSICAL,24.0,0.6501715808237294,1.7416478272257003e-06,True,104.66142834002687
a050_i050,L224,localized,RESOLVED_PHYSICAL,26.0,0.6533702791687452,1.0190160965361747e-06,True,105.22174957239332
a050_i050,L224,localized,RESOLVED_PHYSICAL,28.0,0.6509222889962902,6.511998485704374e-07,True,105.30192920643248
a050_i050,L224,localized,RESOLVED_PHYSICAL,30.0,0.6390381877430822,3.6325206880490895e-07,True,104.29730788684213
a050_i050,L224,localized,RESOLVED_PHYSICAL,32.0,0.6129129508475233,1.6662673247928277e-07,True,102.12589989429534
a050_i050,L224,localized,RESOLVED_PHYSICAL,34.0,0.5687424016170886,7.800661635109767e-08,True,99.08884813993325
a050_i050,L224,localized,RESOLVED_PHYSICAL,36.0,0.5054127447485119,4.6785936544670963e-08,True,95.30692779293047
a050_i050,L224,localized,RESOLVED_PHYSICAL,38.0,0.42724914955394,2.3945836705627406e-08,True,90.51401995191533
a050_i050,L224,localized,RESOLVED_PHYSICAL,40.0,0.349420640278553,1.91264448947925e-08,True,84.75323411329586
a050_i050,L224,localized,RESOLVED_PHYSICAL,42.0,0.28221258783348324,2.6673665077907526e-08,True,78.74421433605136
a050_i050,L224,localized,RESOLVED_PHYSICAL,44.0,0.2281846260522251,4.517496232438212e-08,True,73.79587102130543
a050_i050,L224,localized,RESOLVED_PHYSICAL,46.0,0.18528382580259128,6.888437985944068e-08,True,70.58238291799466
a050_i050,L224,localized,RESOLVED_PHYSICAL,48.0,0.14865464789905203,1.0480896404144708e-07,True,67.738935189311
a050_i050,L224,localized,RESOLVED_PHYSICAL,50.0,0.11648663774028578,1.5594992889995127e-07,True,64.13921483134536
a050_i050,L224,localized,RESOLVED_PHYSICAL,52.0,0.0869822290509,2.2482030949902775e-07,True,59.35185935193655
a050_i050,L224,localized,RESOLVED_PHYSICAL,54.0,0.05915827238395911,3.0692919782221256e-07,True,53.429228645814575
a050_i050,L224,localized,RESOLVED_PHYSICAL,56.0,0.03482196860357268,3.742041572511127e-07,True,46.684001832634216
a050_i050,L224,localized,RESOLVED_PHYSICAL,58.0,0.01631237051577495,3.74612162658366e-07,True,39.643563937638184
a050_i050,L224,localized,RESOLVED_PHYSICAL,60.0,0.0061245303125427655,3.6061890852091803e-07,True,33.09328703982186
a050_i050,L224,localized,RESOLVED_PHYSICAL,62.0,0.003132675002827088,2.6118414582121063e-07,True,28.057033513216993
a050_i050,L224,localized,RESOLVED_PHYSICAL,64.0,0.0024100911615759493,2.4779589649373743e-07,True,25.12329033596677
