geometry,source_class,kind,mirror_of,arm,source_dimension,n_radial,n_azimuthal,n_temporal,data_dimension,full_column_rank,n_exactly_zero_columns,n_temporal_modes_entirely_unseen,numerical_rank,operational_rank,nullity,sigma_max,sigma_min_positive,kappa_positive,stable_rank,effective_rank,trace_information
a050_i050,L224,localized,C224,DIRECT_PHYSICAL,224,4,7,8,12288,False,84,3,140,112,84,4819.461391741725,2.4424121206002216e-07,19732384027.628166,5.946286225974401,38.51760033917298,138115627.63145697
a050_i050,L224,localized,C224,RESOLVED_PHYSICAL,224,4,7,8,36864,False,0,0,208,172,16,4823.9480851120115,0.0006408036947463423,7527965.466899403,6.002764392453483,48.56200986820586,139687179.4929675
a050_i050,L224,localized,C224,UNRESOLVED_IMAGE,224,4,7,8,12288,False,0,0,208,148,16,4780.574361102321,1.6909859882712774e-05,282709282.88350755,5.920065334381075,40.081521089113934,135296529.17924902
a050_i050,L224,localized,C224,TOTAL_FLUX,224,4,7,8,8,False,0,0,8,8,216,4018.630354348691,1.5115698574629777,2658.580636884073,1.1802690500461306,2.429662788751085,19060625.105477642
a050_i050,L224,localized,C224,DELAY_ONLY,224,4,7,8,36864,False,0,0,208,186,16,4826.442514262548,0.008751031001732017,551528.4442835697,5.994284807900658,51.274005083862114,139634151.24795067
a050_i050,L224,localized,C224,SPATIAL_ONLY,224,4,7,8,36864,False,84,3,140,136,84,4829.9149580719495,0.39920529324120113,12098.824940063356,5.987012446228474,44.54885795447477,139665496.33930916
a050_i050,L448,localized,C448_T,DIRECT_PHYSICAL,448,4,7,16,12288,False,196,7,252,190,196,3904.623080693908,4.883117836486625e-07,7996168045.584707,9.123851103721307,66.41707911188863,139102976.62968647
a050_i050,L448,localized,C448_T,RESOLVED_PHYSICAL,448,4,7,16,36864,False,21,0,405,314,43,3908.203240057082,1.7173967117066888e-06,2275655481.0060434,9.209514656726299,87.49893419567988,140666610.97043365
a050_i050,L448,localized,C448_T,UNRESOLVED_IMAGE,448,4,7,16,12288,False,21,0,405,255,43,3868.759791185357,1.0712193170254873e-06,3611547821.9044366,9.098133795286007,70.18194797565502,136174519.07907346
a050_i050,L448,localized,C448_T,TOTAL_FLUX,448,4,7,16,8,False,21,0,8,8,440,3144.423243493058,6.888208275552456,456.49363632821706,1.3394224478939085,3.1915660612178254,13243402.20858435
a050_i050,L448,localized,C448_T,DELAY_ONLY,448,4,7,16,36864,False,0,0,405,342,43,3911.366463048272,1.7173967150245262e-06,2277497347.4852686,9.191282426880312,93.42253814401332,140615477.6963629
a050_i050,L448,localized,C448_T,SPATIAL_ONLY,448,4,7,16,36864,False,196,7,252,251,196,3913.8095146311457,0.7601347095349114,5148.836733196687,9.182909336378515,80.80277383234268,140662932.0743998
a050_i050,L1056,localized,C1056_ST,DIRECT_PHYSICAL,1056,6,11,16,12288,False,517,7,523,364,533,3915.6961871631206,1.0790775953553273e-08,362874384939.2711,13.841205464170203,126.8542312049637,212222727.55377796
a050_i050,L1056,localized,C1056_ST,RESOLVED_PHYSICAL,1056,6,11,16,36864,False,154,0,836,648,220,3917.5777580131858,3.8399957374489475e-08,102020367361.54762,13.986137064676418,172.33880301769204,214651056.63279155
a050_i050,L1056,localized,C1056_ST,UNRESOLVED_IMAGE,1056,6,11,16,12288,False,154,0,834,517,222,3876.557308230689,1.3812036203254094e-08,280665156909.8392,13.820543247339886,134.7865450583368,207690930.27061832
a050_i050,L1056,localized,C1056_ST,TOTAL_FLUX,1056,6,11,16,8,False,154,0,8,8,1048,3044.1890621715515,9.500093014496079,320.43781650626573,1.4191071474894121,3.4716375286047487,13150989.463732695
a050_i050,L1056,localized,C1056_ST,DELAY_ONLY,1056,6,11,16,36864,False,55,0,878,718,178,3920.2825541465513,2.156505690595771e-07,18178864870.342667,13.959176493785797,185.74931768985326,214533213.49846068
a050_i050,L1056,localized,C1056_ST,SPATIAL_ONLY,1056,6,11,16,36864,False,462,7,594,571,462,3921.012424194174,0.1431180177609633,27397.05653793414,13.96114714599442,166.1342557457525,214643401.10311124
a050_i050,C224,global,,DIRECT_PHYSICAL,224,4,7,8,12288,True,0,0,224,153,0,12311.040293547552,1.0852367103168428e-05,1134410601.531647,5.835830496026722,43.393305471948736,884488467.393606
a050_i050,C224,global,,RESOLVED_PHYSICAL,224,4,7,8,36864,True,0,0,224,201,0,12321.319007162901,0.0175128267331449,703559.6934127993,5.891587377939939,53.15247714907294,894430760.8557626
a050_i050,C224,global,,UNRESOLVED_IMAGE,224,4,7,8,12288,True,0,0,224,181,0,12212.337062726767,0.001727625570810542,7068856.394037489,5.8096380773978815,44.76067581388857,866456258.0978115
a050_i050,C224,global,,TOTAL_FLUX,224,4,7,8,8,False,0,0,8,5,216,10194.120767819193,0.0010323012649477979,9875141.215035416,1.1636280327830888,2.40921857014645,120924339.46869998
a050_i050,C224,global,,DELAY_ONLY,224,4,7,8,36864,True,0,0,224,214,0,12328.439880064385,0.15743135502929134,78309.93945120132,5.88265282239198,55.59924942820449,894106931.2887508
a050_i050,C224,global,,SPATIAL_ONLY,224,4,7,8,36864,True,0,0,224,177,0,12333.788688773677,0.0010318857263408436,11952669.151176617,5.879605147899108,50.25843341808022,894419313.4787186
a050_i050,C448_T,global,,DIRECT_PHYSICAL,448,4,7,16,12288,False,0,0,411,250,37,12875.79806474001,7.229021227005146e-08,178112605571.5598,10.398262724674465,73.09762487407778,1723888212.1286724
a050_i050,C448_T,global,,RESOLVED_PHYSICAL,448,4,7,16,36864,True,0,0,448,365,0,12885.695399853852,7.16381318769928e-05,179872018.74525994,10.498596756623703,93.75178364478703,1743199036.2088244
a050_i050,C448_T,global,,UNRESOLVED_IMAGE,448,4,7,16,12288,True,0,0,448,320,0,12763.232036026962,5.196786201036353e-06,2455985592.3035073,10.36016007940928,76.48761808734547,1687671030.127117
a050_i050,C448_T,global,,TOTAL_FLUX,448,4,7,16,8,False,0,0,8,7,440,10371.471047300849,0.18716160928943734,55414.52163548037,1.385286393411996,3.2339946943206295,149011671.78177673
a050_i050,C448_T,global,,DELAY_ONLY,448,4,7,16,36864,True,0,0,448,391,0,12895.08379716686,0.0005473158069800968,23560590.855794143,10.47950368999987,99.35268206603139,1742565262.6966789
