source_class,arm,estimator,snr0,selected_hyperparameter,selection_old_band_structure_error,n_grid,split,n_truths,n_draws
L224,DIRECT_PHYSICAL,TSVD,100.0,0.1,8.220419939421845,15,selection,128,4
L224,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,8.216748108293668,21,selection,128,4
L224,RESOLVED_PHYSICAL,TSVD,100.0,0.31622776601683794,8.231681405178453,15,selection,128,4
L224,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,0.00031622776601683794,8.124258292972879,21,selection,128,4
L224,UNRESOLVED_IMAGE,TSVD,100.0,0.1,8.225644679597732,15,selection,128,4
L224,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.0,8.217976256196899,21,selection,128,4
L224,TOTAL_FLUX,TSVD,100.0,1.0,8.274252431180003,15,selection,128,4
L224,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.0,8.232063599654378,21,selection,128,4
L448,DIRECT_PHYSICAL,TSVD,100.0,1.0,8.21961637640855,15,selection,128,4
L448,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,8.214111613182004,21,selection,128,4
L448,RESOLVED_PHYSICAL,TSVD,100.0,1.0,8.219610604165478,15,selection,128,4
L448,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,8.21382822111088,21,selection,128,4
L448,UNRESOLVED_IMAGE,TSVD,100.0,1.0,8.220647615552497,15,selection,128,4
L448,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.0,8.214880135008393,21,selection,128,4
L448,TOTAL_FLUX,TSVD,100.0,0.31622776601683794,8.228924504497364,15,selection,128,4
L448,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.0,8.218437904874941,21,selection,128,4
L1056,DIRECT_PHYSICAL,TSVD,100.0,1.0,8.214768565026835,15,selection,128,4
L1056,DIRECT_PHYSICAL,RIDGE_IDENTITY,100.0,1.0,8.21200215970776,21,selection,128,4
L1056,RESOLVED_PHYSICAL,TSVD,100.0,0.31622776601683794,8.214668843899624,15,selection,128,4
L1056,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,3.1622776601683795e-05,7.985652320667912,21,selection,128,4
L1056,UNRESOLVED_IMAGE,TSVD,100.0,1.0,8.214801536837516,15,selection,128,4
L1056,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,1.0,8.211954475026012,21,selection,128,4
L1056,TOTAL_FLUX,TSVD,100.0,0.31622776601683794,8.217500046796852,15,selection,128,4
L1056,TOTAL_FLUX,RIDGE_IDENTITY,100.0,1.0,8.213598711922284,21,selection,128,4
