geometry,source_class,kind,arm,temporal_mode,entirely_in_old_band,n_columns,column_max_abs,exactly_zero_block,sigma_max,sigma_min,operational_rank,exact_nullity
a050_i050,L224,localized,DIRECT_PHYSICAL,0,True,28,0.0,True,0.0,0.0,0,28
a050_i050,L224,localized,DIRECT_PHYSICAL,1,True,28,0.0,True,0.0,0.0,0,28
a050_i050,L224,localized,DIRECT_PHYSICAL,2,True,28,0.0,True,0.0,0.0,0,28
a050_i050,L224,localized,DIRECT_PHYSICAL,3,False,28,42.789427207655756,False,456.5206457377034,2.4426415175969164e-07,9,0
a050_i050,L224,localized,DIRECT_PHYSICAL,4,False,28,103.24456283768625,False,3785.9528146514276,0.221676106445743,25,0
a050_i050,L224,localized,DIRECT_PHYSICAL,5,False,28,92.90681989880683,False,4413.120144714473,9.816967312848881,28,0
a050_i050,L224,localized,DIRECT_PHYSICAL,6,False,28,90.91693967452635,False,3976.403097780344,8.612878924390555,28,0
a050_i050,L224,localized,DIRECT_PHYSICAL,7,False,28,104.5582595699694,False,4232.791945706469,0.008813287689202736,22,0
a050_i050,L224,localized,RESOLVED_PHYSICAL,0,True,28,1.4190499971663035,False,3.903014889230862,1.321599127211165e-22,3,0
a050_i050,L224,localized,RESOLVED_PHYSICAL,1,True,28,8.908064955325585,False,35.626358581737506,0.0011450732065872715,14,0
a050_i050,L224,localized,RESOLVED_PHYSICAL,2,True,28,15.488204174031091,False,316.98405338742947,0.11333847202096269,21,0
a050_i050,L224,localized,RESOLVED_PHYSICAL,3,False,28,42.789427207655756,False,671.827796839959,3.479542973592972,28,0
a050_i050,L224,localized,RESOLVED_PHYSICAL,4,False,28,103.24456283768625,False,3803.551458171922,5.893728014882096,28,0
a050_i050,L224,localized,RESOLVED_PHYSICAL,5,False,28,92.90681989880683,False,4414.222939127133,17.13553256681183,28,0
a050_i050,L224,localized,RESOLVED_PHYSICAL,6,False,28,90.91693967452635,False,3976.4032088524655,9.083504889434124,28,0
a050_i050,L224,localized,RESOLVED_PHYSICAL,7,False,28,104.5582595699694,False,4232.791945706469,0.008813287689202736,22,0
a050_i050,L224,localized,UNRESOLVED_IMAGE,0,True,28,0.035536463837693974,False,0.09810590213982662,3.2878980784227133e-24,0,0
a050_i050,L224,localized,UNRESOLVED_IMAGE,1,True,28,2.6153498223277074,False,6.698613777699723,4.4201615361567447e-05,7,0
a050_i050,L224,localized,UNRESOLVED_IMAGE,2,True,28,6.494013035676701,False,53.11812922898952,0.0058427972644763525,14,0
a050_i050,L224,localized,UNRESOLVED_IMAGE,3,False,28,42.771170014961406,False,462.03455523404574,0.3069273528909083,21,0
a050_i050,L224,localized,UNRESOLVED_IMAGE,4,False,28,102.12106198211235,False,3755.1881242957406,1.1829882331389105,28,0
a050_i050,L224,localized,UNRESOLVED_IMAGE,5,False,28,92.04098549078124,False,4367.898135244922,11.33483671799475,28,0
a050_i050,L224,localized,UNRESOLVED_IMAGE,6,False,28,90.04088415505109,False,3931.931941220123,8.532695664283823,28,0
