geometry,spin,inclination_deg,deepest_detectable_age,shallowest_detectable_age,n_detectable_ages,right_censored,depth_report,arm,snr0,total_ages,age_grid_max,T_rec_best_mode,T_rec_best_mode_right_censored,T_rec_best_mode_report
a000_i020,0.0,20,-1.0,-1.0,0,False,none,DIRECT_PHYSICAL,1.0,64,252.0,-1.0,False,none
a000_i020,0.0,20,-1.0,-1.0,0,False,none,DIRECT_PHYSICAL,3.0,64,252.0,16.0,False,16.0
a000_i020,0.0,20,16.0,0.0,5,False,16.0,DIRECT_PHYSICAL,10.0,64,252.0,20.0,False,20.0
a000_i020,0.0,20,20.0,0.0,6,False,20.0,DIRECT_PHYSICAL,30.0,64,252.0,20.0,False,20.0
a000_i020,0.0,20,20.0,0.0,6,False,20.0,DIRECT_PHYSICAL,100.0,64,252.0,24.0,False,24.0
a000_i020,0.0,20,24.0,0.0,7,False,24.0,DIRECT_PHYSICAL,300.0,64,252.0,24.0,False,24.0
a000_i020,0.0,20,24.0,0.0,7,False,24.0,DIRECT_PHYSICAL,1000.0,64,252.0,24.0,False,24.0
a000_i020,0.0,20,24.0,0.0,7,False,24.0,DIRECT_PHYSICAL,3000.0,64,252.0,28.0,False,28.0
a000_i020,0.0,20,28.0,0.0,8,False,28.0,DIRECT_PHYSICAL,10000.0,64,252.0,28.0,False,28.0
a000_i020,0.0,20,28.0,0.0,8,False,28.0,DIRECT_PHYSICAL,30000.0,64,252.0,28.0,False,28.0
a000_i020,0.0,20,28.0,0.0,8,False,28.0,DIRECT_PHYSICAL,100000.0,64,252.0,28.0,False,28.0
a000_i020,0.0,20,32.0,0.0,9,False,32.0,DIRECT_PHYSICAL,1000000.0,64,252.0,32.0,False,32.0
a000_i020,0.0,20,-1.0,-1.0,0,False,none,RESOLVED_PHYSICAL,1.0,64,252.0,-1.0,False,none
a000_i020,0.0,20,-1.0,-1.0,0,False,none,RESOLVED_PHYSICAL,3.0,64,252.0,16.0,False,16.0
a000_i020,0.0,20,16.0,0.0,5,False,16.0,RESOLVED_PHYSICAL,10.0,64,252.0,20.0,False,20.0
a000_i020,0.0,20,20.0,0.0,6,False,20.0,RESOLVED_PHYSICAL,30.0,64,252.0,44.0,False,44.0
a000_i020,0.0,20,60.0,0.0,16,False,60.0,RESOLVED_PHYSICAL,100.0,64,252.0,68.0,False,68.0
a000_i020,0.0,20,76.0,0.0,20,False,76.0,RESOLVED_PHYSICAL,300.0,64,252.0,80.0,False,80.0
a000_i020,0.0,20,88.0,0.0,23,False,88.0,RESOLVED_PHYSICAL,1000.0,64,252.0,92.0,False,92.0
a000_i020,0.0,20,96.0,0.0,25,False,96.0,RESOLVED_PHYSICAL,3000.0,64,252.0,96.0,False,96.0
a000_i020,0.0,20,100.0,0.0,26,False,100.0,RESOLVED_PHYSICAL,10000.0,64,252.0,100.0,False,100.0
a000_i020,0.0,20,100.0,0.0,26,False,100.0,RESOLVED_PHYSICAL,30000.0,64,252.0,100.0,False,100.0
a000_i020,0.0,20,100.0,0.0,26,False,100.0,RESOLVED_PHYSICAL,100000.0,64,252.0,104.0,False,104.0
a000_i020,0.0,20,104.0,0.0,27,False,104.0,RESOLVED_PHYSICAL,1000000.0,64,252.0,104.0,False,104.0
a000_i020,0.0,20,-1.0,-1.0,0,False,none,UNRESOLVED_IMAGE,1.0,64,252.0,-1.0,False,none
a000_i020,0.0,20,-1.0,-1.0,0,False,none,UNRESOLVED_IMAGE,3.0,64,252.0,16.0,False,16.0
a000_i020,0.0,20,16.0,0.0,5,False,16.0,UNRESOLVED_IMAGE,10.0,64,252.0,20.0,False,20.0
a000_i020,0.0,20,20.0,0.0,6,False,20.0,UNRESOLVED_IMAGE,30.0,64,252.0,20.0,False,20.0
a000_i020,0.0,20,20.0,0.0,6,False,20.0,UNRESOLVED_IMAGE,100.0,64,252.0,28.0,False,28.0
a000_i020,0.0,20,24.0,0.0,7,False,24.0,UNRESOLVED_IMAGE,300.0,64,252.0,52.0,False,52.0
a000_i020,0.0,20,64.0,0.0,17,False,64.0,UNRESOLVED_IMAGE,1000.0,64,252.0,72.0,False,72.0
a000_i020,0.0,20,76.0,0.0,20,False,76.0,UNRESOLVED_IMAGE,3000.0,64,252.0,80.0,False,80.0
a000_i020,0.0,20,80.0,0.0,21,False,80.0,UNRESOLVED_IMAGE,10000.0,64,252.0,84.0,False,84.0
a000_i020,0.0,20,84.0,0.0,22,False,84.0,UNRESOLVED_IMAGE,30000.0,64,252.0,88.0,False,88.0
a000_i020,0.0,20,92.0,0.0,24,False,92.0,UNRESOLVED_IMAGE,100000.0,64,252.0,96.0,False,96.0
a000_i020,0.0,20,100.0,0.0,26,False,100.0,UNRESOLVED_IMAGE,1000000.0,64,252.0,100.0,False,100.0
