gate,geometry,measured,threshold,passes
G2_physical_dense_matrix_free,a000_i020,0.0,1e-10,True
G2_physical_dense_matrix_free,a000_i050,0.0,1e-10,True
G2_physical_dense_matrix_free,a000_i075,0.0,1e-10,True
G2_physical_dense_matrix_free,a050_i020,0.0,1e-10,True
G2_physical_dense_matrix_free,a050_i050,0.0,1e-10,True
G2_physical_dense_matrix_free,a050_i075,0.0,1e-10,True
G2_physical_dense_matrix_free,a090_i020,0.0,1e-10,True
G2_physical_dense_matrix_free,a090_i050,0.0,1e-10,True
G2_physical_dense_matrix_free,a090_i075,0.0,1e-10,True
G2_physical_dense_matrix_free,a098_i020,0.0,1e-10,True
G2_physical_dense_matrix_free,a098_i050,0.0,1e-10,True
G2_physical_dense_matrix_free,a098_i075,0.0,1e-10,True
G3_physical_adjoint,a000_i020,2.0264704050585566e-14,1e-08,True
G3_physical_adjoint,a000_i050,7.138881015845899e-15,1e-08,True
G3_physical_adjoint,a000_i075,1.9371199162479203e-14,1e-08,True
G3_physical_adjoint,a050_i020,5.925839050174524e-14,1e-08,True
G3_physical_adjoint,a050_i050,7.172906863508169e-14,1e-08,True
G3_physical_adjoint,a050_i075,1.0616586209720062e-13,1e-08,True
G3_physical_adjoint,a090_i020,7.817844377449399e-14,1e-08,True
G3_physical_adjoint,a090_i050,9.673267760059496e-14,1e-08,True
G3_physical_adjoint,a090_i075,1.7377982527123563e-14,1e-08,True
G3_physical_adjoint,a098_i020,1.1628439773998946e-14,1e-08,True
G3_physical_adjoint,a098_i050,2.674323598055886e-13,1e-08,True
G3_physical_adjoint,a098_i075,4.0473977862477437e-14,1e-08,True
G4_physical_resolved_unresolved_mixing,a000_i020,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a000_i050,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a000_i075,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a050_i020,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a050_i050,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a050_i075,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a090_i020,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a090_i050,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a090_i075,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a098_i020,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a098_i050,0.0,1e-10,True
G4_physical_resolved_unresolved_mixing,a098_i075,0.0,1e-10,True
G4b_linear_collapse_covariance_propagation,a000_i020,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a000_i050,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a000_i075,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a050_i020,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a050_i050,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a050_i075,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a090_i020,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a090_i050,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a090_i075,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a098_i020,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a098_i050,0.0,1e-12,True
G4b_linear_collapse_covariance_propagation,a098_i075,0.0,1e-12,True
G6_physical_Gram_monotonicity,a000_i020,0.0,1e-10,True
G6_physical_Gram_monotonicity,a000_i050,6.648746514987338e-17,1e-10,True
G6_physical_Gram_monotonicity,a000_i075,1.0973821871717876e-16,1e-10,True
G6_physical_Gram_monotonicity,a050_i020,0.0,1e-10,True
G6_physical_Gram_monotonicity,a050_i050,6.562745738215744e-17,1e-10,True
G6_physical_Gram_monotonicity,a050_i075,9.071613737109965e-17,1e-10,True
G6_physical_Gram_monotonicity,a090_i020,0.0,1e-10,True
G6_physical_Gram_monotonicity,a090_i050,8.026772428022754e-17,1e-10,True
G6_physical_Gram_monotonicity,a090_i075,1.8611783301799085e-16,1e-10,True
G6_physical_Gram_monotonicity,a098_i020,0.0,1e-10,True
G6_physical_Gram_monotonicity,a098_i050,3.761346837222247e-17,1e-10,True
G6_physical_Gram_monotonicity,a098_i075,4.494111136296001e-17,1e-10,True
G6b_resolved_dominates_direct,a000_i020,0.0,1e-10,True
G6b_resolved_dominates_direct,a000_i050,0.0,1e-10,True
G6b_resolved_dominates_direct,a000_i075,1.2939561262874448e-16,1e-10,True
G6b_resolved_dominates_direct,a050_i020,0.0,1e-10,True
G6b_resolved_dominates_direct,a050_i050,0.0,1e-10,True
G6b_resolved_dominates_direct,a050_i075,4.922073375196975e-17,1e-10,True
G6b_resolved_dominates_direct,a090_i020,0.0,1e-10,True
G6b_resolved_dominates_direct,a090_i050,0.0,1e-10,True
G6b_resolved_dominates_direct,a090_i075,1.573861179619174e-16,1e-10,True
G6b_resolved_dominates_direct,a098_i020,0.0,1e-10,True
G6b_resolved_dominates_direct,a098_i050,0.0,1e-10,True
G6b_resolved_dominates_direct,a098_i075,3.2964354095024626e-17,1e-10,True
G9w_weight_semantics,a000_i020,2.4985403539233186e-16,1e-10,True
G9w_weight_semantics,a000_i050,1.2521086774798965e-16,1e-10,True
G9w_weight_semantics,a000_i075,3.603974833293187e-16,1e-10,True
G9w_weight_semantics,a050_i020,0.0,1e-10,True
G9w_weight_semantics,a050_i050,1.6921312011308915e-16,1e-10,True
G9w_weight_semantics,a050_i075,1.7965071932354974e-16,1e-10,True
G9w_weight_semantics,a090_i020,1.931447030772147e-16,1e-10,True
G9w_weight_semantics,a090_i050,4.3778502867990174e-16,1e-10,True
G9w_weight_semantics,a090_i075,1.6191829883169006e-16,1e-10,True
G9w_weight_semantics,a098_i020,2.545105790277398e-16,1e-10,True
G9w_weight_semantics,a098_i050,2.1041982742462183e-16,1e-10,True
G9w_weight_semantics,a098_i075,1.7156032328026904e-16,1e-10,True
