geometry,spin,inclination_deg,window_fraction,age_order0,I_order0,age_order1,I_order1,age_order2,I_order2,Gamma_sensitivity_matched_0_to_1,Gamma_sensitivity_matched_0_to_1_status,Gamma_sensitivity_matched_1_to_2,Gamma_sensitivity_matched_1_to_2_status
a000_i020,0.0,20,0.05,1.3441029037849035,636.5436293601796,31.674742396803744,3.234662909090709,47.93973176923454,0.08753002827327282,2.6410641200339864,ok,1.8048490427702881,ok
a000_i020,0.0,20,0.1,2.676714881445014,607.0350997426855,34.2919160385256,3.256427471672552,50.492976939601384,0.08615406772246105,2.613977943721441,ok,1.816124413635428,ok
a000_i020,0.0,20,0.15,4.0093268591051245,567.1951964908731,36.90908968024745,3.0717793246208465,53.046222109968234,0.07887360599894061,2.6092232640499993,ok,1.831082805048167,ok
a000_i020,0.0,20,0.2,5.341938836765235,523.3022775131437,39.5262633219693,2.795125056064581,55.59946728033508,0.06972632025860362,2.616141208598843,ok,1.845527129403216,ok
a000_i020,0.0,20,0.25,6.674550814425345,479.59053837204334,42.14343696369116,2.5089642199056406,58.15271245070193,0.06107745977381164,2.6265313441051674,ok,1.8577411972949327,ok
a000_i020,0.0,20,0.3,8.007162792085456,437.72496020830476,44.760610605413014,2.2482348316212617,60.70595762106878,0.053590759290905926,2.635722689683043,ok,1.8682620080489276,ok
a000_i020,0.0,20,0.35,9.339774769745565,398.285893774613,47.37778424713487,2.0070630126000673,63.25920279143562,0.0464106909151826,2.6452488038723425,ok,1.8834489521844153,ok
a000_i020,0.0,20,0.39999999999999997,10.672386747405675,360.8169514004486,49.99495788885672,1.8184100456570123,65.81244796180246,0.039967801732701536,2.6452041259563295,ok,1.908821811845808,ok
a000_i020,0.0,20,0.44999999999999996,12.004998725065786,323.4658248016012,52.61213153057857,1.658968774858607,68.36569313216931,0.03543261483900883,2.6364486384792607,ok,1.9231593746154534,ok
a000_i020,0.0,20,0.49999999999999994,13.337610702725895,283.55428183778633,55.22930517230043,1.4728171819300018,70.91893830253616,0.0321184462730222,2.6301132790659114,ok,1.9127508903398254,ok
a000_i020,0.0,20,0.5499999999999999,14.670222680386006,238.3562223798031,57.84647881402228,1.2499527392590855,73.472183472903,0.028830523892725616,2.6253302726825245,ok,1.8847131688564778,ok
a000_i020,0.0,20,0.6,16.00283465804612,186.20155368682245,60.46365245574414,1.0396607187363094,76.02542864326986,0.02575823287855645,2.5939676405235703,ok,1.8489477037388435,ok
a000_i020,0.0,20,0.65,17.33544663570623,129.34769155211367,63.080826097465994,0.8523690688183155,78.5786738136367,0.022654915252767964,2.511119864266215,ok,1.8138213875301032,ok
a000_i020,0.0,20,0.7,18.668058613366338,75.75955491932442,65.69799973918785,0.6781648065010012,81.13191898400355,0.01955724343681739,2.357964758564407,ok,1.7730223048748652,ok
a000_i020,0.0,20,0.75,20.00067059102645,35.38338425621672,68.3151733809097,0.5158696894405641,83.6851641543704,0.0161613028102708,2.114071711947614,ok,1.731617262226656,ok
a000_i020,0.0,20,0.7999999999999999,21.333282568686556,12.540834834559298,70.93234702263155,0.3696763876171773,86.23840932473723,0.013002678627763926,1.7620586954167479,ok,1.6737363051701293,ok
a000_i020,0.0,20,0.85,22.665894546346667,3.2487033146818405,73.5495206643534,0.24583647554899524,88.7916544951041,0.00994856699718503,1.2906723171268781,ok,1.6036190304716196,ok
a000_i020,0.0,20,0.9,23.998506524006782,0.5996647810356088,76.16669430607527,0.14183921602731703,91.34489966547093,0.006851729983656754,0.7208383331118112,ok,1.5150964809208483,ok
a000_i020,0.0,20,0.95,25.33111850166689,0.07759855566646791,78.78386794779712,0.061053239508668165,93.89814483583778,0.003938643366756777,0.1199012760582407,ok,1.3704549607475625,ok
a000_i050,0.0,50,0.05,2.9155196890777804,242.9630593919412,49.54201005836454,4.753358463440742,66.11339907859823,0.09794149328694192,1.9670289998391794,ok,1.9411181995052011,ok
a000_i050,0.0,50,0.1,5.831039378155561,241.61961173362604,52.16979588303864,4.664456337043816,68.96754029089509,0.09203919807670424,1.9736966752395337,ok,1.9627560066518035,ok
a000_i050,0.0,50,0.15,8.74655906723334,239.01036233872557,54.79758170771273,4.344720042922176,71.82168150319195,0.07998335516585062,2.0037727917122994,ok,1.9974490255077575,ok
a000_i050,0.0,50,0.2,11.662078756311121,238.39130946172412,57.42536753238683,3.98004169921438,74.6758227154888,0.06826179287299598,2.0463105922477958,ok,2.0328486834632526,ok
a000_i050,0.0,50,0.25,14.577598445388901,244.38514880499434,60.05315335706092,3.623753490357481,77.52996392778567,0.058551822795513644,2.1056175475357346,ok,2.0626767107883848,ok
a000_i050,0.0,50,0.3,17.49311813446668,255.9116016663601,62.68093918173501,3.2677594439598745,80.38410514008254,0.049365516032680086,2.180363757063951,ok,2.0963038596452326,ok
a000_i050,0.0,50,0.35,20.40863782354446,268.151124038954,65.3087250064091,2.949342371488821,83.23824635237939,0.04160399277848653,2.254984248333973,ok,2.1305706783249403,ok
a000_i050,0.0,50,0.39999999999999997,23.32415751262224,279.8542318616057,67.93651083108321,2.6845118871476314,86.09238756467626,0.03608892187116376,2.323384974088577,ok,2.154634126525939,ok
a000_i050,0.0,50,0.44999999999999996,26.23967720170002,287.0227935747341,70.5642966557573,2.455045368946366,88.94652877697311,0.03091799075272298,2.380708195714378,ok,2.1872811403983596,ok
a000_i050,0.0,50,0.49999999999999994,29.1551968907778,291.8265430112059,73.1920824804314,2.210583413655561,91.80066998926998,0.025634800574853723,2.441451563104086,ok,2.228530460977989,ok
a000_i050,0.0,50,0.5499999999999999,32.07071657985558,297.2657158716317,75.81986830510549,1.9365930661155422,94.65481120156683,0.020561829323158785,2.5168480636576116,ok,2.272624572619014,ok
a000_i050,0.0,50,0.6,34.98623626893336,299.46289301126967,78.44765412977958,1.6352916735674987,97.5089524138637,0.016160941017526704,2.6050846656824715,ok,2.3084895891801014,ok
a000_i050,0.0,50,0.65,37.901755958011144,277.6506759128057,81.07543995445369,1.3325033785351474,100.36309362616056,0.012242143165916873,2.669652174774946,ok,2.3449651672556913,ok
a000_i050,0.0,50,0.7,40.81727564708892,238.47879166526607,83.70322577912776,1.0577982212709358,103.21723483845741,0.00954724715484066,2.7090453922135067,ok,2.3538460100964715,ok
a000_i050,0.0,50,0.75,43.7327953361667,198.4611007485842,86.33101160380187,0.8216417262264423,106.07137605075428,0.007632609752772795,2.7435219750161917,ok,2.339437309342605,ok
a000_i050,0.0,50,0.7999999999999999,46.64831502524448,158.313407567758,88.95879742847596,0.6137378122623907,108.92551726305115,0.005628798718937426,2.776382059199096,ok,2.34583588656012,ok
a000_i050,0.0,50,0.85,49.56383471432226,120.58512922526648,91.58658325315005,0.40818067541392966,111.779658475348,0.003464790831000332,2.8442006704012845,ok,2.384528821846929,ok
a000_i050,0.0,50,0.9,52.479354403400045,84.34975954756672,94.21436907782416,0.22445733200461654,114.63379968764487,0.0019451699504909538,2.964520803042836,ok,2.374168139917757,ok
a000_i050,0.0,50,0.95,55.39487409247782,47.56568789602933,96.84215490249824,0.09484147870731974,117.48794089994172,0.0012380480202234504,3.1088300425459137,ok,2.169335445308212,ok
