seed,method,cells,measured_joint_phase_error,certified_exact_response_bound,certifies_5e_minus4
11,continued,32,0.0002707988854377719,0.042140453000194665,False
11,continued,64,0.00027086451979521224,0.038979769480166224,False
11,continued,128,0.00027086764838110076,0.037609530588513095,False
11,boost_fixed,32,0.00023815462197869112,0.05763375657157389,False
11,boost_fixed,64,0.00023841416146776917,0.0542644175540172,False
11,boost_fixed,128,0.0002384204793744974,0.05268550399755782,False
11,boost_residual,32,0.00033939539855670726,0.02933999036875285,False
11,boost_residual,64,0.0003397006436412211,0.026851165956811893,False
11,boost_residual,128,0.0003397179326744362,0.025969806381150408,False
22,continued,32,0.0001601514675533083,0.042555763077613495,False
22,continued,64,0.00016012513986554002,0.03928679234711831,False
22,continued,128,0.00016011988281691375,0.03792970966045987,False
22,boost_fixed,32,0.00027122353194663964,0.050713892718159126,False
22,boost_fixed,64,0.000271681910666658,0.04747043076816847,False
22,boost_fixed,128,0.0002717170946863188,0.045923104388102876,False
22,boost_residual,32,0.00025493202805888945,0.020066194594318586,False
22,boost_residual,64,0.00025523102642652836,0.018078955577755306,False
22,boost_residual,128,0.00025525095503958366,0.01746186885301659,False
33,continued,32,0.00024017384943310222,0.05732120199364644,False
33,continued,64,0.00024034685878599008,0.05414302720916425,False
33,continued,128,0.00024036062719113977,0.052596323918483415,False
33,boost_fixed,32,0.0002598771324501519,0.054623618334904464,False
33,boost_fixed,64,0.00026026047714057093,0.0513275122587643,False
33,boost_fixed,128,0.00026029193392142674,0.049787312215916424,False
33,boost_residual,32,0.00045852193724548644,0.030469884987860147,False
33,boost_residual,64,0.00045875212227564847,0.028103253524368196,False
33,boost_residual,128,0.00045877318062477284,0.027220481386496905,False
,classical_Hermite_ODE,32,2.6535567479606766e-06,0.002831850032973871,False
,classical_Hermite_ODE,64,1.862264425308617e-07,0.000322376475455361,True
,classical_Hermite_ODE,128,1.1393448305846604e-08,3.890110956592614e-05,True
