seed,scenario,method,training_quadrature,contrast_error_chart_pullback,noisy_chi2_q24,training_quadrature_qualified_on_fitted_field
11,background,data_only,3,0.2274850533404977,0.6305980892660726,True
11,background,data_only,8,0.2326533289583756,0.6295378739139814,True
11,background,robust_pinn,3,0.21992651592655,0.6288342631991672,True
11,background,robust_pinn,8,0.2186587792427603,0.6308558431964081,True
11,events,data_only,3,0.16160198553173,0.6007755946503849,True
11,events,data_only,8,0.1606705594258965,0.5944846430610631,True
11,events,robust_pinn,3,0.1562201989445421,0.5985573514850451,True
11,events,robust_pinn,8,0.1542069463882205,0.6002923281506797,True
22,background,data_only,3,0.170365305120943,0.9411446297306348,True
22,background,data_only,8,0.1696999574928232,0.9402859744253372,True
22,background,robust_pinn,3,0.163536969679374,0.9400624178471426,True
22,background,robust_pinn,8,0.1697348870230205,0.940345059185839,True
22,events,data_only,3,0.1329305779635357,0.7995956535253097,True
22,events,data_only,8,0.131517445863741,0.8001692110030005,True
22,events,robust_pinn,3,0.1236325589132022,0.806715412110441,True
22,events,robust_pinn,8,0.121958744048535,0.8132314957323715,True
33,background,data_only,3,0.2274115829006968,0.7424145429436922,True
33,background,data_only,8,0.2194707796754218,0.7401457193530931,True
33,background,robust_pinn,3,0.2242091137566168,0.7398428485477379,True
33,background,robust_pinn,8,0.2288693126390142,0.7357364349535189,True
33,events,data_only,3,0.1578338968524192,0.5881658744704076,True
33,events,data_only,8,0.1628047302208712,0.5775783442405669,True
33,events,robust_pinn,3,0.1603914575907431,0.6104695949023203,True
33,events,robust_pinn,8,0.1604205823773387,0.6112776590741695,True
